{'短评内容': '物美价廉质量好一次愉快的住宿体验', '短评打分': 5}
{'短评内容': '挺好，住的不错，快捷中的环境已经很不错了', '短评打分': 5}
{'短评内容': '挺好的 室内温度设备都挺齐全 喜欢 而且离着公共站牌也挺近 出去也方便 好评', '短评打分': 5}
{'短评内容': '环境很好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '有停车场。周围小吃很多！', '短评打分': 5}
{'短评内容': '很好啊', '短评打分': 5}
{'短评内容': '物美价廉质量好一次愉快的住宿体验。', '短评打分': 5}
{'短评内容': '1', '短评打分': 5}
{'短评内容': '不错，性价比高，位置各方面都很好', '短评打分': 5}
{'短评内容': '环境还可以，还算赶紧吧', '短评打分': 5}
{'短评内容': '交通便利，卫生好。前台服务也好。', '短评打分': 5}
{'短评内容': '在泰安就这样了', '短评打分': 3}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '还不错，下次还会继续选择入住', '短评打分': 5}
{'短评内容': '环境挺好，房间也挺大，服务很好。有独立停车场。', '短评打分': 5}
{'短评内容': '还行吧，这价格不错了', '短评打分': 5}
{'短评内容': '挺好的   价格还行99反15', '短评打分': 4}
{'短评内容': '( ??_? ?)还可以，就是距离景点太远了', '短评打分': 5}
{'短评内容': '较偏僻，自助早餐15元，品种太少，不值', '短评打分': 5}
{'短评内容': '大学边上 吃的很多 氛围不错 出门就是公交站', '短评打分': 5}
{'短评内容': '还行吧，毕竟便宜，就是暖气不是很热', '短评打分': 4}
{'短评内容': '干净卫生，家的感觉，感觉很温馨', '短评打分': 5}
{'短评内容': '酒店很干净卫生，个人比较喜欢，推荐大家入住！', '短评打分': 5}
{'短评内容': '非常好，干净，舒服。da整洁，方便，总体非常好。啊。', '短评打分': 5}
{'短评内容': '服务态度很好，房间也很干净', '短评打分': 3}
{'短评内容': '入住后感觉酒店非常干净、舒适，服务员个个都很有礼貌；卫生间的淋浴热水很大，要是再配有吹风机就更好了。', '短评打分': 5}
{'短评内容': '这家店是新装修的，给我们的房间也很安静，卫生也非常干净。我非常满意并且真的很有家的感觉，我老婆也很满意。以后要是还来泰山，我一定还住这里。', '短评打分': 5}
{'短评内容': '住过各地很多如家，这间最满意。房间大，设备新，服务好，就是餐厅太贵了，自助餐50大毛，嘿嘿；五星级餐费', '短评打分': 5}
{'短评内容': '环境很好，房间很舒适', '短评打分': 3}
{'短评内容': '还不错，挺干净的，不过离泰山有点远，公交要40分钟，打车20分钟左右', '短评打分': 5}
{'短评内容': '很不错的选择，交通挺方便，周边也挺热闹的，停车场挺大。', '短评打分': 5}
{'短评内容': '酒店挺好的，很满意', '短评打分': 3}
