{'descr': '真的是太脏了，例如以后就决定换地方', 'star': 1}
{'descr': '很失望', 'star': 3}
{'descr': '楼上是医院，设备有点旧都还可以接受，但不能接受的是撕开打包的毛巾，竟然一大块黑色的东西', 'star': 2}
{'descr': '屋子不太行', 'star': 3}
{'descr': '房间干净舒适', 'star': 5}
{'descr': '环境还不错价格也实惠，服务也还可以。。。', 'star': 5}
{'descr': 'haohaohaohaohaohaohaohaohaohaohaohao', 'star': 5}
{'descr': '脏乱差', 'star': 1}
{'descr': '不错，便宜', 'star': 5}
{'descr': '性价比不错', 'star': 5}
{'descr': '还行，可以选择。', 'star': 4}
{'descr': '还好吧', 'star': 4}
{'descr': '还行吧，这个价格这个位置，算可以了。', 'star': 5}
{'descr': '卫生与设备太差，淋浴的都生锈了，电话也坏的', 'star': 2}
{'descr': '服务人员态度很好，就是房间小了点，但是还不错', 'star': 5}
{'descr': '对于我来说还可以吧  服务员也可以 服务态度良好', 'star': 2}
{'descr': '还行 方便', 'star': 5}
{'descr': '房子年头挺多了，但总体还是不错的。我住的房间没暖气，开了一晚上空调', 'star': 5}
{'descr': '不错 挺干净的 就是冷了点', 'star': 5}
{'descr': '环境一般，没有洗漱用品，地板很脏', 'star': 3}
