{'短评内容': '好好好好好好好', '短评打分': 4}
{'短评内容': '太旧了！唉', '短评打分': 3}
{'短评内容': '周边配套设施齐全，适合商务人士出行', '短评打分': 5}
{'短评内容': '暖气挺好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '感觉还可以，很方便快捷。', '短评打分': 5}
{'短评内容': '挺好的，不错。', '短评打分': 5}
{'短评内容': '酒店服务好', '短评打分': 5}
{'短评内容': '后悔，美团才212元，多出了21元', '短评打分': 3}
{'短评内容': '位置还不错，去客运站也比较近，周边也有较多吃饭的地方', '短评打分': 4}
{'短评内容': '觉得柜子好看', '短评打分': 5}
{'短评内容': '性价比不是很满意', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '还好', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '性价比较高', '短评打分': 5}
{'短评内容': '性价比较好！', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
