{'短评内容': '设备太旧了，好象挂牌价也差不多的，价格不给力啊，不推荐', '短评打分': 1}
{'短评内容': '不错，只是门口的路不是太好走。修好就好了。', '短评打分': 5}
{'短评内容': '入住的华夏世纪商务大酒店很差', '短评打分': 3}
{'短评内容': '＋不错，实惠', '短评打分': 3}
{'短评内容': '酒店门面比较隐蔽，打车的时候出租车司机都不知道怎么去。所以建议大家如果选择入住这家酒店的话，跟出租车司机说去海航明光国际，然后再往前开一百米左右，就可以看到绿色玻璃外墙的华夏了。这家酒店装潢就这个价位来说已经很不错了，但是可能由于年份问题加上海口空气比较潮湿，房间角落的墙纸都已经霉烂了。豪华双标，还是不错的，一百二十八的价钱，地理位置还算是比较便利的，靠近海口火车东站和海南师范大学，楼下就是公交车', '短评打分': 5}
{'短评内容': '这次的房间有些小，有点味道，但还是不错的', '短评打分': 5}
{'短评内容': '整体还不错，就是我浴巾用完了，说再送条浴巾都说没有，', '短评打分': 5}
{'短评内容': '酒店门口有停车场，可供停车，但太晚回来就没位了。入住的房间位置不错，房间很干净，无异味，就是枕头有点破了。总体满意，住得很开心，下次还会再来~', '短评打分': 5}
{'短评内容': '房间太小太小    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 哈哈哈哈哈哈哈哈哈哈哈哈哈    哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈     ', '短评打分': 5}
{'短评内容': '优点：我住是豪华双标价格很实惠，房间摆设，装修多比较高档，电器各方面性能也很理想。\n缺点：正门前空地太小，不显气派，停了几辆车后感觉很挤。还有这被单有点脏，希望服务员在顾客入住前不要草率，认真检察。第一次住也没叫服务员来换，但要引起重视。', '短评打分': 5}
{'短评内容': '还算好找，旁边是大排档。房间还不错，周围有点吵。热水是凉的。', '短评打分': 5}
{'短评内容': '房间还不错，房间设备也挺好，附近环境也好。', '短评打分': 5}
{'短评内容': '位置不太好找，房间挺干净舒适，价格不是很贵。', '短评打分': 3}
{'短评内容': '酒店性价比较高，外繁内静。酒店外挂名称与内部名称不符，不好找', '短评打分': 3}
{'短评内容': '房间挺大挺干净的，设施也不错，住的挺舒适的。', '短评打分': 5}
{'短评内容': '挺好，干净卫生，价格实惠，值得推荐。', '短评打分': 5}
{'短评内容': '设施不错，价格挺合理，住的挺满意的。', '短评打分': 5}
{'短评内容': '还好 就是涨价太可怕了 以后来玩还得淡季', '短评打分': 1}
{'短评内容': '设施还过得去吧\n如果要做大巴去三亚那是最好的选择了\n斜对面就是南站\n还有就是有超乎意外的多和新的影视录像可在电视上看\n\n', '短评打分': 3}
{'短评内容': ' 房屋里多湿墙上发霉了 价格优点 装饰一般', '短评打分': 3}
{'短评内容': '，预定订酒店很满意，谢谢', '短评打分': 3}
{'短评内容': '酒店条件还不错，整体来讲比较符合我的心意，而且高性价比，住着舒服.', '短评打分': 5}
{'短评内容': '设施不错，卫生很好！价格实惠！性价比很高\n', '短评打分': 5}
{'短评内容': '华夏酒店服务好,又干净,房间又大又舒适,我挺满意。', '短评打分': 3}
