{'短评内容': '一般般吧', '短评打分': 5}
{'短评内容': '酒店环境不错，比较新，下次还会来。', '短评打分': 3}
{'短评内容': '酒店比较新，房间也还行，价格实惠，值得推推荐。\n', '短评打分': 5}
{'短评内容': '还可以，酒店比较新，房间床上用品很干净舒服，晚上有免费的露天温泉可以泡，还有酒店的乒乓球、桌球、羽毛球等娱乐项目都是免费可以玩，不过不好就是露天温泉白天不能泡，只有晚上7：30至11：00才开放。还好我住的那间标双房间还带一个木桶可以泡温泉，房间标双210元一间这个价格还是很值的。\n', '短评打分': 5}
{'短评内容': '安静舒适，还有露天免费温泉、周边还有很多农家菜馆，下次还会再来', '短评打分': 5}
{'短评内容': '酒店就在流溪河边，环境很清静，房间也不错，干净舒适，晚上泡一下温泉就像洗掉了所有的疲累，很舒服。 在餐厅吃到从化本地风味的特色农家菜，方便又健康。早上睡到自然醒，然后就和家人租酒店的自行车在门口的绿道畅行，感受从化清新的空气。\n', '短评打分': 5}
{'短评内容': '房间简陋，设备陈旧，还算凑合吧，温泉不行。', '短评打分': 5}
{'短评内容': '酒店位置有点偏，整体还可以，前台服务员挺热情，房间设施还比较全，卫生间挺宽敞，只是房间门隔音效果一般，能听到走廊小孩的打闹声。早餐还行，基本能吃饱。', '短评打分': 5}
{'短评内容': '这酒店还可以，该有的都有，服务态度好，就是旧了点！', '短评打分': 5}
{'短评内容': '订的是豪华单人房，房间真不错，有浴桶，在仙沐园泡完后回来可以接着泡···\n位置有点偏僻，但很安静，如果能有早餐送更好····', '短评打分': 5}
{'短评内容': '酒店安静-舒适，性价比好！', '短评打分': 3}
{'短评内容': '卫生不错，可惜没有麻将和温泉，晚上有点无聊，挺宽敞的！', '短评打分': 5}
{'短评内容': '酒店环境不错，干净，整洁。服务态度不错，就是有点慢，没有温泉有点遗憾。', '短评打分': 5}
{'短评内容': '第一次入住，感觉还不错，有24小时温泉泡（房间的木筒）。', '短评打分': 5}
{'短评内容': '周边环境比较好，旅游配套不错，服务质量还不错，只是前台能了解更多商务电子服务于客户最好，我去修车，居然找不到地方，一问三不知。', '短评打分': 5}
{'短评内容': '整体感觉还不错，房间大，比较干净卫生，但是房间隔音不算很好，走廊的人走过的声音比较大，而且木桶泡温泉，使用的一次性的所料袋还要另外付费……这点觉得有点过了', '短评打分': 1}
{'短评内容': 'New hotel. Toilet was a bit smelly. ', '短评打分': 1}
{'短评内容': '一分钱一分货这个价位这个条件一般', '短评打分': 3}
{'短评内容': '其实酒店还好啦 设施什么的都不错 水龙头水压够大也够热 唯一问题就是 我们入住的时候 整层楼房间的卫生几乎都没有搞好 不过前台态度都挺好的 尚算满意', '短评打分': 5}
{'短评内容': '总体一般，住的是三房一厅房间不大，感觉卫生也没有用心做，早餐也差，设施简单，我们人多，才选择这里这种房型。', '短评打分': 3}
{'短评内容': '本酒店很新，房间也很大。但地理位置较偏。早饭另付。早饭很差。\n房间洗手间的气味太大，让我们感到在吸毒气一样。今天要走了，没大事松一口气。\n第一天晚上，整个酒店没几个人，还挺安静，昨天晚上情况发生了变化。半夜被“朋友”（歌声）吵醒。打电话给服务员，回答是12点后就好了。数时间吧，12：20完事。再睡没一会儿，走廊里一批新客人需要相互沟通，忘记了其他人已经睡觉了。', '短评打分': 1}
{'短评内容': '环境很一般,个人出游应该不会选这里,即使他很便宜', '短评打分': 3}
{'短评内容': '酒店设施，环境还可以，就是隔音太差，走廊晚上说话声和窗口抽风机7点开始吵吵，睡个懒觉都不行。', '短评打分': 1}
{'短评内容': 'Large car park, large clean room, good service. But only one Chinese restaurant inside.', '短评打分': 5}
{'短评内容': '酒店还算新，也安静。但是偏僻了点，酒店环境一般。也只能是个商务酒店。', '短评打分': 3}
{'短评内容': '住的是套间，房间很新，装修很漂亮，客厅非常大。', '短评打分': 5}
{'短评内容': '元旦期间入住，感觉价钱偏高！但总体的服务和硬件还算是满意的，十分满分，我会给八分，主要是其他的康乐设施基本没有！', '短评打分': 5}
{'短评内容': '距离泡温泉的地方比较远，打车很难，只能在马路对面等公交。房间一般，房价偏贵。要求加条被子或毯子，酒店说没有。周围比较荒，买点东西也不方便。', '短评打分': 1}
{'短评内容': '没有想象中的好，对于没有温泉泡的酒店来说，价格偏高', '短评打分': 1}
{'短评内容': '单就住宿来说还不错，性价比较高，可惜酒店和房间都不能泡温泉，要到外边去。如果自驾车比较方便，不过门口也有公交车可搭。', '短评打分': 5}
{'短评内容': '酒店的配置硬件设施都很不错，卫生服务也很好，价格合理适中。', '短评打分': 5}
{'短评内容': '非常安静，性价比很好', '短评打分': 5}
{'短评内容': '位置有些偏了，但装修服务都还不错。', '短评打分': 1}
{'短评内容': '交通不便。', '短评打分': 5}
{'短评内容': '周边修路，不好走', '短评打分': 1}
{'短评内容': '去的时候在修路，周边环境不好，也没有什么风景。酒店的房间装修和设施还不错，价格比较合理。', '短评打分': 1}
{'短评内容': '位置一般，设施没有维护，房间内有墙纸发霉脱落情况', '短评打分': 3}
{'短评内容': '位置一般，设施没有维护，房间内有墙纸发霉脱落情况', '短评打分': 1}
{'短评内容': '酒店比较新，感觉挺干净。', '短评打分': 5}
{'短评内容': '我上次住了两天，整体感觉还行，我觉得环境还可以，不过房间有点潮，位置离温泉有点远，但是很安静', '短评打分': 3}
{'短评内容': '总体还是可以，环境和服务都还好，卫生条件也不错，免费上网的网络也挺快的，床上用品也很新，很舒适', '短评打分': 3}
