{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间还算整洁,性价比不错。服务挺好,帮忙把行李送到房间，一路还有简单介绍', '短评打分': 5}
{'短评内容': '不怎么样。', '短评打分': 2}
{'短评内容': '就一垃圾地，先不说空调漏水滴得桌上都是，就两个前台，，什么人！好像欠了她们多少钱一样！', '短评打分': 2}
{'短评内容': '因为靠近公路边，晚上很吵。设备有点老旧。不含早餐，一家三口人还是够了。因为不是自驾，不确定是否有停车场。', '短评打分': 5}
{'短评内容': '很一般', '短评打分': 3}
{'短评内容': '还可以吧，就是半夜睡着空调漏水了，而且东西全湿了', '短评打分': 3}
{'短评内容': '房屋干净', '短评打分': 5}
{'短评内容': '房屋干净', '短评打分': 5}
{'短评内容': '酒店服务很好', '短评打分': 5}
{'短评内容': '相对193价格来说，还是经济实惠，对得起这个价格，也还行，当然这是对要求不是太高的人来说！只是携程网要是能把房价对应的房号标明白更好。不然由的店家指鹿为马了。', '短评打分': 4}
{'短评内容': '对于193元的价格来说，316这间房也还行！', '短评打分': 4}
{'短评内容': '就是为了离华北宾馆近才选择住的，结果去了开房间的时候前台就抱怨最讨厌接携程单子因为没有每天的价格，让先交钱完了再说！房子设施简单也就罢了，隔音实在太差，而且大中午打扫卫生，声音很大，吵的人午睡根本睡不着！', '短评打分': 4}
{'短评内容': '啥玩意嘛，这个价格，房间里啥都没有，冻死个人！', '短评打分': 2}
{'短评内容': '我觉得房间还可以，但是就是太旧了', '短评打分': 5}
{'短评内容': '进屋一股烟味，开窗放了半天。', '短评打分': 5}
{'短评内容': '设施和周边环境都挺好的，也挺干净的。住的比较满意，服务也挺好', '短评打分': 5}
