{'短评内容': '房间设施不错，就是一进房间有股难闻的味。早餐挺丰富。', '短评打分': 4}
{'短评内容': '服务员态度好', '短评打分': 3}
{'短评内容': '洗澡水凉，换一间，下水道不通，早不到6点就有装修的噪声~', '短评打分': 3}
{'短评内容': '不错的挺好', '短评打分': 5}
{'短评内容': '非常差', '短评打分': 3}
{'短评内容': '不错，以后还来。', '短评打分': 5}
{'短评内容': '周围比较安静，房间不大，1个人用还行。', '短评打分': 4}
{'短评内容': '还算可以。 就是早上清洁的在门外太吵', '短评打分': 4}
{'短评内容': '房间比较小，酒店比较老旧了，插头很少充电什么的很不方便，3楼外面有平台总感觉不安全。酒店内有洗浴还不错。', '短评打分': 3}
{'短评内容': '房间比较小，酒店比较老旧了，插头很少充电什么的很不方便，3楼外面有平台总感觉不安全。酒店内有洗浴还不错。', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '是个老酒店，按星级标准配备的设施中规中矩，就是床小点，但性价比很高，早餐也不错，下次还会入住！', '短评打分': 4}
{'短评内容': '是个老酒店，按星级标准配备的设施中规中矩，就是床小点，但性价比很高，早餐也不错，下次还会入住！', '短评打分': 4}
{'短评内容': '酒店周边环境挺好挺方便', '短评打分': 4}
{'短评内容': '酒店在铁岭应该算不错了，就是大堂有些炒，查房开发票太慢', '短评打分': 4}
{'短评内容': '酒店价格不低，环境一般，比较老旧，早餐还行，性价比一般', '短评打分': 4}
