{'短评内容': '房间很干净，服务态度很好。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '早餐简单，酒店离火车站走路3分钟，有很多停车的地道，服务超好，前台经理人好漂亮，精明强干，楼层服务员和气勤劳！', '短评打分': 5}
{'短评内容': '不错，方便，干净', '短评打分': 5}
{'短评内容': '不错，方便，干净', '短评打分': 5}
{'短评内容': '毕竟很便宜 条件差点也可以理解 住的房间隔音不是太好', '短评打分': 3}
{'短评内容': '还好，挺方便', '短评打分': 5}
{'短评内容': '该店地理位置好', '短评打分': 4}
{'短评内容': '赞一个，前台服务很好。保安大哥更是十分贴心。下次过来还住这', '短评打分': 3}
{'短评内容': '位置很好，就在火车站前，从高速口出来也很近。适合自驾出行入住。酒店工作人员较热情，有免费早餐，质量一般，但是酒店附近也没有特别好的早餐馆，因此很方便。房间面积较大，挺宽敞，就是需要告知服务员才会打扫卫生，不过房间打扫得还是很干净彻底的。值得推荐。这里离营口，鲅鱼圈都不远。', '短评打分': 5}
{'短评内容': '干净卫生，服务好位置好找', '短评打分': 3}
{'短评内容': '酒店位置很好找，就在火车站附近，早餐免费，房间大床不错', '短评打分': 3}
{'短评内容': '除了前台服务人员态度好以外，其他都是差评。住了这么多宾馆，第一次差评。卫生间整晚有流水的声音，特别吵无法入睡。隔壁房间半夜打电话投诉卫生间水声，也没给解决，房间不隔音，大半夜我们听的很清楚。床躺着能感觉到突出的弹簧，枕头太高了导致颈椎病犯了。早餐比较简单，下来都没什么吃的而且粥和馒头都是凉的，鸡蛋一元一个。有室内停车场，这个还可以。', '短评打分': 3}
