{'短评内容': '出门就是大海，值', '短评打分': 5}
{'短评内容': '一般', '短评打分': 1}
{'短评内容': '没有比这更差的，房间没热水，灯不亮，电视太小打不开', '短评打分': 2}
{'短评内容': '环境很好，尤其是温泉。唯一不足就是房间设备太老了。', '短评打分': 4}
{'短评内容': '性价比不错，服务需提升，装修比较陈旧', '短评打分': 4}
{'短评内容': '外面很漂亮，泳池很赞，海滩也离的近，就是房间内的设施太旧了，房顶掉皮，快重新装修吧，早餐一般，期待改善吧', '短评打分': 4}
{'短评内容': '酒店设施偏旧，但服务一流', '短评打分': 5}
{'短评内容': '酒店比较老，设施比较陈旧，但是比较靠近海边', '短评打分': 4}
{'短评内容': '游泳池和温泉池靠近大海', '短评打分': 5}
{'短评内容': '破乱差！', '短评打分': 1}
{'短评内容': '房间很破！酒店服务员换客不换床单！恶心死我了！再也不去了！', '短评打分': 2}
{'短评内容': '总体还行吧！除了房子有些霉味，只有大厅和中餐厅有网络，房间折腾半天也没连上网，说线路坏了，然后就是因为在郊区，只能选择餐厅吃饭。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '酒店设施陈旧，不是很好，但游泳池很好。', '短评打分': 4}
{'短评内容': '没wifi，空调坏的只会吹冷风，家具装修也都比较旧，躺床上看手机还会有虫子绕着屏幕飞，用泳池有温水区域，但是我们没去，似乎要单独收费，还有自助餐也要单独收费，我们都没吃，唯一的好处就是下了楼就是海边了，但是沙子比较硬，', '短评打分': 3}
{'短评内容': '酒店位置不错，但房间漏水。卫生间地面积水。几乎等同于农家乐的卫生条件。房间内三种以上昆虫出没。小孩子怕。', '短评打分': 1}
{'短评内容': '每次到海口都会入住这家酒店，胜在价位平，温泉游泳池位置好，风景美。正在海口最美的西海岸，沿海滩走可以一直走到国宾馆。真的很好。不过酒店开业时间太长，太久没重新装修了，这次去看到很多设施都旧了，靠海也很潮湿。', '短评打分': 5}
{'短评内容': '环节很不错，有温泉，海就在边上，很适合一家大小度假。下次来还会选择住这里。', '短评打分': 5}
{'短评内容': '位置非常好，前台服务也好。阳台下面就是泳池，离海非常近，视野开拓。酒店设施一般般，性价比相当高，下次全家来海口还住这里!', '短评打分': 5}
{'短评内容': '已入住，不错！！', '短评打分': 3}
{'短评内容': '已入住，环境不错！', '短评打分': 3}
{'短评内容': '酒店位置一流，但设施太旧，床太硬，卫生间灯光太暗。海景房价格太高（不装修不值这个价），园景房离滨海大道太近，车流量大，噪音太大(建议安装隔音墙)。', '短评打分': 1}
{'短评内容': '酒店设施太旧了，房间里好些东西都是坏的，定的大床海景房没有保险柜，楼里还没有服务员，早餐也糟糕极了。', '短评打分': 1}
{'短评内容': ',温泉海景，很不错。房间还可以。', '短评打分': 3}
{'短评内容': '酒店围环境优美，房间干净整洁，但设施应及时更新，有点老', '短评打分': 3}
{'短评内容': '环境超好。推荐！', '短评打分': 3}
{'短评内容': '该酒店，从入住就不爽，我是开车来的，大堂门口服务员到处串，见到客人来入住，提着大包小包的就当没见到似的。房间设施陈旧，霉味，和其它许多混合的气味直冲鼻腔。服务人员从来没见到笑脸的。好像大爷欠他们似的。大家千万不要去住，没任何舒心的。唯一可以去的是泳池。其他都很糟糕。', '短评打分': 1}
{'短评内容': '环境非常好，阳台外就是游泳池和大海，还有温泉泡池，爽！', '短评打分': 3}
{'短评内容': '游泳池感觉很好', '短评打分': 3}
{'短评内容': '床不够软，但是宾馆位置不错，卫生间不是很好！房间够大，网速够快！总的来说还算满意，下次去柳州，还住这里，要是再便宜点就更合适了', '短评打分': 5}
{'短评内容': '房间设施不好’不值这个价’太旧了。', '短评打分': 3}
{'短评内容': '酒店位置就在海边，酒店有温泉、游泳池，性价比非常高。', '短评打分': 5}
{'短评内容': '环境很好 床不是很舒服  其他感觉还可以!', '短评打分': 5}
{'短评内容': '环境很好，服务也还可以！就是天气很糟糕！', '短评打分': 3}
{'短评内容': '酒店环境不错，最喜欢它的海景房，就是设施有点点老了，如果能更新更新就更好了', '短评打分': 5}
