{'短评内容': '不怎么好', '短评打分': 2}
{'短评内容': '很普通，出差随便对付一晚。卫生间很暗，早餐不敢恭维。', '短评打分': 4}
{'短评内容': '很好，干净，环境也很好！', '短评打分': 5}
{'短评内容': '价格公道 值得拥有', '短评打分': 5}
{'短评内容': '价格公道便宜', '短评打分': 5}
{'短评内容': '不错，还有早餐 对得起这个价格', '短评打分': 5}
{'短评内容': '挺好', '短评打分': 5}
{'短评内容': '看的点评不错订的酒店，确实不错，有早餐。服务也很好。谢谢前台的小姑娘', '短评打分': 5}
{'短评内容': '出差住还行，离火车、汽车站近', '短评打分': 4}
{'短评内容': '老酒店，总体还可以。', '短评打分': 3}
{'短评内容': '整体一般，老酒店了。硬件一般。', '短评打分': 4}
{'短评内容': '环境好，服务也不错。', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '设备是较为陈旧，但服务态度不错，性价比还算可以。一般推荐。', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，床很不舒服，如果不是位置离办事的地方近不会再入住这里', '短评打分': 1}
{'短评内容': '酒店很干净，周围小吃也比较多，下次还会入住。', '短评打分': 5}
{'短评内容': '酒店价格相对环境较高，设施陈旧，交通还可以，早饭很差，我想不会再住这间酒店了。', '短评打分': 1}
{'短评内容': '整体还不错，离办事地方比较近，卫生还算可以，服务一般吧', '短评打分': 5}
{'短评内容': '很好，环境不错，很安静，下次还会来这边入住的', '短评打分': 5}
{'短评内容': '酒店不提供免费牙具，东西价格还很贵，服务确实不咋地。', '短评打分': 1}
{'短评内容': '一般 实在一般一般 实在一般一般 实在一般一般 实在一般一般 实在一般一般 实在一般', '短评打分': 5}
{'短评内容': '酒店还不错啊，房间设施也不错，住起来蛮舒服的，吃饭也不错', '短评打分': 5}
{'短评内容': '很好很不错，就是啥东西都要钱这点很不爽，免费的东西应该和收费的放在一起', '短评打分': 5}
{'短评内容': '位置不错，一楼自助餐性价比高，不过最遗憾是没有无烟房，退房时间很长。', '短评打分': 1}
{'短评内容': '酒店一般 位置还可以 马马虎虎 还算干净 ', '短评打分': 5}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '很好！', '短评打分': 3}
{'短评内容': '房间舒适宽敞，房间内设施配备齐全，环境不错，服务较好，位置也不错，下次来还会住在这里的，物有所值！早餐也很不错。。。', '短评打分': 5}
{'短评内容': '为什么这么高的价格，确是这么差的条件呢，房间很旧，装修还那么怪摸样。', '短评打分': 1}
{'短评内容': '性价比太低。设备老化，服务不到位。可能要装修，基本的设施也管理不到位，在凑乎。', '短评打分': 1}
