{'短评内容': '挺好的，屋子很大', '短评打分': 3}
{'短评内容': '太不好了。脏，到处有虫子，没有独立空调，中央空调不冷，很热，矿泉水还要钱3元一瓶，太黑；', '短评打分': 1}
{'短评内容': '房间大，采光好，挺干净的，稍有些旧，可以接受，酒店旁边超市、药店都有，在居民区，很安静。', '短评打分': 5}
{'短评内容': '服务不错，住的很好，相对于其他相同类型的酒店来说，还是可以的', '短评打分': 5}
{'短评内容': ' 已入住，房间较宽敞，有热水洗。但结帐不能唰卡，有些不便。', '短评打分': 3}
{'短评内容': '168的大床房，房间挺大的，应该有的都有，就是有些东西有些旧了，不过算是对得起这个价格啦~', '短评打分': 3}
{'短评内容': '条件还不错，地方也还行，不是很偏，楼下有超市，比较方便。', '短评打分': 3}
{'短评内容': '环境还可以就是被子有点旧了', '短评打分': 3}
{'短评内容': '服务态度很差，床单破的不给换…', '短评打分': 3}
{'短评内容': '条件还可以吧，比我想得好很多，但那天的前台MM可能才和男朋友骂过架，那张脸……，不是预订好的，真想转身走人', '短评打分': 5}
{'短评内容': '位置比较偏 休息环境比较好 ，下了高速很容易找', '短评打分': 5}
{'短评内容': '价格适中，总体感觉还行，希望把洗澡设施改善一下', '短评打分': 5}
{'短评内容': '条件不好位置太偏', '短评打分': 3}
