{'短评内容': '位置好，房间蛮大，适合带宝宝', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '一切都是最好的', '短评打分': 5}
{'短评内容': '一切都是最好的', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '非常大气的一家酒店，房间非常舒适，离王府井等商场超近。本次还给免费升级成套房。', '短评打分': 5}
{'短评内容': '不错，下次再来，晚上睡觉有个加湿器，就更完美了', '短评打分': 5}
{'短评内容': '种草已久的酒店，终于住了行政套房，酒店设计和装修都是法式的，我炒鸡稀饭！每一处细节，物品都是有法兰西的味道！但是还是让我失望了！第一服务人员的素质不高，体现出管理和培训的缺失，离国际五星酒店有很大差距。第二酒店的硬件维护不到位，很多已久有年久失修的地方没有修复，实在可惜了在北京不可多得的法式风情装修。包括地库的空间停车收费不说，环境也是脏乱差，哎....第三酒店餐饮品质太差，早餐品种太少，食材也不', '短评打分': 4}
{'短评内容': '早餐还不错房间很大 设施齐全就是太热了', '短评打分': 5}
{'短评内容': '不错1了在咯1我1了1啦1爷爷YY159159129129129159129', '短评打分': 5}
{'短评内容': '不错不错不错，距离单位不远，都很满意', '短评打分': 5}
{'短评内容': '好就一个字', '短评打分': 5}
{'短评内容': '很不错，跟五星很配', '短评打分': 5}
{'短评内容': '暑期旺季，前台给我升级到了公寓套房，酒店位置很好，出门走三分钟就到地铁战，房间很大，同等价位物超所值。', '短评打分': 5}
{'短评内容': '酒店高大上，服务完美，床太舒服了', '短评打分': 5}
{'短评内容': '可以可以', '短评打分': 5}
{'短评内容': '房间不错干净！', '短评打分': 5}
{'短评内容': '房间干净，装修好。', '短评打分': 5}
{'短评内容': '酒店很漂亮 服务也很好 下次去还会住这里 旁边还有名车4s店', '短评打分': 5}
{'短评内容': '非常好\n下次还去住', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '酒店大气，', '短评打分': 5}
{'短评内容': '除了有点旧，早餐简单一点，外籍工作人员比中国籍勤快主动很多，还能有什么不足。位置还算方便，出门比较便捷。', '短评打分': 4}
{'短评内容': '奢华有内涵', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '非常好', '短评打分': 5}
{'短评内容': '设施一级棒，老顾客了都光顾很多次了，下次还会再来，适合一家人旅游或者商务出差，每次都来这里设施一级棒，老顾客了都光顾很多次了，下次还会再来，适合一家人旅游或者商务出差，每次都来这里', '短评打分': 5}
{'短评内容': '在网上纠结好久，选了这家酒店，位置好，周边热闹，内部设施豪华，挺不错', '短评打分': 5}
{'短评内容': '这个性价比太高了，房间大，卫生间大，床垫特别舒服。是我住过同价酒店最满意的一次，下次北京肯定还住的。', '短评打分': 5}
{'短评内容': '地理位置不错，硬件也很不错！早餐较为简单。', '短评打分': 5}
{'短评内容': '高级酒店，very good', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '非常高大上的酒店，装修特别漂亮！', '短评打分': 5}
{'短评内容': '很好，很满意，一直以来都是住在这里的', '短评打分': 5}
{'短评内容': '很好，很满意，一直以来都是住在这里的', '短评打分': 5}
{'短评内容': '房间设施环境没得说，就是欧式家具会显得房间有些局促', '短评打分': 5}
{'短评内容': '酒店设施豪华，感觉很好。服务员态度也不错。就是离地铁远了点。不太方便。总之挺好。', '短评打分': 3}
{'短评内容': '还不错，环境也很好，位置佳，有机会还会选择这家！', '短评打分': 5}
{'短评内容': '酒店富丽堂皇，设施不错，地理位置很好。是个不错的酒店。', '短评打分': 5}
{'短评内容': '欧式风格还不错吧 ，感觉不错，大家可以去体验一下', '短评打分': 5}
