{'短评内容': '还行吧，就是没有窗', '短评打分': 4}
{'短评内容': '一般般，而且是冲着浴缸去的，竟然没有，失望', '短评打分': 3}
{'短评内容': '听说，一般般了，服务不行', '短评打分': 3}
{'短评内容': '其他还OK，就是晚上回去酒店的路有点暗，没有路灯，还有的一点是，服务过于古板，说网上订的，只能下午两点后才能入住，两点前有空房都不给提前入住！', '短评打分': 5}
{'短评内容': '差', '短评打分': 1}
{'短评内容': '位置好，会员免费停车！我已经是第二次来了！因为退房时间是三点，太爽了', '短评打分': 5}
{'短评内容': '网络不敢恭维！', '短评打分': 4}
{'短评内容': '很差，没热水，又吵！', '短评打分': 1}
{'短评内容': '一般般房间', '短评打分': 4}
{'短评内容': '不错，挺好的', '短评打分': 5}
{'短评内容': '吵得很，隔音差。一晚上没睡好！', '短评打分': 4}
{'短评内容': '出差很忙碌，几乎天天没来得及关灯就睡着了。倒是很安静的', '短评打分': 5}
{'短评内容': '还行吧！卫生可以.', '短评打分': 4}
{'短评内容': '环境不错，价格合理，安静，卫生，服务也不错', '短评打分': 5}
{'短评内容': '环境不错，安静，卫生', '短评打分': 5}
{'短评内容': '还可以大体上比较干净，系列还有很多需要改进的地方，师妹没有窗，差点睡过头', '短评打分': 5}
