{'短评内容': '房间还好的', '短评打分': 5}
{'短评内容': '个人建议直接地毯换掉，进屋气味很难闻', '短评打分': 3}
{'短评内容': '到酒店没房了  下次再来', '短评打分': 5}
{'短评内容': '还可以', '短评打分': 4}
{'短评内容': '宾馆的位置还是比较好找的。就是明清宫街上。前台服务也很周到。房间的光线、空间大小、卫生情况都还可以。附近的餐馆还是有一些的，明码标价比较实惠。不过离热闹的万盛街还有点路，步行的话有1公里多。总的来说，还可以。', '短评打分': 5}
{'短评内容': '环境一般，就是硬件设施稍差点。老板态度不错。', '短评打分': 4}
{'短评内容': '环境一般，就是硬件设施稍差点。老板态度不错。', '短评打分': 4}
{'短评内容': '环境一般，就是硬件设施稍差点。老板态度不错。', '短评打分': 4}
{'短评内容': '酒店性价比很高，附近不远就有一大堆宵夜可以吃，很方便，强烈推荐', '短评打分': 3}
{'短评内容': '总体还不错，房价有点高', '短评打分': 3}
{'短评内容': '一般吧。老板人不错。', '短评打分': 3}
{'短评内容': '就是一个普通的小旅馆，设施简陋，卫生也不到位，价格偏贵', '短评打分': 3}
{'短评内容': '平时也就最多100元乡村宾馆的货色，拖鞋是胶鞋，洗刷用品都是最差的，连矿泉水都没用。旅馆老板说了2句话，我们这里不用Pos机，不安全，那全国这么多商家人家都是傻瓜，数你横店老板最聪明；还有他说国庆房费贵是市场经济，这是变相统一抬价。在携程里订的宾馆里最差的一次。不到第二天早上8点就开车有人，非常讨厌这样的人。', '短评打分': 2}
{'短评内容': '导航找到那边的，确实很不错 ，装修不久比较舒服卫生很好，还有电梯。', '短评打分': 5}
