{'短评内容': '环境不错,面积挺大,设施虽然有些旧了,但洗手间非常整洁,价格很实惠。服务挺好,帮忙把行李送到房间，一路还有简单介绍，常来的，每次都是住在这里，晚上很安静，有度假的感觉。', '短评打分': 5}
{'短评内容': '厕所堵了', '短评打分': 4}
{'短评内容': '厕所都堵了', '短评打分': 4}
{'短评内容': '还好吧，算起来住过好几次了。', '短评打分': 4}
{'短评内容': '经济实惠，房间干净卫生，周边很安静！', '短评打分': 5}
{'短评内容': '不错不错不错', '短评打分': 4}
{'短评内容': '还不错，3楼比较安静', '短评打分': 5}
{'短评内容': '边角的灰尘要好好打扫下', '短评打分': 4}
{'短评内容': '还不错，交通便利，周边配套齐全', '短评打分': 4}
{'短评内容': '匆匆忙忙定的，348的价格，完全可以是很好的三星级酒店，含早餐的。哪里知道躲在一个小角落，找都是难找的，里面没有电梯，就是几家人的老房子改造的，里面设备真是差，照片都是唬人的，真是假。这样的房间也就值个100顶多了。真是恶梦啊，348元一间。只能呵呵了！', '短评打分': 3}
{'短评内容': '这种价格的房间，在舟山来讲已经是错的了!', '短评打分': 4}
{'短评内容': '还不错 网速够快 也够宽敞', '短评打分': 3}
{'短评内容': '地段蛮好，性价比也蛮高', '短评打分': 3}
{'短评内容': '门口很脏，臭臭的，就一个小旅馆，价格虚高，就值50，要180', '短评打分': 3}
{'短评内容': '很规范，很舒适，价格也不高。', '短评打分': 3}
{'短评内容': '158这种价位真是让人觉得恶心，第一次给京东差评，走的时候还要检查房间，害怕我拿走那些破东西，插头少，很多东西无法充电，浴室小到不可以思议，洗手池上面就是莲蓬头，马桶和洗澡的人就只能站一个人，转下身都会撞到马桶，这种破房间还要信用卡押金隔音差，半夜都能听到对面的吵架声，位置窄小，电视柜就在脚下，更可气的是京东的一个高级客服回答，这样的房可能别人会喜欢，刚2天马上这房就降价了。', '短评打分': 1}
