{'短评内容': '毛巾真的是毛巾     一抖    下雪一样', '短评打分': 3}
{'短评内容': '无早餐，位置好。住宿环境烂', '短评打分': 4}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '环境不错，交通方便，离火车站很近价格合适。', '短评打分': 5}
{'短评内容': '设施一般，周边环境方便，但很吵，二者不可兼得。', '短评打分': 5}
{'短评内容': '可以！！合适', '短评打分': 5}
{'短评内容': '不好', '短评打分': 2}
{'短评内容': '太不怎么样了，要我们给押金才能无限，房间和环境都太差了太差了', '短评打分': 1}
{'短评内容': '旅馆环境条件、宾馆价格，有待提升才能对得起这个价位，做有性价比的旅店，仍需努力！', '短评打分': 3}
{'短评内容': '算不上星级酒店，以后希望你们软件能找到符合那个价格的酒店', '短评打分': 3}
{'短评内容': '以前来过    还行  以后来这继续住这吧', '短评打分': 3}
{'短评内容': '就这样，这个价格好不哪里去', '短评打分': 3}
{'短评内容': '一般般，房间给人的感觉……', '短评打分': 3}
