{'短评内容': '位置很好 风景特别好 每天都打扫卫生', '短评打分': 5}
{'短评内容': '宽敞，设备新，服务贴心。。。地段好', '短评打分': 5}
{'短评内容': '太古里对面，很方便。酒店内设施也很好。就是没有门禁，各种公寓酒店在一个大楼里错落分布。一个人就不敢住', '短评打分': 5}
{'短评内容': '房间不错。', '短评打分': 5}
{'短评内容': '服务好，房间一般', '短评打分': 5}
{'短评内容': '五星好评、洗衣机洗衣液 蒸汽熨烫机，太贴心了', '短评打分': 5}
{'短评内容': '还行，不错！就是稍微有点吵！附近挺方便！周围所有房间都是类似的！所以一定选择价格稍微实惠点的，不要被价格迷惑了！', '短评打分': 4}
{'短评内容': '相当不错很干净', '短评打分': 5}
{'短评内容': '非常好，很干净，服务很赞，还给我们介绍周边玩的地方', '短评打分': 5}
{'短评内容': 'h还行', '短评打分': 4}
{'短评内容': '这栋楼有很多类似的公寓，也住过很多家，目前这家是感觉最好的，价格稍微比其他贵一点，但也比较值。，卫生、设施都很不错。', '短评打分': 5}
{'短评内容': '很温馨的房间', '短评打分': 5}
{'短评内容': '服务很好，位置也很方便，观景房景观也很好。', '短评打分': 5}
{'短评内容': '服务可以，咨询出游随时可以打前台电话，就是卫生间淋浴的水洗完澡就会漫到马桶那边的隔间让人很不舒服，地毯可以翻新一下', '短评打分': 4}
{'短评内容': '酒店很好，里面的东西应有尽有，洗衣机，烫衣服的，比较新。结账时候扫一扫还送了个小熊猫，很可爱的小熊猫。', '短评打分': 5}
{'短评内容': '酒店还比较安静，设备齐全，就是地毯脏了点，有些细节还算完美。', '短评打分': 5}
{'短评内容': '非常好，接待热情，设施也很新...房间带洗衣机很方便', '短评打分': 5}
{'短评内容': ' 很喜欢！这是我住过性价比最高的酒店。很小资。就是地点比较难找，不过只要打电话问前台，总会得到热心的指导。', '短评打分': 3}
{'短评内容': '\n  不错，硬件很好，房间的配置也很精致，人性化服务让我们都很舒服,很习惯。服务人员很热情，耐心的讲解成都的一些吃喝玩乐及旅游事宜，很贴心。来成都其实就应该选择这种公寓式酒店,宽大卫生,设施齐备,悦亭真好,美中不足就是房太难订,这也难怪,好东西发现的人多!', '短评打分': 5}
{'短评内容': '出行之前网上对比了几家，选定了悦亭看中它的口碑比较好，最终也没有令我们失望呢，性价比真的非常好，房间很温馨，有家的感觉，卫生相当干净，位置也不错，步行至春熙路很方便，此次我们住在18层，晚上夜景也非常好，洗澡水也非常冲，总之我真是超五星的满意！', '短评打分': 5}
