{'短评内容': '感觉不好！看着不错！去了很后悔！', '短评打分': 1}
{'短评内容': '卫生间有死蟑螂，卫生不行，晚上服务员（男的）来送毛巾，一次性牙刷，没有敲门，试图直接进来，很可怕，建议女生不要自己住，', '短评打分': 3}
{'短评内容': '感觉还可以吧', '短评打分': 4}
{'短评内容': '住了三天，房内顶上蜘蛛网未清理，打扫卫生需通知才来，且仅处理卫生间，周围就是农村，也是为送小孩读市将就一下，不会再去住', '短评打分': 2}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '一般般，就是郊区。便宜。', '短评打分': 3}
{'短评内容': '附件吃的东西挺多，就是酒店旧了点       交通不是很方便  路比较小，容易堵车。   有免费停车场', '短评打分': 4}
{'短评内容': '要是考研的，尽量就不要订那么远了。早上赶时间不好打车，很多司机不愿意来这边。其他服务还是可以的，尤其是对面那家饺子好吃。', '短评打分': 4}
{'短评内容': '很满意，值得推荐！环境优美，服务周到热情.房间很干净，摆设布置也不错，周边很安静。非常舒适的酒店，室内设施完备，地理位置绝佳。 ', '短评打分': 5}
{'短评内容': '从没遇到同价格如此糟糕的酒店，牙刷刷的我牙龈流血，毛巾脏的像是被哪个得过性病的人用过一样还有黄色的印子，衣架拿不下来好像怕谁偷一样锁在棍子上，电视是什么玩意都不是背投的，被子薄薄一层晚上被冻醒，空调打到30°室温却只有23，台灯坏的，桌子是晃的，纸只有一包质量很差的那种，用一天就用完了，跟前台说居然要我自带纸？？还有入住时这前台在跟我抱怨客人多都没吃饭？！关我什么事？？怪客人？？还一副很拽的样子？', '短评打分': 2}
{'短评内容': '下次不会再住，不解释。', '短评打分': 1}
{'短评内容': '卫生一般，服务态度很差，早上一大早服务员就不停的喧哗。很垃圾的酒店。', '短评打分': 1}
{'短评内容': '酒店服务还行，离机场很近，但周围吃饭的地方比较少，这次是送孩子上学，以后还会住', '短评打分': 4}
{'短评内容': '一般吧', '短评打分': 3}
{'短评内容': '住宿反正就一句话：不划算，卫生也不怎么样。', '短评打分': 2}
