{'descr': '一班吧', 'star': 4}
{'descr': '好评', 'star': 5}
{'descr': '也许是我涉世不深，还没住过这么次的，100一宿我都嫌多', 'star': 3}
{'descr': '离办事的地方比较近 现在价格比较优惠 不想旅游季节那么贵 房屋设施就是快捷宾馆的标准 不好也不坏 还是不错的', 'star': 4}
{'descr': '酒店设施比较陈旧，洗手盆是坏的，热水洗澡出水很小，室内空气味道也不太好，如果未来不尽兴大规模升级不推荐', 'star': 2}
{'descr': '～～～～～～～～', 'star': 5}
{'descr': '周围环境还可以，有点吵', 'star': 5}
{'descr': '隔音效果不好', 'star': 5}
{'descr': '    还不错，住着挺安静', 'star': 5}
{'descr': '房间整体还算安静，周边交通比较方便。就是设施有点旧，空调开暖风时每次启动都能有不小的动静。房间没有免费水喝，不过楼下超市很近吃喝不愁。', 'star': 5}
{'descr': '商务酒店，环境不好，硬件太差太旧，没有专业的服务人员', 'star': 3}
{'descr': '性价比很高，不错的酒店', 'star': 4}
{'descr': '酒店设施较老，其他可以。', 'star': 4}
{'descr': '房间挺好，大雪天住的，暖气还可以。吃饭要单开票，不算在住宿里。', 'star': 4}
{'descr': '快捷酒店', 'star': 3}
{'descr': '快捷酒店', 'star': 3}
{'descr': '酒店还可以，11:00到后晚上没有停车位了。', 'star': 5}
{'descr': '离北京西站很近，出行很方便，卫生间有点小，价格再便宜点就更实惠了。', 'star': 5}
{'descr': '环境不错，房型也很好', 'star': 3}
{'descr': '差强人意，店家你懂的。', 'star': 3}
{'descr': '整体还可以吧，没什么特别之处。。。。。。', 'star': 5}
{'descr': '整体还可以吧，没什么特别之处。。。。。。', 'star': 5}
{'descr': '帮同事临时订的，总体来说挺满意的，环境比较干净。', 'star': 5}
{'descr': '帮同事临时订的，总体来说挺满意的，环境比较干净。', 'star': 5}
{'descr': '入住的大床房，不错，面积挺大，房间挺干净，', 'star': 3}
{'descr': '入住的大床房，不错，面积挺大，房间挺干净，', 'star': 3}
{'descr': '我感觉还是不错的，离西客站也近，服务也不错，房间也干净。', 'star': 5}
{'descr': '我感觉还是不错的，离西客站也近，服务也不错，房间也干净。', 'star': 5}
{'descr': '酒店的软硬件都还可以，唯一不方便的是地址不好找，打车问出租车司机都不知道在哪，转了十几分钟才找到。', 'star': 3}
{'descr': '酒店的软硬件都还可以，唯一不方便的是地址不好找，打车问出租车司机都不知道在哪，转了十几分钟才找到。', 'star': 3}
{'descr': '入住一晚，性价比很不错，服务也不错，以后还会去入住的，', 'star': 5}
{'descr': '入住一晚，性价比很不错，服务也不错，以后还会去入住的，', 'star': 5}
{'descr': '价格还算公道，环境也不错，交通便利，推荐入住！', 'star': 5}
{'descr': '价格还算公道，环境也不错，交通便利，推荐入住！', 'star': 5}
{'descr': '很一般，环境不是很好，卫生也一般，就是离西站近些，不推荐。', 'star': 1}
{'descr': '很一般，环境不是很好，卫生也一般，就是离西站近些，不推荐。', 'star': 1}
{'descr': '酒店环境很一般\n服务态度很一般\n就是离西站比较近', 'star': 1}
{'descr': '酒店环境很一般\n服务态度很一般\n就是离西站比较近', 'star': 1}
