{'短评内容': '服务员服务很好，性价比很高', '短评打分': 5}
{'短评内容': '非常喜欢，性价比高', '短评打分': 5}
{'短评内容': '下次继续预定', '短评打分': 5}
{'短评内容': '经济实惠优质', '短评打分': 5}
{'短评内容': 'qwww让人他天天挺有意义', '短评打分': 5}
{'短评内容': '地方很好找，离地铁站或公交站很近，邻居便是超市经济实惠，干净，服务好', '短评打分': 5}
{'短评内容': '位置很好，酒店房间一般般，价格便宜', '短评打分': 5}
{'短评内容': '太贵', '短评打分': 5}
{'短评内容': '一般', '短评打分': 5}
{'短评内容': '好评好评好评好评好评', '短评打分': 5}
{'短评内容': '还是不错的。周边也很热闹', '短评打分': 5}
{'短评内容': '还可以！在周边来说算不错了！干净卫生价格合理，旁边就有吃的也有超市！很愉快！就是服务员老来催退房很烦！', '短评打分': 4}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 3}
{'短评内容': '进门就上床，大床房里的床明明是一张单人床，房间之间感觉就是用薄板简单隔断了下，可以清晰的听到隔壁房间的说话声音，没敢住，也没法退，当成买一次教训吧', '短评打分': 2}
{'短评内容': '没窗，隔音不好，房间非常小。', '短评打分': 3}
{'短评内容': '隔音很不好', '短评打分': 3}
{'短评内容': '不错！挺好的！满意通红送送去', '短评打分': 3}
{'短评内容': '交通较方便，离地铁近，价格也比较便宜，但旁边有个ktv，晚上比较吵', '短评打分': 4}
{'短评内容': '旅馆在3楼，2楼有ktv，到2点还有人唱歌，太乱了。', '短评打分': 1}
