{'短评内容': '旧了', '短评打分': 3}
{'短评内容': '！还可以', '短评打分': 5}
{'短评内容': '酒店位置可以,周遍有公交去火车站和市中心。但住宿设施陈旧,卫生间偏小,wifi信号弱无法使用;服务质量也差强人意,早上退房后原想在酒店寄存一物件,服务员先说没地方，后勉强同意后又说如果遗失不负责任，只得作罢。以后不会再来了。', '短评打分': 3}
{'短评内容': '服务舒服太慢了', '短评打分': 3}
{'短评内容': '性价比还行吧', '短评打分': 4}
{'短评内容': '里面太臭环境极差', '短评打分': 1}
{'短评内容': '老的宾馆、距离二号桥市场很近、交通也很方便、就是住宿条件差了些', '短评打分': 3}
{'短评内容': '还行，要求不高的可以入住，，，，', '短评打分': 3}
{'短评内容': '一般般', '短评打分': 4}
{'短评内容': '不是很好但还可以凑活！！！', '短评打分': 4}
{'短评内容': '还可以的，我2年前来就是经常在这家常住了。这次朋友来还是安排在这住，总的来说还是很经济实惠，不错的', '短评打分': 5}
{'短评内容': '厕所有点小，房间也够大，离天一比较近，晚上也比较安静，只是上网只能上qq，不能开网页。不过还算满意', '短评打分': 5}
{'短评内容': '交通啊，价位啊，都还是可以的，性价比比较高~', '短评打分': 5}
{'短评内容': '厕所太小，坐上去低不了头，一低头就碰着，', '短评打分': 1}
{'短评内容': '还不错！价格实惠，卫生干净。挺好的，可以考虑', '短评打分': 5}
{'短评内容': '价格比较实惠的，服务也还行，卫生也不错。。', '短评打分': 5}
{'短评内容': '旅馆很一般，价格适合，临时住一下还行。。', '短评打分': 5}
{'短评内容': '性价比还好，就是旧了些。', '短评打分': 3}
{'短评内容': '我咋晚已住，整体还可以', '短评打分': 3}
{'短评内容': '旅馆很一般。。地方小设施旧。。', '短评打分': 3}
{'短评内容': '房间小，水龙头有点坏的，其他一般，个人认为不值', '短评打分': 3}
{'短评内容': '房间还行。就是旧了些。', '短评打分': 3}
{'短评内容': '服务人员态度非常好，就是硬件太旧了些。', '短评打分': 3}
{'短评内容': '每次到宁波就直奔这里，除了房间有些灯不亮，其他都很合适~', '短评打分': 5}
{'短评内容': '服务还好，空间小了些。', '短评打分': 3}
{'短评内容': '交通很便利，房间还好。就是服务有点不好-尤其是清洁阿姨。', '短评打分': 5}
{'短评内容': '房间还不错，有电视是液晶的，有网。网速不错呀，就是房间有点味道…地理方面偏僻了点，整体还行，比我上次去的一家好', '短评打分': 3}
{'短评内容': '近邻宁波体育中心，二号桥市场。一直没有找到传说中的美食一条街。周围快捷酒店铺天盖地。7天，汉庭，如家……', '短评打分': 5}
{'短评内容': '住了这么多次，满意。。。。。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '和以前一样，喜欢。这里前台的服务很好，经理很热情。', '短评打分': 5}
{'短评内容': '亿豪服务还好，也算安静，就是蚊子太多。', '短评打分': 3}
{'短评内容': '以往即如的好，反正来宁波就会直接奔这里。不会在预定选择其他的酒店', '短评打分': 5}
{'短评内容': '条件等跟价格和符合，虽然离开宁波东站的距离不是很远，但是没公交车直达', '短评打分': 5}
{'短评内容': '还好，就是没有衣架！', '短评打分': 3}
{'短评内容': '设备老化，噪音大，地段不好，市场太过于喧杂了', '短评打分': 1}
{'短评内容': '没有空调！！！噪声比较大！！！卫生倒还可以！！', '短评打分': 1}
{'短评内容': '酒店一般，里面的设施也有些久了点，刚开始进去有种味道，可能是挺久没住过的味道，房间也不大，总体来说还是很一般的', '短评打分': 5}
{'短评内容': '酒店很干净，比较舒服，紧邻宁波饮食一条街，吃住都很方便。另外宁波人很好。', '短评打分': 5}
{'短评内容': '价位比较实惠，房间也比较干净  但是房间有蚊子，要注意杀虫啊', '短评打分': 5}
{'短评内容': '还是比较不错的 就是我去住的时候 没空调！', '短评打分': 5}
{'短评内容': '特价房无电话，房内灯具已坏一半。其他良好。', '短评打分': 3}
{'短评内容': '虽然外面的环境（周围是菜市场之类的）不是特别整洁，但酒店内部还是可以的，值这个价格。大床房，自己加了20块钱，有电脑，电脑性能还行，看看电影之类的完全没问题，特别吃惊的是网速很快，下载能有700kb/s。没有纱窗，有点怕怕的~还好今天凉快，应该没蚊子吧。厕所有点挤……', '短评打分': 5}
{'短评内容': '便宜,除了位置偏些,都好~~~~~~~~', '短评打分': 5}
{'短评内容': '不错，服务态度很好。', '短评打分': 3}
{'短评内容': '绍兴那边算便宜了，实惠的，尽管相比其他地方比如宁波，这个价格有点贵', '短评打分': 5}
