{'短评内容': '还可以，不错了', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '离步行街很近，一分价钱一分货', '短评打分': 3}
{'短评内容': '地理位置很好，就是太乱了。卫生不是很理想。', '短评打分': 5}
{'短评内容': '酒店环境挺好，交通很方便，买东西也很方便，价格实惠。', '短评打分': 5}
{'短评内容': '环境一般，服务一般，本来订的是电脑房，结果电脑不能用，有点失望?', '短评打分': 2}
{'短评内容': '还可以吧，设施有点旧', '短评打分': 3}
{'短评内容': '还行有点旧，但是总体感觉还不错', '短评打分': 3}
{'短评内容': '入住麻烦  店里不好找 房间比较差', '短评打分': 3}
{'短评内容': '酒店位置很难找，是个便利店里面呢，房间还好就是空调老响，总体来说一般吧', '短评打分': 4}
{'短评内容': '总的来说还是可以的，可以改进的地方就是提供茶包．\n', '短评打分': 5}
{'短评内容': '酒店不错！很方便，旁边就是光谷步行街。就是空调不是很给力！', '短评打分': 5}
{'短评内容': '在光谷步行街旁边，交通比较方便，房间很大，不错。', '短评打分': 5}
{'短评内容': '房间没有电视，面积还可以，楼层蛮高，周围在修路', '短评打分': 3}
{'短评内容': '其他都很好  就是洗澡很不爽  水一下大一下小  时冷时热', '短评打分': 5}
{'短评内容': '环境很不错，价格也不高，很适合学生住宿。', '短评打分': 5}
{'短评内容': '地点很好， 很方便。 就是装修太陈旧了， 建议更换好一点的二手家具， 不要老是用垃圾场拣来的。', '短评打分': 5}
{'短评内容': '帮家人订的，他们说不错，房型嘛，在尚都公寓里，都差不多', '短评打分': 5}
{'短评内容': '价廉物美，值得推荐。..............................', '短评打分': 5}
{'短评内容': '烧水壶是坏的，不过门房有饮水机。进屋的时候有霉味，没窗子，不过厕所出去是个很小的露台。', '短评打分': 5}
{'短评内容': '地方小不说卫生条件真是差啊！床上都是分泌物和不明毛丝，设施也差，电视就6个台，真是无话可说，明天换地方了', '短评打分': 1}
{'短评内容': '    只能说还好，将就，洗澡不方便有点冷，，电脑屏幕泛绿，上网也不爽。其他很简陋，房间明显是才装修不久。感觉不值', '短评打分': 3}
{'短评内容': '还可以得吧..地方就离大球球很近.. 很好的地方~下次还去那里', '短评打分': 5}
{'短评内容': '怎么说呢？第一次住得时候很满意，可是这次真的很失望。12点多才要到房，浴巾只有一条，只有烧水壶没有被杯子。网络时好时不好，慢！', '短评打分': 5}
{'短评内容': '一般，設備陳舊，房間不夠乾淨，電視頻道太少', '短评打分': 5}
{'短评内容': '就在光谷步行街的方便，位置非常便利，而且也很好找，就是最高的那栋尚都公寓，房间类型类似于家庭旅馆型的，很温馨，天蓝色和粉色相间的墙壁，被子很厚实，大床特别舒服，预定的电脑房，唯一不足是电脑网速比较慢，其他都喜欢的不得了~~~', '短评打分': 5}
{'短评内容': '很不错~服务态度也很好~很适合游玩是居住~', '短评打分': 5}
{'短评内容': '房间空间够大就是没有宣称的家电，总体感觉蛮好', '短评打分': 5}
{'短评内容': '不错。值得推荐。价格便宜有有电脑玩。我喜欢。\n缺点就是预定的是套房，结果只留了个单间。\n有机会在来住套房吧。', '短评打分': 5}
{'短评内容': '总体还可以，就是房间有点小，床有点硬。交通还比较便利，酒店下就是光谷步行街，比较方便，性价比还行', '短评打分': 5}
{'短评内容': '一次入住、永生难忘。25楼。房很大。也很干净。。。。。', '短评打分': 5}
{'短评内容': '酒店位置很好，下面就是商业街，交通也方便，房间小点，不过设施还可以，很干净，在28楼视野不错，晚上也很安静，价格也公道。', '短评打分': 5}
{'短评内容': '设施还比较好，主要是位置好,价格还算厚道', '短评打分': 5}
{'短评内容': '地方难找了。住进来没有一点酒店安全感.房间蛮大的.就是房间的房顶看的很黑人.完全失去了住酒店的信心.希望多改进...', '短评打分': 1}
{'短评内容': '说是新开的 墙是黄的，被单洗的也不干净。床还很硬，在也不住了 ', '短评打分': 1}
{'短评内容': '有点不像酒店公寓，床很难睡，就是地理位置不错', '短评打分': 1}
{'短评内容': '周围环境真的很不错，购物超方便。这个价钱ok了，电脑配置也不错。就是天花板上缺几块，让人觉得档次低', '短评打分': 5}
{'短评内容': '设施有点陈旧，水一会热，一会冷，而且很难找', '短评打分': 1}
{'短评内容': '房间很不错，价位也很便宜。下次出行的首选！', '短评打分': 5}
{'短评内容': '还行 ···~~~~~~~~~~~~~~~~~~~~~~~~', '短评打分': 5}
{'短评内容': '挺好的，打电脑，网速也还行。价格很实惠，就是半夜去打扰别人了。哈哈哈哈', '短评打分': 5}
{'短评内容': '公寓式酒店，房间大，不错\n只是装修过于简单', '短评打分': 5}
{'短评内容': '位置非常好，出行挺方便，价格也不贵，住的挺划算。', '短评打分': 3}
{'短评内容': '酒店挺不错，干净卫生、出行方便，价格合理。', '短评打分': 5}
{'短评内容': '房间不大，但是打扫挺干净，基本设施都有，住的还算舒适，价格上挺实惠的。', '短评打分': 5}
{'短评内容': '房间布置的挺温馨，住的挺舒适，服务态度也挺好的。', '短评打分': 5}
{'短评内容': '价格便宜，房间虽小但很温馨，也很卫生，在28楼，视野很好，性价比高。', '短评打分': 5}
{'短评内容': '挺不错，性价比挺高的一家酒店，住的挺满意的。', '短评打分': 5}
{'短评内容': '环境不错，服务挺好，出行挺方便，性价比挺好。', '短评打分': 5}
{'短评内容': '环境挺干净的，晚上也挺安静，睡着挺踏实，网速挺快的，用着挺好用。', '短评打分': 3}
{'短评内容': '卫生倒是非常不错，设施挺齐全，就是床是弹簧形式的，睡着不舒服。', '短评打分': 3}
{'短评内容': '楼下就是步行街，逛街挺方便，交通也挺便利，卫生做得挺好，设施有待于提高。', '短评打分': 3}
{'短评内容': '房间采光很好，卫生也不错，基本设施都有，住的挺舒适。', '短评打分': 3}
