{'短评内容': '的确不错', '短评打分': 5}
{'短评内容': '设施比较旧，空调吵的睡不着，门廊的灯还关不上', '短评打分': 3}
{'短评内容': '酒店很好，网上订的，预定非常方便，冬天的话略冷，夏天出游无妨', '短评打分': 4}
{'短评内容': '老旧的，服务态度一般，味道比较重', '短评打分': 2}
{'短评内容': '酒店价格便宜，但是设施太简单。', '短评打分': 2}
{'短评内容': '酒店有点久远，设备需要更新了，价格还是很实惠的！', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还算不错，价格划算', '短评打分': 5}
{'短评内容': '很干净，在当地应该属于大旅馆，只是没有配牙刷牙膏，吹风机也不够用，旁边的烧饼卷大葱很好吃。', '短评打分': 5}
{'短评内容': '设施很陈旧，还不提供洗漱用品，早餐不到八点就没东西吃了，也不提供新的了。不是五一期间订不到房了真不会选择这里。', '短评打分': 1}
{'短评内容': '房间还行 挺干净 就是没有洗漱用品', '短评打分': 3}
{'短评内容': '房间太小了 ', '短评打分': 3}
{'短评内容': '房间设施一般，无网络。', '短评打分': 3}
{'短评内容': '五馬的房間太差，比我們同樣價格定的曲阜銀座佳倚酒店差的太多。', '短评打分': 3}
{'短评内容': '大堂很大气 很干静', '短评打分': 3}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '旅行团入住的酒店,人多而且杂,房间装修比价低档,不推荐', '短评打分': 1}
{'短评内容': '酒店离出差的地方蛮近的。。就是房间稍微小了点！！！', '短评打分': 1}
{'短评内容': '房间太旧，房间床不好，而且热水早上不热，毛巾还是脏的有污渍，建议提高！', '短评打分': 1}
{'短评内容': '离工作的地方很近。。。。很方便！！！！！', '短评打分': 5}
{'短评内容': '位置不错，在东湖公园，晚上吃了饭可以散散步。房间不大，卫生间还可以，不会感觉狭小', '短评打分': 5}
{'短评内容': '虽然房间有点小，但是前台的服务态度很好！性价比很高，值得推荐', '短评打分': 5}
{'短评内容': '作为一家泰山脚下的三星级宾馆，160元的标间价格也算合适。房间晚上倒也安静，独立卫生间比较简陋，虽为24小时热水，但水流很小。\n次日结账，该宾馆标间的挂牌价为380元。首日入住、次日退房，总共两个电梯，始终只开一个电梯，等半天。有两个中途上电梯的妹妹，说已连续等了3拨，无论如何都要挤进来。\n该宾馆住宿不包括早餐。从宾馆到泰山脚下的岱宗坊还是有一段不远不近的距离，开车大概10来分钟到。', '短评打分': 5}
{'短评内容': '价格合理，位置方便，离火车站和红门都较近。不过设施老旧。', '短评打分': 5}
{'短评内容': '宾馆距离泰山很近，比较方便，住宿条件不错。', '短评打分': 3}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '十分差饭店，离泰山红门入口还有三公里，硬件及前台服务都不好，周围环境很脏乱，但是酒店饭馆服务很好，菜量大，不会再来这家饭店了', '短评打分': 5}
{'短评内容': '旅馆位置有点偏，外观看起来旧旧的，内部还算不错~\r\n服务员很热情，停车也很方便，就是走的那天早上没有热水洗澡太不好了~！', '短评打分': 3}
{'短评内容': '环境还不错，服务员蛮周到的！', '短评打分': 5}
{'短评内容': '+前台很大，像三星的，房间太小，最多一星。', '短评打分': 5}
{'短评内容': '综合感觉还行，离泰山天外村还近，下次去了一定还去', '短评打分': 5}
{'短评内容': '酒店在市区里面临街出行交通很方便，也会有些吵。', '短评打分': 5}
{'短评内容': '五马宾馆地理位置很优越距离景区比较近，出行也很方便。', '短评打分': 5}
{'短评内容': '床上的物品比较不错，像是床单被褥都非常舒适。', '短评打分': 5}
{'短评内容': '酒店的服务卫生都很不错，卫生做的很细致。', '短评打分': 5}
{'短评内容': '服务态度很好，有问题找的话都是笑呵呵的，也尽量满足我们的要求。', '短评打分': 5}
{'短评内容': '房间太小，不适合两个住宿；卫生清洁不彻底；设施陈旧。', '短评打分': 1}
{'短评内容': '酒店环境还不错了，最起码算是干净舒适的酒店。', '短评打分': 5}
{'短评内容': ' 设施一般，房间很小，洗漱用品很不好撕开，淋浴水流很小。', '短评打分': 1}
{'短评内容': '房间稍微旧了一些但是在当地应该算是比较不错因为无论从外观和里面的环境看的话这家酒店应该算是很好的一家了，但是附近的交通不是太方便去泰山打车不是太好打，服务态度有些不太专业当时也是跟她前台说了两遍说我下午六点才退房但是十二点之后还是有人给我打电话问我退不退房可能也是他们前台在交接班的时候也没有交接清楚不过这都是小问题也关系，价格还可以也不算很贵。还是很不错的酒店。', '短评打分': 5}
{'短评内容': '酒店感觉比较陈旧', '短评打分': 5}
{'短评内容': '酒店的位置很好，离旅游景点挺近的，出行很方便的。', '短评打分': 5}
