{'短评内容': '不错，卫生干净位置又好，特别是前台，服务都很好', '短评打分': 5}
{'短评内容': '没意见', '短评打分': 5}
{'短评内容': '服务太差，今后再不住了！', '短评打分': 1}
{'短评内容': '停车方便，出行方便，就是有点吵', '短评打分': 4}
{'短评内容': '服务员真的很差劲，问她买桶水都不给买，说他们买便宜，让我自己买。以后不会去了', '短评打分': 4}
{'短评内容': '后面对车场 嘈杂空气不好', '短评打分': 4}
{'短评内容': '位置很好，就在长途汽车站东，去龙胜梯田十分方便助力，出酒店饮食小吃随意选。房间高畅宽大，配置简单实用，朝南可俯视县城景色，我下午抵达，第二天早上游梯田，尽管只短暂一天，简游市内风光，也有美好印象。', '短评打分': 4}
{'短评内容': '很不错。舒适安静整洁卫生。', '短评打分': 5}
{'短评内容': '很不错。舒适安静整洁卫生。', '短评打分': 5}
{'短评内容': '很不错。舒适安静整洁卫生。', '短评打分': 5}
{'短评内容': '广西的便捷式酒店应该要数城市便捷最舒适', '短评打分': 5}
{'短评内容': '酒店算卫生，在县城中心，旁边是汽车站', '短评打分': 4}
{'短评内容': '遇上停电，酒店又不发电，竟然从入住到退房一直没电也没热水洗澡', '短评打分': 4}
{'短评内容': '是这次广西之行最满意的一家，停车场宽敞舒适，酒店大堂明亮大方，房间装修上档次，门前就是县城的美景，特别是晚上的夜景。', '短评打分': 4}
{'短评内容': '是这次广西之行最满意的一家，停车场宽敞舒适，酒店大堂明亮大方，房间装修上档次，门前就是县城的美景，特别是晚上的夜景。', '短评打分': 4}
