{'短评内容': '首先说下房间卫生，表面看起来还算整洁，但是在床的不明显出和床单上有零星的头发。空调滤网可能很久没清理过，打开后会有灰尘。在说下服务，要枕头啊，厕纸啊都比较快就能送到房间。酒店位置虽然位于景区内，但坐车是不太方便。', '短评打分': 4}
{'短评内容': '位置好 比较安静 酒店内外环境挺好 大堂小姐姐人也不错 出门还看到了一辆马车 自己一个人来天津 考试兼游玩 住这里还是不错的', '短评打分': 5}
{'短评内容': '地方很不错风景很好，和天津外国语大学很近出来遛弯的时候很养眼，美女很多啊。有停车场。吃饭也非常方便。', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '方便，卫生，安静，服务好', '短评打分': 5}
{'短评内容': '很好，很棒！', '短评打分': 5}
{'短评内容': '不错，安静，地点挺好的，交通便利！', '短评打分': 5}
{'短评内容': '房间不错，阳光也挺好的！', '短评打分': 5}
{'短评内容': '环境很好，', '短评打分': 5}
{'短评内容': '房间好，物超所值！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '地段挺好的，交通也方便，酒店卫生也不错，下次还会再去的', '短评打分': 5}
{'短评内容': '环境优雅，价位合理，交通便利。', '短评打分': 5}
{'短评内容': 'wifi也太慢了 超级慢  订了三晚 住了一晚   慢的我都不想继续住那两晚了   诶', '短评打分': 5}
{'短评内容': '风景很好，服务也不错', '短评打分': 5}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '不错，挺好。下次还会住', '短评打分': 5}
{'短评内容': '很暖和，很舒服，也很干净，快捷酒店里算不错的了。', '短评打分': 5}
{'短评内容': '位于5大道，位置不错，很幽静。但是周围没有商店，餐馆不多。', '短评打分': 5}
