{'descr': '空调声音较大点，其他还好。', 'star': 4}
{'descr': '距离总公司比较近，今后过来继续入住，本次是第二次入住了！', 'star': 5}
{'descr': '酒店还可以，挺不错的', 'star': 5}
{'descr': '床铺不干净', 'star': 4}
{'descr': '中央空调出暖气的方式舒适感太差', 'star': 4}
{'descr': '早餐非常棒', 'star': 5}
{'descr': '嗯  还是一如既往地好  一直住他们家 给个五分哈', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '多次预订，环境好，房间卫生。', 'star': 5}
{'descr': '锦江不错，每个细节都很贴心，舒适。被子透气，水温刚刚好，即简约又家用。', 'star': 5}
{'descr': '还恍恍惚惚恍恍惚惚恍恍惚惚哈哈，h', 'star': 5}
{'descr': '交通便利，', 'star': 4}
{'descr': '价格适中，退房时间较早，如果能在下午2点会更好。', 'star': 5}
{'descr': '中央空调这个响，晚上根本睡了不了，太吵了，不开空调冷。开空调吵', 'star': 4}
{'descr': '老字号连锁，干净、安全、便捷！很不错！', 'star': 5}
{'descr': '环境不错…服务周到…安全舒适 满意', 'star': 4}
{'descr': '房间小，做饭的味道大，卫生较差。', 'star': 3}
{'descr': '交通方便，客房设施一般', 'star': 4}
{'descr': '环境好，舒适干净。性价比高。', 'star': 5}
{'descr': '还行~呵呵', 'star': 5}
{'descr': '简洁干净，地理位置好，离办事的地方非常近，以后还会选择', 'star': 5}
{'descr': '离火车站10分钟路，不打车，很干净和安静。', 'star': 3}
{'descr': '锦江之星没得说，服务、卫生都很不错的说，就是离火车站稍远，走路约10分钟，打车过去又不合适，整体还是不错的。', 'star': 5}
{'descr': '还不错，附近有驴肉吃，距离火车站也不远，最关键离我要去的地方近，嘿嘿', 'star': 5}
{'descr': ' 服务非常不错 非常推荐！很温馨，非常宁静，强烈推荐', 'star': 5}
{'descr': '服务很好  很喜欢  是不错的选择   很喜欢的酒店   工作人员不好', 'star': 5}
{'descr': '很好，一直住', 'star': 3}
{'descr': '交通便利，房间很干净，前台服务员的态度也很好，推荐', 'star': 5}
{'descr': '环境很好，设备也不错，注意其实有早餐的，可以要哦', 'star': 5}
{'descr': '酒店卫生较好，环境安静，服务也好。交通便利，出行很方便。\n', 'star': 5}
{'descr': '酒店卫生还可以，比较安静，服务也还可以。主要是这里交通便利，出行购物都很方便', 'star': 5}
{'descr': '酒店很安静，服务不错，出行也方便！下次还会继续来住', 'star': 5}
{'descr': '空间比较大，但设施比较少，而且有些简陋，还算干净，价格比较便宜。\n发一下牢骚：住店的时候正好赶上跑水，电梯不能用，结果只能锻炼身体爬楼梯，全当运气不好吧。可是回到房间准备上网，发现网线两端的水晶头都坏了，反映到前台说，正在忙，也许是全都去处理泡水了，准备理解一下，等一等，可这一等，就没信了。。。。', 'star': 1}
{'descr': '酒店的装饰和其他的锦江不一样，很现代，很漂亮，房间没有惊喜，但是也不错，干净安静，离火车站不是特别的近，其他都很好', 'star': 5}
{'descr': '从五点等到八点才住进来,外面有点吵,整体感觉一般吧，', 'star': 3}
{'descr': '环境真的挺不错，离火车站也近，走过去十来分钟的样子。值得入住~', 'star': 5}
{'descr': '一直都比较喜欢住锦江之星，感觉环境很好。很干净，而且可以有地方吃饭。', 'star': 5}
{'descr': '上周住的，酒店错，挺干净，服务也不错。就是临近马路，隔音效果不好，伤不起我一直能听到。我真的伤不起。', 'star': 5}
{'descr': '挺不错的，以前都在南方出差，住的很方便，现在经常跑北方，普遍感觉北方酒店不行。经常住一天又想换，为了省心，以后决定住各地的锦江之星。', 'star': 5}
{'descr': '挺好的，干净，卫生，态度也不错！旁边就是百盛！', 'star': 5}
{'descr': '干净卫生方便。', 'star': 3}
{'descr': '非常干净卫生，也不吵闹。建议去体验，价钱优惠挺不错的。', 'star': 5}
{'descr': '干净卫生环境好', 'star': 3}
{'descr': '还不错，挺干净的，就是临街有一点吵。。。。。。。。。。。', 'star': 5}
{'descr': '环境很好', 'star': 3}
{'descr': '环境很好，很干净，交通便利，很满意。', 'star': 3}
{'descr': '一般。位置不是在火车站周边。火车站出来步行要10分钟。', 'star': 1}
{'descr': '距离火车站不远，还算是比较干净。很不错。', 'star': 5}
