{'短评内容': '老板人挺好的！环境环境很是一般', '短评打分': 4}
{'短评内容': '感觉很好，老板好说话！', '短评打分': 5}
{'短评内容': '还可以，不错', '短评打分': 5}
{'短评内容': '算是民宿吧，条件比不上酒店，但该配备的都有配备；离乌镇西栅挺近的，走路5分钟能到；旁边很多家餐馆和超市，不愁吃，价格比一般餐馆略高，可接受；老板态度很好，很热情。总体上不错，好评。', '短评打分': 5}
{'短评内容': '无早餐，不能加床', '短评打分': 5}
{'短评内容': '嗯……环境一般吧，卫生间太小，不过离景区很近，几分钟就到，离车站也不远，比较方便。', '短评打分': 4}
{'短评内容': '干净整洁性价比高，很喜欢这里。', '短评打分': 5}
{'短评内容': '是不错的选择', '短评打分': 5}
{'短评内容': '很安静，设施很齐全，很赞', '短评打分': 5}
{'短评内容': '老板人很好，房间很安静，来回景区还来接送，非常推荐', '短评打分': 5}
{'短评内容': '老板人不错，住宿这个价钱算不错，离西栅不远，各方面都不错。', '短评打分': 3}
{'短评内容': '客栈老板一家都很热情，来乌镇汽车站接的。房间宽敞虽然不是有情调的那种，但是家的味道十足。炒菜也很好吃！值得推荐！下次来还会住这家。', '短评打分': 3}
{'短评内容': '房间设施一般，就是家庭旅馆，举例西栅景区不远。五一期间价格翻了四倍，呵呵。大家自己选择吧～！', '短评打分': 3}
{'短评内容': '老板人好好还亲子接送。还在景区门口等了好久', '短评打分': 5}
{'短评内容': '不错的店，老板热情，房间宽敞，去景点也方便，最重要的是性价比超级划算', '短评打分': 4}
