{'短评内容': '房間大地點好', '短评打分': 5}
{'短评内容': '房間很大，床很舒適，還有桌上型電腦適合辦公上網，酒店地點很好，附近美食眾多，有免費wifi，值得推薦', '短评打分': 5}
{'短评内容': '接近两百的单间酒店竟然没空调 差', '短评打分': 1}
{'短评内容': '还不错，比较卫生', '短评打分': 4}
{'短评内容': '感觉还不错，一个人住还可以。', '短评打分': 5}
{'短评内容': '总结还可以', '短评打分': 4}
{'短评内容': '还行', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '房间单人订的房间小一些，不过整体还可以', '短评打分': 5}
{'短评内容': '房间设施比较陈旧了，卫生间味道大，床快塌了的感觉，总体不舒服', '短评打分': 2}
{'短评内容': '很差，很差 很差。劝你们最好不住。房间里不知道是什么味道 很浓。卫生间简直脏到！  房间也很脏！', '短评打分': 1}
{'短评内容': '房间特别大 就是没有空调北方人有点点不习惯', '短评打分': 3}
{'短评内容': '不怎么样', '短评打分': 2}
{'短评内容': '第一次给开的房间真的不想吐糟，后来换的房间跟图上一样挺好了。', '短评打分': 5}
{'短评内容': '好好好好', '短评打分': 5}
{'短评内容': '硬件和图片上差不多，本来很期待的，床还算舒服，但服务员态度差、电视没信号服务员也不管、卫生间屋顶发霉……相比同样位置、同样价位的酒店，还是差了，不会再去', '短评打分': 1}
{'短评内容': '酒店还可以，虽然有点小，但是很温馨！', '短评打分': 3}
{'短评内容': '交通便利，吃的多，是商业中心……白天有点吵。房间装修不错，但会跳闸', '短评打分': 5}
{'短评内容': '硬件设施还是有些问题的，屋子里有股味道，但是位置方便，我住在25楼，能看看南屏街的夜景', '短评打分': 5}
{'短评内容': '一共住了两次，下次是绝对不会再住这里了，他们的所有服务员都不会说您好，都不会微笑，相当之没礼貌。我住的单间，一进去那个味儿啊，好大的一个像抽油烟机的那种管子从楼上的墙上深下来，也不知道是干嘛的，怪吓人的。网速就别提了，慢得和1K/S似的。最逗的是酒店给床头啊什么的放了挺好的床头灯，然后插座在床尾，隔十万八千里怎么插啊。最差劲的就是前台的服务员，这家酒店想要再好发展第一件事就是给服务员都换了，不然就', '短评打分': 1}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': '酒店房间，环境不错，地理位置也好。\n可惜前台有几个服务员态度很差，不负责任。\n在这个酒店订了同时订了2间房子，连续住了好几天，别的还说得过去，就是前台服务员的态度相当不好，试图和客人发生争执，说谎，骗人，骗钱。还在上班时间用酒店电脑玩游戏~\n建议酒店老板聘请几个有点礼貌，有点素质的服务人员~', '短评打分': 1}
{'短评内容': '酒店房间，位置都不错~前台的服务员态度相当不好，也相当不负责任~还会骗人~骗钱~\n', '短评打分': 1}
{'短评内容': '地理位置很好，房间干净整洁，但地下停车厂需要支付很昂贵的停车费，驾车去的不划算', '短评打分': 5}
{'短评内容': '环境和装修都恨不错，干净整洁，银座的位置也好，里南屏街比较近，交通方便，推荐。预订的是商务标间，但是到酒店以后没有标间，按标间的房价调换到商务套房，很舒服。但是走廊里没有灯。', '短评打分': 5}
{'短评内容': '网速太慢,房间太小,没有说的30平米////', '短评打分': 1}
{'短评内容': '性价比较高', '短评打分': 3}
