{'短评内容': '屋子挺好，主要是大还便宜，东西也都挺全的，唯一的小瑕疵是淋浴只有大淋浴头没有小淋浴头，电视如果是网络的就更好了，当然价位在这呢，不错的宾馆', '短评打分': 5}
{'短评内容': '还凑活吧，但是宾馆从前台到打扫卫生的，态度特别不好', '短评打分': 3}
{'短评内容': '价格公道合理', '短评打分': 4}
{'短评内容': '出差住还行o', '短评打分': 3}
{'短评内容': '前台服务不好，房间空调遥控器都没有，房间特别冷，入住前服务员说现在没有水，住了两天发现还经常没有水，马桶都没办法冲，', '短评打分': 3}
{'短评内容': '价格绝对低 没有电梯 没有浴巾。卫生一般般吧。电视老旧 有空调 有WiFi 比较合理了', '短评打分': 3}
{'短评内容': '酒店还算可以吧', '短评打分': 3}
{'短评内容': '陈旧  ', '短评打分': 2}
{'短评内容': '陈旧 ', '短评打分': 2}
{'短评内容': '不错哦优点', '短评打分': 3}
{'短评内容': '蛮好的，服务很亲切。', '短评打分': 5}
{'短评内容': '还不错！', '短评打分': 4}
{'短评内容': '性价比不错', '短评打分': 5}
