{'短评内容': '一般情况，去年这个时候去的。有点虚高', '短评打分': 4}
{'短评内容': '房间设施有点破损！其他还好！', '短评打分': 4}
{'短评内容': '酒店有点旧了', '短评打分': 4}
{'短评内容': '价格稍微有点高，其它都还不错', '短评打分': 4}
{'短评内容': '下次还会来', '短评打分': 5}
{'短评内容': '最满意的酒店 服务很好 很大 装修也不错 床很舒服 还有一个大大露台 走出去就能看见大海', '短评打分': 5}
{'短评内容': '酒店设施比较旧', '短评打分': 3}
{'短评内容': '很好 离海很近 很美', '短评打分': 5}
{'短评内容': '不是很愉快的一次入住，停水无法洗澡，服务态度不是很好', '短评打分': 3}
{'短评内容': '一般', '短评打分': 2}
{'短评内容': '还是不错的，海景房不如无敌海景房，预定时没看明白。应当解释清楚的！早餐一般般了。', '短评打分': 4}
{'短评内容': '老牌的三星酒店，位置不错，远离市区，离老龙头景区，海边都非常近，但是设施过于陈旧', '短评打分': 4}
{'短评内容': '都挺好，', '短评打分': 5}
{'短评内容': '房间全是在三层小别墅里，感觉不错。有A\\B\\C三栋别墅，A\\C栋视野好，能直接看到海，B栋可能视线会被挡住不少。这次住的普通海景房。无敌海景房（这个名字真逗。。。）比普通海景房好在面向大海的是一整面墙的落地窗，而普通房是半面墙的落地窗，外面有阳台。但是价格要贵上两百。这个价位，在整个秦皇岛海景房里都算偏高的。室内设施有些陈旧了，潮味比较重，如果能重新装修一下就更好了。', '短评打分': 5}
{'短评内容': '酒店设备比较老旧，不过可以安排车接送去山船，比较方便', '短评打分': 5}
{'短评内容': '酒店很差怀疑是冒牌凯莱吧？上次住的这家的经济房，房间小，一股霉味，房间设施非常陈旧。这次本想也许海景房能好一点？结果，价格贵了不少房间只大了一点点，能远眺到大海（还是船厂附近的那点海，根本没啥风景可言）其它的设施和经济间一样，尤其卫生间还不如如家快捷。房间那个霉味好象是20年以上的老房子一样，墙壁上到处都是霉点。餐厅也非常烂，早餐自助品种少，汤里还喝出了金属丝！点菜贵不说，味道那叫一个差！这个酒店', '短评打分': 1}
{'短评内容': '    度假村除了设施略显陈旧外，其他都很好。尤其是早上边看海景边吃早餐，感觉很舒服。', '短评打分': 5}
{'短评内容': '1、订的豪华海景，但其实中间隔一条公路，晚上还比较吵，影响休息，其实晚上也看不见海，黑黑的一片，白天尽可以到海边玩，所以海景房没必要。\n\n2、相当于中档农家乐水平，收费相当于5星。\n\n3、早餐1.2M以下的小孩也要收费，不和谐呀\n\n4、早餐区的凉菜，不少于50只苍蝇在飞或者爬，第一次发现海边居然有这么多苍蝇，第一次发现10月份的海边苍蝇还这么多。\n\n', '短评打分': 1}
{'短评内容': '酒店环境还不错，紧挨着海边，但是屋子里的霉味太重了，住了一晚上，卫生间的风机一直都没有停过，设施还是有点老了！！！', '短评打分': 5}
{'短评内容': '就在 海边，环境不错，可以看到日出，就是周边没有什么东西，干什么都不太方便', '短评打分': 5}
{'短评内容': '假期一家人到秦皇岛游玩，第一天飞机到的比较晚，就选择在山海关机场比较近的地方订了这家酒店，准备第二天玩山海关，晚上赶到北戴河，没想到第二天下了一天雨，只好在宾馆呆了一天，晚上冒雨赶到北戴河老虎石公园附近的一家相同价位的旅店，相比之下，凯莱度假村无论从住宿、就餐、还是管理上都比较规范，环境也好很多，早餐免费，非常丰富。中餐晚餐可以吃到新鲜海鲜，价钱也不贵，总体比较满意。不足是房间小了点，设施旧了点。', '短评打分': 5}
{'短评内容': '感觉是荒废了的凯莱，估计凯莱公司都忘了有这么一家了吧，房间里有股怪味。酒店的位置不错。早餐的时候人很多没有地方坐。要是20年前的话应该是个好地方。', '短评打分': 1}
{'短评内容': '环境不错', '短评打分': 3}
{'短评内容': '服务优秀，房间不错', '短评打分': 3}
{'短评内容': '酒店离海很近,住的是海景房,从露台可直接看到海,\n步行5分钟.\n房间装修及家具较老,浴巾感觉磨损很厉害.\n早餐尚可,无酸奶,水果仅2-3种.\n服务较亲切,院落温馨.\n位置稍偏,附件购物稀少,乘公交出行方便.', '短评打分': 5}
{'短评内容': '总体来说还可以，离海很近，院内景致幽雅，也很静，服务也很好。在这一带暂且还没找到太好的旅店，只要是要求不太高，本人认为这里还可以。', '短评打分': 5}
{'短评内容': '海景很好，站在阳台就可一览无余，但是酒店设施比较老旧，希望能有所改进', '短评打分': 5}
{'短评内容': '离海边很近，位置很好。不过，海边的沙滩很差，很多人在烧烤，吃西瓜，垃圾很多。不过，到挺方便的。要求，别太高。', '短评打分': 5}
{'短评内容': '服务员很热情，就是房间有点潮离得海摊很近，在房间换了衣服就可以去游泳，房间里边不是太好，地板嘎吱老响不过整体不错，赞一个服务态度好', '短评打分': 5}
{'短评内容': '酒店设施虽然有些陈旧，但是服务员整理房间还是很干净，职业化星级标准基本达到了。酒店距离海边很近，交通方便环境很好！', '短评打分': 5}
{'短评内容': '位置好，离海近，但出入必经一个城门，门内单车道，总是堵车，很不方便。\n大堂一位穿黑衣戴眼镜的“领导”态度不太好，临走那天还看见她迟到了。其他的工作人员都很好啊！尤其是A栋两位服务员，打扫房间相当的认真。\n早餐还可以，但这种规格的酒店总有苍蝇趴在自助早餐上，让人难以理解。\n中餐厅和福临门比起来环境更好，菜的味道也差不多。\n总的来说还是不错的，但既然挂上凯莱的牌子，应该做的更好！', '短评打分': 5}
{'短评内容': '不错，服务挺好，只是中餐厅的价格实在不靠谱，傍着海边，螃蟹300元一斤，实在不靠谱，估计是没想让住宿的客人在这用餐。。。', '短评打分': 5}
{'短评内容': '虽然是3星级酒店，内置没有想象的那么好，交通不是很便利，整体感觉一般！', '短评打分': 5}
{'短评内容': '位置不错， 房间很差。旺季房价贵了些，有些不太值得。', '短评打分': 5}
{'短评内容': '临海，房间有潮湿的木头味，含早餐不错，住上感觉还是不错的，值得推荐！', '短评打分': 5}
{'短评内容': '设施有点旧了，但整体还是不错的。就在海边，早餐和服务也还好。', '短评打分': 5}
{'短评内容': '度假村环境一般', '短评打分': 3}
