{'短评内容': '床很舒服', '短评打分': 5}
{'短评内容': '大厅感觉不错，周边环境优美，服务细节比较精致，感觉还会不断提升。', '短评打分': 5}
{'短评内容': '好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '出差在酒店做项目，顺便住下，很好的体验。', '短评打分': 5}
{'短评内容': '第二次入住，居然和第一次同一个房间，8808，挺好！喜欢住这里！但是，信用卡预授权过了两天还没解除，这是为啥？', '短评打分': 5}
{'短评内容': '环境优雅安静', '短评打分': 5}
{'短评内容': '不错，环境很好，不愧是白马湖的中心，周围是免费大公园', '短评打分': 5}
{'短评内容': '一般可以！', '短评打分': 3}
{'短评内容': '就一个在郊区以开会为主的酒店，一般般。', '短评打分': 4}
{'短评内容': '环境优雅，设施齐全', '短评打分': 5}
{'短评内容': '酒店差到极点，没法说了', '短评打分': 1}
{'短评内容': '商务出差，帮同事预定。', '短评打分': 5}
{'短评内容': '还行', '短评打分': 4}
{'短评内容': '还可以吧，就是位置非常偏僻', '短评打分': 4}
{'短评内容': '订的豪华大床房，进房间后第一感觉以为是套间嘞，特别大，卫生条件很不错，房间隔音佳，酒店周围环境美，总体感觉蛮好，有机会一定再次入住！', '短评打分': 5}
{'短评内容': '非常不错！开车挺方便的！', '短评打分': 5}
{'短评内容': '看个展览是相当方便，但周围吃饭是极不方便', '短评打分': 5}
{'短评内容': '位置很偏，环境不错，周围在施工', '短评打分': 5}
{'短评内容': '第一次住到五星那么便宜的价格酒店环境非常帮', '短评打分': 5}
{'短评内容': '酒店还不错，很新，应该是新开业的，床很舒服，设施也比较全，就是位置比较偏。', '短评打分': 5}
