{'短评内容': '性价比高～', '短评打分': 5}
{'短评内容': '位置高新区管委会附近价格合理公道', '短评打分': 5}
{'短评内容': '环境不错，性价比高。', '短评打分': 5}
{'短评内容': '酒店还可以，适合出差', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '前台服务人员服务热情，环境干净卫生，好评', '短评打分': 5}
{'短评内容': '性价比很高，房间很大，早餐不错', '短评打分': 5}
{'短评内容': '酒店位置特别好，去哪里都交通便捷，。对于我们夫妻大房间正好合适，房间干净雅致，有早餐，味道就根据个人口味啦。', '短评打分': 5}
{'短评内容': '还不错，在这个酒店住了六次了，除了有一次体验效果不太好，其他几次都还很不错', '短评打分': 5}
{'短评内容': '每次来都住在这里，这次是感觉比较差的，可能是楼层的问题，装修不如其他楼层好', '短评打分': 2}
{'短评内容': '高开区这边性价比较高的快捷酒店，楼下能停车，房间大，住着挺舒服的，周边比较安静，离丁豪广场不远，吃饭购物比较方便。', '短评打分': 5}
{'短评内容': '挺好的，就是当天网络不能用', '短评打分': 4}
{'短评内容': '酒店前台办事效率太低，业务不熟，退房半天做不了。', '短评打分': 1}
{'短评内容': '来高新区一直喜欢住雅悦。很多年了，从周边一片荒凉到丁豪、银座、万达一家家崛起。地脚在这附近算很好的了。', '短评打分': 4}
{'短评内容': '酒店地处闹市，交通生活方便，附近不远处就有购物中心，吃饭购物非常方便。酒店设施齐全，房间干净卫生，适合出差短住。', '短评打分': 5}
{'短评内容': '不错，房间很大，很干净', '短评打分': 5}
{'短评内容': '太冷了房间，开空调又太干燥！', '短评打分': 1}
{'短评内容': '环境不错，离展会很近，交通方便', '短评打分': 5}
{'短评内容': '挺不错，干净舒适', '短评打分': 5}
{'短评内容': '价格比较合理 酒店设施也不错 服务很贴心 唯一的缺点就是旁边工地施工有点吵', '短评打分': 5}
{'短评内容': '房间空间很大。更人性化的是酒店里居然和牙刷在一起还有洗衣粉。我正好洗衣服。', '短评打分': 5}
{'短评内容': '酒店服务设施不错，性价比较高，公司员工住过好几次', '短评打分': 5}
{'短评内容': '真的很大房间,床也很好', '短评打分': 3}
{'短评内容': '帮朋友订的房间，地理位置不错，交通很方便也很好找，房间很干净，舒适，就是电视机应该更新了，还是原先那种纯平电视，该换成液晶电视了，这样能更上一个档次', '短评打分': 5}
{'短评内容': '最喜欢这的房间里面有小包的洗衣粉，好人性好方便。', '短评打分': 3}
{'短评内容': '酒店服务设施还不错，价格也很合算，性价比较高', '短评打分': 5}
{'短评内容': '前台服务态度不错，餐厅菜色也不错，只是水要自己拿稍水壶去走廊装。', '短评打分': 5}
{'短评内容': '干净宽敞', '短评打分': 3}
{'短评内容': '价格一般，还算干净。 就是里我办事的地方比较方便', '短评打分': 5}
{'短评内容': '不错，离得考试的地方近就是。很干净，服务挺好、', '短评打分': 5}
{'短评内容': '房间空间蛮大的，床也很大哦，总起来性价比还不错~~~', '短评打分': 5}
{'短评内容': '每次都住这里 主要是房间很大很干净 价格呢相比市区 高新较贵一些 ', '短评打分': 5}
{'短评内容': '新装修的吧，房间大，敞亮，小商品一般有点小贵，早餐丰富，能用餐，网速快。', '短评打分': 5}
{'短评内容': '其他还好！就是酒店的餐饮太难吃了！附近没有什么好的吃饭地！', '短评打分': 5}
{'短评内容': '还可以吧，早餐也可以，就是要收费，参会比较方便。', '短评打分': 5}
{'短评内容': '呵呵，总体而言还不错，比较干净。房间设施经济酒店的配置吧', '短评打分': 5}
{'短评内容': ':酒店内部比较干净，设施也不错，但外部商业网点较少，不太方便', '短评打分': 3}
{'短评内容': '房间很大 很干净 温度较上次较为暖和 但依旧不够高 建议改善 ', '短评打分': 5}
{'短评内容': '房间比较大，很宽敞，但是隔音真是比较差，比同类的商务酒店还要差不少！\n早餐还可以！', '短评打分': 5}
{'短评内容': '高新区的酒店较少 雅悦的价格比市区的贵些 不过房间很大 很干净 唯一的缺点就是 房间温度不够高 开着空调 晚上还会被冻醒 建议提升暖气温度  ', '短评打分': 5}
{'短评内容': '房间很大，卫生间很宽敞，也很干净。环境不错，很安静，就是有点不好找。', '短评打分': 5}
{'短评内容': '酒店服务挺好，干净，可以有一个很好的休息和临时的工作场所', '短评打分': 5}
{'短评内容': '卫生条件可以,环境也不错,位置安静,包涵早餐更合理\n\n', '短评打分': 5}
{'短评内容': '比较干净，在高新区算是不错的了;就是位置稍微偏点', '短评打分': 5}
{'短评内容': '很好', '短评打分': 3}
{'短评内容': '总体还可以，如果能配个万能充电器就更好了。', '短评打分': 3}
{'短评内容': '客房干净卫生，服务还行，最好的是网速挺快。下次有机会还要入住。', '短评打分': 5}
{'短评内容': '酒店位置不错，驾车出行方便，距离济南会展中心步行5分钟。', '短评打分': 5}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '很不错的一家酒店，在济南高新开发区里算是性价比比较高的酒店了。订的大床房，给免费升到套房了。', '短评打分': 5}
{'短评内容': '房間夠大，装修可以，服務员友善，就是厕所气隔不好。', '短评打分': 5}
{'短评内容': '服务不错', '短评打分': 3}
{'短评内容': '在高新区还不错，还算方便。。。。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '这家酒店很干净，感觉不错，挺温馨的。服务人员态度也很好。硬件设施齐全。', '短评打分': 5}
