{'短评内容': '很好的酒店', '短评打分': 5}
{'短评内容': '环境很好 空间大', '短评打分': 5}
{'短评内容': '位置不错，房间卫生还可以，价格很实惠，性价比高。', '短评打分': 4}
{'短评内容': '非常不错。', '短评打分': 4}
{'短评内容': '房间还蛮大，位置靠近高速路口也很方便，还含早餐，价格很实惠，只是酒店老旧了一些，总体来说不错。', '短评打分': 5}
{'短评内容': '不错非常好', '短评打分': 5}
{'短评内容': '不错，性价比高', '短评打分': 5}
{'短评内容': '还不错的酒店，性价比高', '短评打分': 5}
{'短评内容': '房间很好，停车场很大，还有数字电视', '短评打分': 5}
{'短评内容': '其他都还好 就是这个酒店吧洗发露和沐浴露简直是水和乳液1:1，稀的啊……出热水的速度也很慢 Wi-Fi简直就是摆设 用不了 其他的话服务什么的都挺好的 早餐也可以 这个价格也算是OK了', '短评打分': 4}
{'短评内容': '物有所值是没有的 旁边凌霄国际也一般 还不如一线城市普通连锁快捷酒店', '短评打分': 2}
{'短评内容': '地理位置优越、环境一般', '短评打分': 4}
{'短评内容': '服务还行！', '短评打分': 4}
{'短评内容': '经常住很习惯了！值得推荐~', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 4}
