{'descr': '房间很干净', 'star': 5}
{'descr': '房间很干净', 'star': 5}
{'descr': '在一个大工地中间早上路边有早餐', 'star': 4}
{'descr': '酒店干净整洁，就是空调不太好用！', 'star': 5}
{'descr': '一般般，再便宜一点就好了。', 'star': 3}
{'descr': '除了服务还好 其他完全不行', 'star': 2}
{'descr': '很安静', 'star': 5}
{'descr': '各方面都太差了。', 'star': 1}
{'descr': '地理位置比较好，离公交站牌较近，周围小店比较多，购物方便', 'star': 4}
{'descr': '位置离地铁站很远，最少走三四十分钟，比较偏远。服务态度差，我订的是三人家庭房，网上照片及说明写的是双人床1.8米1张和单人床1.2米1张，结果给我们的房子是一张大床另外临时加的一张钢丝床，房间特别小，除了床基本没什么空地方，去和前台说，态度很差，说想换房还让我加钱！真是太气人了，严重差评！！！', 'star': 2}
{'descr': '经济型酒店的特点，出差住宿方便价格便宜', 'star': 4}
{'descr': '很好很干净', 'star': 3}
{'descr': '位置偏了点,除非去首钢办事.干净整洁.起晚了,没吃到楼下早餐,10元一位,不知怎样.', 'star': 5}
{'descr': '酒店性价比很高，出门打车也很方便 酒店销售部经理芦先生非常敬业。', 'star': 5}
{'descr': '酒店设施条件一般，性价比不高。', 'star': 3}
{'descr': '交通方便，距离火车站和汽车站都比较方便。服务态度不错，早餐比较丰富！下次还会入住！', 'star': 5}
{'descr': '经济实惠，服务热情，提供早餐，免费停车。住过几次了感觉还不错！                                                                                                                   ', 'star': 5}
{'descr': '房间颜色很喜欢，感觉整体不错，还会再来！！！！！！！！！！', 'star': 5}
{'descr': '有重新装修过，比上次来要好很多，很干净，早餐挺好的。', 'star': 5}
{'descr': '入住的是商务套房，预定时候说有电脑可以用结果到了以后也没有。\n电话里说有沙发和客厅，结果发现所谓沙发就是所有标间里都会有的小椅子，客厅就是个几平米的小间，把两个小椅子从卧室放进去就叫客厅了。\n电视也就是那种很老很老的旧电视。\n没有通电话，有座机但是没有电话线。\n除了面积大一点没什么优点，感觉房间空空的，不过最后和Elong联系，打折只收了200多的房费，这个价位也没什么可抱怨的了，但是不推荐选择。', 'star': 1}
{'descr': '酒店环境一般，洗手间水不太热洗澡不舒服。餐厅需要买票用餐可是吃的东西太差还不值10元，反正下次我是不来住了。', 'star': 3}
{'descr': '不太好~设施差点意思，床上都是坑~~洗澡下水还是堵的', 'star': 1}
{'descr': '一般般吧，真不值那个钱，冻死我了', 'star': 3}
{'descr': '服务还行，网速太慢，周边吃饭的地方太少。。。', 'star': 5}
{'descr': '房间卫生做得很好!', 'star': 3}
{'descr': '房间环境还算可以，位置相对偏一些！\r\n\r\n王胜峰', 'star': 3}
{'descr': '不靠马路的一侧挺安静的，靠马路的一侧晚上12点之前有点嘈杂。早餐还行', 'star': 5}
{'descr': '挺安静的', 'star': 3}
{'descr': '地理位置不好，交通很不方便，周围没有什么商业设施。房间内的毛巾都破了。', 'star': 1}
{'descr': '设施很旧，房间很小，空气不是很好，服务员态度也不好，地点很偏僻，不过随便住住还可以。', 'star': 1}
{'descr': '临街很吵，房间很小，空气不是很好，不过随便住住还可以。', 'star': 5}
{'descr': '付款方式不太人性化，不能完全使用刷卡消费，房间设施不完善', 'star': 1}
{'descr': '酒店地方偏僻，交通不方便没有的士，酒店设施差特别是床，睡了腰疼，是我住酒店以来最差的，服务人员态度非常不友好，可能那就是首都的原因吧', 'star': 1}
{'descr': '设施陈旧 浴室不干净 地板破了 房间有味道', 'star': 1}
{'descr': '总体还不错...服务也很到位...就是地板被泡的都不成样了...而且房卡每天都会自己消磁...很麻烦', 'star': 5}
{'descr': '环境不错，也很干净，还送早餐，服务态度也很亲切，另外有免费的24小时停车场，适合自驾游的游客入住，靠近火车站，很好找。值得推荐。', 'star': 5}
{'descr': '1一般.', 'star': 3}
{'descr': '比较实惠，但是酒店附近有点荒凉', 'star': 3}
{'descr': '位置不好找', 'star': 3}
{'descr': '总体不错。交通还算可以，只是附近好象是在拆迁，看着挺闹心。尤其是顶楼看着更清楚，开窗望去是乱乎乎的                                                ', 'star': 5}
{'descr': '还行宋辉', 'star': 3}
{'descr': '条件一般，价格低廉，仅晚上留宿一晚还是可以的', 'star': 5}
{'descr': '还可以，住着舒服，下次有机会还还住这里呢，', 'star': 5}
{'descr': '在这个价位上这种硬件其实也算不错了。下次如果还去那边应该还是会住在这的。', 'star': 5}
{'descr': '服务挺好房间也还行，主要是交通方便，给人的感觉像是回家', 'star': 5}
{'descr': '酒店不错，没办法才选择住这里的，北京的房难定', 'star': 1}
{'descr': '价格还好 隔音也很不错 就是里面的设施太久了 洗手的水龙头都是锈，浴室里到处都是锈迹斑斑的 电视也没有 ', 'star': 1}
{'descr': '酒店位置偏僻，旧了。不过按目前旅游期间，价位还可以', 'star': 1}
{'descr': '环境还行，房间不大，没有浴缸，没吹风机，服务还行', 'star': 3}
{'descr': '硬件和其他快捷酒店差不多，但是服务实在不敢恭维，前台态度冷淡，有如到了乡下，但又没有质朴感。', 'star': 1}
{'descr': '性价比不错，比较干净、安静。', 'star': 3}
{'descr': '酒店环境还不错。很温馨，蚊子也没有,就是卫生间有异味。房间整体设备比较完善。', 'star': 3}
{'descr': '服务尚可，环境较差。周边太闹，车位不足。。。。。。。', 'star': 1}
{'descr': '酒店离地铁站太远，交通很不方便，房间一般。。。。。。。。。。', 'star': 5}
