{'短评内容': '酒店位置可以', '短评打分': 5}
{'短评内容': '酒店位置还好，房间也比较干净！', '短评打分': 4}
{'短评内容': '虽然简单，但是干净，停车方便，便宜，真的很实惠', '短评打分': 5}
{'短评内容': '服务设施好。停车方便。', '短评打分': 5}
{'短评内容': '酒店卫生还是不错的，环境也好，虽在闹市，晚上还是比较安静。', '短评打分': 5}
{'短评内容': '很安静，房间大，干净，早餐也比较好', '短评打分': 5}
{'短评内容': '还可以。', '短评打分': 4}
{'短评内容': '地段非常好，出行方便，就是房间卫生一般，地毯有点脏', '短评打分': 4}
{'短评内容': '周边很热闹，府山公园边上，动静结合，房间性价比高，节假日停车基本靠等和抢。', '短评打分': 4}
{'短评内容': '浙江衢州美林宾馆，位于浙江省衢州市中心主要干道…三衢路上。周围小吃丰富，大卖场林立，交通非常方便，离衢州高铁站打车只要起步费。衢州特产三头在美林酒店也可以买得到。酒店自带的咖啡厅在每日上午十点半后可以免费品尝。', '短评打分': 4}
{'短评内容': '交通很便利，去火车站很方便，性价比很高', '短评打分': 5}
{'短评内容': '环境交通，都不错。半夜还能给我买感冒药。真心不错', '短评打分': 5}
