{'短评内容': '离海滩很近，就是房间比较旧', '短评打分': 4}
{'短评内容': '好，很好，确实很好！', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '不错 很舒适 环境可以', '短评打分': 5}
{'短评内容': '酒店很不错，房间很卫生，服务人员服务周到，位置就在银滩旁边，出来玩也很方便！', '短评打分': 5}
{'短评内容': '位置非常好，就在北海银滩，几分钟就到沙滩了，可以从酒店穿着泳衣走到海里，感觉非常棒，服务也超好，卫生直接给五分，酒店的餐厅还可以点美团，我们两个人点了个128的套餐，根本吃不完，味道超级鲜，贝壳也一点沙子都没吃到，昨天在另一家吃，两个人吃了三个菜，花了200多，沙子还多，菜基本一样，比这个还少一个菜，这家简直太划算了，酒店在银滩公园和海滩公园之间，都是走几分钟就到了，周边环境也是很漂亮，这个季节绿', '短评打分': 5}
{'短评内容': '，吧啦噜啦啦咯模棱两可了', '短评打分': 5}
{'短评内容': '一般般', '短评打分': 5}
{'短评内容': '凭借地势收费', '短评打分': 1}
{'短评内容': '相当好的的酒店，方便出行', '短评打分': 5}
{'短评内容': '中档，房间大', '短评打分': 4}
{'短评内容': '有点陈旧，离海边很近', '短评打分': 4}
{'短评内容': '非常不错！离银滩很近很近就对面', '短评打分': 5}
{'短评内容': '交通方便，距银滩景点很近', '短评打分': 4}
{'短评内容': '感觉还好', '短评打分': 5}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '不错', '短评打分': 4}
{'短评内容': '代人预定', '短评打分': 4}
{'短评内容': '酒店设备不太好202房空调太响房顶灯也不亮', '短评打分': 3}
{'短评内容': '酒店条件不错，位置紧靠海边浴场，服务也好，值得推荐', '短评打分': 3}
{'短评内容': '酒店设施确实比较老旧了，但是好在离海近，可以穿上泳衣从酒店就走到海滩去。。。只是吃的不好找，出租车还老拒载', '短评打分': 5}
{'短评内容': '我订的这三间是豪华标间，虽然设施陈旧，但还算干净，住的还行。', '短评打分': 5}
{'短评内容': '我记得订的是普通标间，去那怎么变成普通单间，普通单间无窗的那种，这间房挺差的，进去还有股味道。建议不要订这间房。', '短评打分': 5}
{'短评内容': '今天下午四时入住，房间在二楼。双人标间虽然设施较旧但是比较整洁， 酒店离银滩很，去游泳很方便。', '短评打分': 3}
{'短评内容': '此酒店位置不错，直接可下海滩，下次还住它，缺点是价格稍贵', '短评打分': 5}
{'短评内容': '酒店位置很好，离海边超级近，房间很大，还是很干净，就是吃饭不太方便，都要到外面吃。虽然有点小贵，还是可以接受', '短评打分': 3}
{'短评内容': '房间太小，热水太冷', '短评打分': 3}
{'短评内容': '住豪华标间还不错，普标就真的太小了，洗手间就像家庭旅馆的一样。', '短评打分': 1}
{'短评内容': '赞，离海近', '短评打分': 3}
{'短评内容': '如果想住离海边近些，这家酒店还可以，地理位置不错。\n但是酒店设施陈旧，原来定两天只住了一天。', '短评打分': 5}
{'短评内容': '离海滩算是很近的了,就是蚊子实在太多,晚上睡觉还有小强一只...\n年轻人去的话,这个价位还可以,就是记得驱蚊.', '短评打分': 5}
{'短评内容': '北海东方夏威夷酒店是一家不值得推荐的酒店,原因有:\n1,房间内的设施与招待所无多大差异,空调不起多大作用,向服务员多要了一床被子方才勉强入睡;\n2,热水差:服务员说要放20分钟才会热!20分钟谁有此耐心?\n3,春节期间,周围用餐的地方不多,而酒店又不供应早餐.\n4,性价比不高!\n服务态度尚可!', '短评打分': 1}
{'短评内容': '距离很给力，离海直线距离60米，酒店设施一般', '短评打分': 5}
{'短评内容': '距离海边很近，房间较大，设备一般，服务较好。', '短评打分': 5}
{'短评内容': '不错离海边近', '短评打分': 3}
{'短评内容': '酒店一般般，老酒店了，设备比较旧，价钱贵。好处是位置好，出门便是海滩', '短评打分': 1}
{'短评内容': '酒店离海滩很近，步行大35分钟就是海滩.但酒店的房间装潢很旧，房间内有臭味，设施简陋。房间倒是比较大。没有早餐，需要出门去旁边的摊档吃。', '短评打分': 1}
{'短评内容': '靠近银滩位置不错，适合带小孩又喜欢亲近大海的家庭，房间卫生还好，就是人手少，忙点，下次到北海应该还可考虑入住。', '短评打分': 5}
{'短评内容': '豪华套房条件不错，客厅的电视坏了还便宜了30块钱，过了马路就是海滩，特别方便。', '短评打分': 5}
{'短评内容': '离银滩很近，很方便。服务态度不错。性价比还可以。', '短评打分': 5}
{'短评内容': '酒店设施还不错，就是窗户锁不上，问题不大。', '短评打分': 3}
{'短评内容': '性价比不错。就是房间有点潮！下次应该还会选择！', '短评打分': 5}
{'短评内容': '还不错，升级到豪华双间。离海边算近的。', '短评打分': 3}
{'短评内容': '性价比可以蚊子太多', '短评打分': 3}
{'短评内容': '还可以', '短评打分': 3}
{'短评内容': '一般！原希望定3星或准四酒店，入住后发现房间不达标准。', '短评打分': 1}
{'短评内容': '就像是招待所，简陋啊，不在去住，热水也时有时无', '短评打分': 1}
{'短评内容': '对于海边渡假、亲近海滩的朋友来说，酒店位置很好，走过马路，就是海滩，穿行约200米，就是海水。空气真的很好！房间也很大，说不好的话那说是卫生间了，有些设施没有更新，那卫生间的门锁，似乎要垮掉了，关也关不上。还有一提的就是，可能过年期间，前台的服务员忙着自己的事，没有温度。', '短评打分': 5}
{'短评内容': '房间挺宽敞挺舒适，性价比挺不错。', '短评打分': 3}
{'短评内容': '离海边挺近，游玩很方便，服务挺好，随叫随到。', '短评打分': 3}
{'短评内容': '周边交通挺便利的，离海边也挺近，游玩挺方便，酒店能提供24小时热水，感觉也挺方便的。', '短评打分': 3}
{'短评内容': '房间挺宽敞的，卫生还好，设施有陈旧，位置挺好，离银滩很近。', '短评打分': 3}
{'短评内容': '这家酒店最主要的是位置很好，价格很合理。', '短评打分': 3}
