{'短评内容': '很满意，网订很迅速，在家附近，外地亲戚来家里不够住的不二选择。', '短评打分': 5}
{'短评内容': '早餐不错 房间也不错 很舒适 下次还来住', '短评打分': 5}
{'短评内容': '干净卫生，新装修，不错', '短评打分': 5}
{'短评内容': '不含早餐，所以没在酒店吃饭，早餐去外面吃的方中信胡辣汤，挺不错的。不能加床。位置挺好，酒店有停车场。', '短评打分': 5}
{'短评内容': '早餐还可以，位置可以，有停车场', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以，房间很干净，也很安静，一直住这里。', '短评打分': 5}
{'短评内容': '一直住这里，很不错', '短评打分': 5}
{'短评内容': '价位和环境成正比，值得入住！', '短评打分': 5}
{'短评内容': '环境还算比较不错！', '短评打分': 5}
{'短评内容': '酒店很好，很干净。就是前台服务态度不行，居然把我房间开错然后又让我加钱。坑爹，不得不加钱。', '短评打分': 4}
{'短评内容': '还不错，房间设备齐全，空调给力', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '房间挺好的，服务还行', '短评打分': 5}
{'短评内容': '住就住了', '短评打分': 2}
{'短评内容': '交通很便利！', '短评打分': 4}
{'短评内容': '不错！', '短评打分': 4}
{'短评内容': '来洛阳看望朋友，在他家附近，只有这家酒店，没有选择。但入住后感觉还不错，性价比很高，赞一个，希望保持，谢谢！', '短评打分': 5}
{'短评内容': '不干净，屋里气味难闻，被子也硬的。还没有快捷酒店好！', '短评打分': 3}
{'短评内容': '酒店整体还是相当不错的算是我到河南来住的三个酒店里面最好的，房间够大，也干净，但美中不足是，床比较硬，厕所的面积比较小，如果站在里面一开门，可能会碰到你。\n当然，这次最不满意的是，清明旺季，这个酒店竟然没有热水，我想不管是不是高峰期，热水是必须得有的，打电话到前台询问，说电工八点才上班，所以水得等到八点，鉴于前一天刚刚爬完嵩山，所以必须得洗澡，就从六点等到了八点，最后前台告知我，还是没有水，给我澡', '短评打分': 5}
{'短评内容': '非常好，不错。', '短评打分': 3}
{'短评内容': '酒店还不错，挺符合他这里的星级价位的，这次住的还算满意。', '短评打分': 3}
{'短评内容': '还好，卫生打扫挺干净 ，设施基本齐全，就是有些陈旧，位置挺好，出行挺方便。', '短评打分': 3}
{'短评内容': '服务卫生方面都还不错，设施有些简陋，价格上还算合理。', '短评打分': 3}
{'短评内容': '酒店还不错，安全干净，价格也不贵。挺适合大众选择。', '短评打分': 5}
{'短评内容': '位置挺好，周边交通购物挺方便，内部环境挺干净，住的还算舒适。', '短评打分': 3}
