{'descr': '环境不错，交通业很便利，服务吗一般', 'star': 4}
{'descr': '定了1天住了2天，我的返利怎么还没到账呢？', 'star': 5}
{'descr': '环境很好，交通业很方便，就是隔壁建军路修路，灰尘比较大。早上提供的早餐很简单。', 'star': 5}
{'descr': '床的质量太差了，睡的非常不舒服，格局挺不错的。', 'star': 5}
{'descr': '早餐有点一般，不过比没有还是方便的，房间隔音较差', 'star': 5}
{'descr': '帮别人定的，具体不甚了解，据说不错。。。。。。。。。。', 'star': 5}
{'descr': '经济实惠，是个不错的选择，希望下次还住这儿', 'star': 5}
{'descr': '实在很差！地板脱皮！墙壁脱皮！房间里还有小虫子！再也不会住了！！！', 'star': 3}
{'descr': '住的还成，还有早饭，比较方便', 'star': 3}
{'descr': '酒店的位置很好，靠市中心，不难找，房间里面满大的，不错，价格不贵 ', 'star': 5}
{'descr': '总体来说不错，地理位置，交通条件，酒店设施都尚可。', 'star': 5}
{'descr': '内容', 'star': 3}
{'descr': '蛮好的，入住过好多次了，很满意。靠近市区，地理位置比较方便吧', 'star': 5}
{'descr': '很不错哦.很舒服', 'star': 3}
{'descr': '确实不错，就像大学生公寓一样，性价比蛮高的', 'star': 5}
{'descr': '有点陈旧，空调不给力， 其他都很好！！ 房间挺大的，挺舒服的！', 'star': 5}
{'descr': '蛮好的，就是隔音有点不太好。其他的都还不错。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '房间有异味，拖鞋质量较差，附近吃饭不大方便。。。。', 'star': 1}
{'descr': '＋很好，值得推荐！', 'star': 3}
{'descr': '地理位置比较好，就是空调好像没用，打到30度，都不暖和，晚上睡觉还感冒了，郁闷的呢', 'star': 5}
{'descr': '总体还可以！房间挺大，硬件上总体比较满意，值得推荐！', 'star': 5}
{'descr': '总体挺好的，不错，可以尝试，而且离市中心近，方便', 'star': 5}
{'descr': '价格比较实惠，但是家具不好，白色漆面都斑驳脱落了，其他的还好。', 'star': 5}
{'descr': '还可以,就是周围吃饭的地方太少，价位和设施都还是不错的', 'star': 5}
{'descr': '房间还蛮大的，不过空调温度不是很适宜，淋雨水也很小，早饭不忍入目（反正我是出去又吃了顿）', 'star': 1}
{'descr': '酒店还是满干净的，但是太靠近主干道了，而且窗子的隔音效果太差了。晚上吵得人都没有法子睡觉', 'star': 1}
{'descr': '还可以,位置不错，也蛮干净的，下次去再住', 'star': 5}
{'descr': '电视很大，环境不错,网速可以，就是必须在电视旁边，不太方便', 'star': 5}
{'descr': '服务不错，就是感觉小了点，电视很大，没有无线的网络，网线也短', 'star': 5}
{'descr': '酒店还可以，房间够大床单很白很干净', 'star': 3}
{'descr': '环境不错,地理位置也好!床不太长,卫生间不错!', 'star': 3}
{'descr': '非常好', 'star': 3}
{'descr': '房间不错，瞒干净的，隔音也不错，条件设施都不错，服务也到位。性价比很高，值！', 'star': 5}
{'descr': '地理位置很好，离市中心很近，旁边还有夜市，房间也还不错', 'star': 5}
{'descr': '连锁型中，它的大床房算上是比较大的了\r\n所以房间的性价比是比较好的\r\n但是浴巾虽然干净，但是有破损\r\n估计是舍不得换新的', 'star': 5}
{'descr': '环境还不错 早餐蛮好的  网速玩网游有时候卡  看视频下东西很快', 'star': 3}
{'descr': '环境还不错！', 'star': 5}
{'descr': '我定的是电脑房，房间倒是还可以，主要是早餐太没意思了', 'star': 1}
{'descr': '性价比不错的酒店，交通方便，适合出差人士的需要。', 'star': 3}
{'descr': '交通很方便，房间干净卫生，性价比挺高，下次有来可以再选择。', 'star': 5}
{'descr': '有着不错的性价比，，房间也挺宽敞的，而且服务也挺到位', 'star': 5}
{'descr': '地理位置非常好，离市中心很近，走几分钟就到了。房间设施，卫生也都不错，电视节目很多，还可以点播电影等，这点很喜欢。就是洗手间没有地巾，地上弄湿以后非常滑，这个需要改进。', 'star': 5}
{'descr': '早餐很可口,性价比较高,态度还不错,下次入住,', 'star': 5}
{'descr': '布局很别致，就是有点美中不足的是家具颜色比较淡，上面有很多遗留的污渍，感觉不整洁，但是，性价比还是蛮好的', 'star': 5}
{'descr': '第一次来盐城就是住的蓝色快舟，感觉空间利用上挺好的，卫生也可以，位置不错，挨着建军路，公交方便，乐天玛特超市、商业大厦离得都不算太远。唯一的缺点就是有的房间外面景色乱糟糟的，当然，这不是蓝色快舟的问题，是老城区无法避免的东西。总体来讲，比较满意。', 'star': 5}
{'descr': '就是浴室太滑了  我老是摔跤  还有 早饭的服务员舍不得给我吃   她的样z子 给我这个感觉', 'star': 3}
{'descr': '环境不错，地理位置也不错，室内装潢很别致。服务态度也很好。', 'star': 3}
{'descr': '环境不错，地理位置也不错，室内装潢很别致.', 'star': 5}
{'descr': '不错的酒店 卫生不错 房间宽敞 免费上网    希望改进以下不足（早餐过于简单  房间没有写字的水笔 洗澡用的香皂太小了  靠枕太小太薄）', 'star': 5}
{'descr': '床上有没有清理干净的东西  不知道是什么  还是我自己弄干净的\r\n', 'star': 5}
{'descr': '满意！', 'star': 5}
{'descr': '性价比还可以', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '整体都不错，就是早餐能够丰富点最好，房间隔音效果一般', 'star': 5}
{'descr': '服务态度很不好 特别是住一天结一次帐 很麻烦 以后去了绝对不住这里了', 'star': 3}
{'descr': '服务态度很不好 很一般', 'star': 1}
{'descr': '很不错的经济型酒店，房间宽敞，网速超快，还有免费早餐，性价比很高！值得推荐！！\r\n打车去五星车站要10块钱左右', 'star': 3}
{'descr': '服务不错!环境也很好!', 'star': 3}
{'descr': '卫生很好，服务不错，早餐便宜简单！洗发精、沐浴露不够用！但总体对得起这个价钱。', 'star': 5}
{'descr': '地方蛮安静的 早饭太一般 ', 'star': 5}
{'descr': '设施环境不错，价格便宜，在市中心，挺方便的', 'star': 3}
{'descr': '就是墙壁隔音效果一般，早上有点吵', 'star': 5}
