{'短评内容': '就那样', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '酒店位置好，就是房间陈旧，床小，卫生间淋雨喷头坏的，空调坏的，电视坏的，墙壁坏的', '短评打分': 3}
{'短评内容': '酒店位置可以，周边吃饭方便，街对面的地下停车场可免费停车，靠街的房间晚上有点吵，早餐太简单。', '短评打分': 3}
{'短评内容': '该酒店下次去还会住的，交通很方便，环境很乾净、内部设施也不错，服务员的态度还比较好。总体还是很满意的。', '短评打分': 4}
{'短评内容': '将就', '短评打分': 5}
{'短评内容': '酒店很好。性价比很高。地理位置也不错。', '短评打分': 5}
{'短评内容': '安静', '短评打分': 5}
{'短评内容': '前台服务员比较热情.环境各方面都还不错.不过免费早餐就算了…', '短评打分': 5}
{'短评内容': '总体不错，早餐虽然简单了点，但是还蛮有营养。不过这个价格对这个房是偏贵了点，不过正安这个地方房价都偏贵。', '短评打分': 5}
{'短评内容': '都还可以吧', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '装修很有特色，用的是仿古砖，古铜水龙头，干净卫生，床也很舒适，对面就有早餐店，就是晚上靠路的房间有点吵', '短评打分': 4}
{'短评内容': '一般', '短评打分': 5}
