{'短评内容': '还可以，住起来很舒服，价格也比直接开便宜', '短评打分': 5}
{'短评内容': '干净整洁', '短评打分': 5}
{'短评内容': '洗漱用品要另外付钱，感觉有点不地道', '短评打分': 3}
{'短评内容': '房间卫生好，地方大。网速好，有地方停车', '短评打分': 5}
{'短评内容': '感觉很实惠', '短评打分': 5}
{'短评内容': '好评棒棒哒', '短评打分': 5}
{'短评内容': '好的', '短评打分': 5}
{'短评内容': '可以好好非常不错，卫生也可以。。。。', '短评打分': 5}
{'短评内容': '网络太差，一晚上几乎都是用的手机流量，无线网要么连不上要么就断网，哎，以前住过没办法，只途其酒店与目的地近又只住一晚，忍了', '短评打分': 4}
{'短评内容': '哎，别提了，预定两天的房间，入住时前台说一天一天的缴费还是，我就问不能一下交费吗？前台说你要是中途退房我还要退房钱，麻烦，我晕，不论怎么交房费，押金到时不也要退吗？退押金就不麻烦吗？，我一和她这么说，前台无奈的收了两天的房钱，哎！不被人说就不知怎么干活', '短评打分': 4}
{'短评内容': '一般般，没得酒店了，回婆家洗个澡而已。卫生一般般，比小旅馆好点', '短评打分': 3}
