{'短评内容': '还可以待翻新', '短评打分': 4}
{'短评内容': '环境一流，房间总体算整洁，就是装修设施老化，总会有些问题不爽。人气很低，前台基本没人。。。', '短评打分': 4}
{'短评内容': '八十年代的设施，前台都没有人啊。。。也是醉了。。。感觉很久都没有住过人了，吓死掉了', '短评打分': 3}
{'短评内容': '环境是一流的，就在武夷宫，可惜，设施太太太陈旧了。管理员还是挺热心的，还有打扫卫生的服务员也很热心。离九曲溪终点超近，风景很好。', '短评打分': 3}
{'短评内容': '设施老旧到了不行不行的，80年代以前的装修，房间里到处是死蟑螂，潮湿阴暗，不过外部环境不错，在山上，离武夷宫景区很近，散步在山上很有感觉', '短评打分': 3}
{'短评内容': '设施太陈旧，周边还可以，景区方便', '短评打分': 2}
{'短评内容': '火车站坐2号线或三蹦子到站前路武夷山大道那边，转坐去星村的公交3块钱到武夷宫下车就看见牌子了，此处环境优雅，非常安静，在度假区内，缺点是想吃饭要坐车出去，房间不大都是2层楼的房子，早餐还可以，有馒头油条鸡蛋，稀饭咸菜咸鱼。前台全是四五十岁大叔哈哈，态度非常好，很客气。', '短评打分': 5}
{'短评内容': '交通便利！！！整个景区内只有两家酒店，一个就是幔亭山房，另一个是武夷山庄，武夷山庄虽然豪华点，但是地理位置远没有这个好啊！！这个酒店尤其适合在山上玩几天的朋友们，无论是坐景区内观光车还是出去的公交车都实在是太便利了，而且酒店就是外表看起来旧点，里面还是非常不错的，而且环境十分优雅！！', '短评打分': 5}
{'短评内容': '这个酒店挺好的！设施比较旧应该要重新装修了', '短评打分': 5}
{'短评内容': '确实如大家说，设施很旧了，但是环境超好，适合修养', '短评打分': 5}
{'短评内容': '房间不错，环境优美，离公交站近，交通方便。总体性价比较高，只是山附近难免有小虫子，呵呵。', '短评打分': 3}
{'短评内容': '环境清幽，只是设施有些年代了，不过都是可以正常使用的。服务也很热情。', '短评打分': 5}
{'短评内容': '此酒店在景区内，靠近九曲溪漂流的终点，地理位置优越。景区内交通车停靠武夷宫站，就在酒店的旁边，交通还算便利。冬天太冷的时候，不推荐入住，冻的无法洗澡，其他季节入住较优。', '短评打分': 5}
{'短评内容': '酒店设施陈旧，维护不佳，前台服务不专业，更多地像个老旧的招待所。每晚380元的价格超出酒店的实际水准较多。不好推荐！', '短评打分': 1}
{'短评内容': '暖气开了一天升不了二三度，风机还吵得要命，服务员态度差', '短评打分': 1}
{'短评内容': '卫生间喷头热水一滴一滴的，早餐一人就一个馒头一碗粥', '短评打分': 1}
{'短评内容': '环境很好,装修很旧,卫生间很差,空调很吵,一点也不暖.', '短评打分': 1}
{'短评内容': '这个酒店非常不错的\n有人说离度假区远，坐车也就一站路，走十分钟到了，还有人说早餐不行，我们胃口不大的人倒是够了，包早，又不用花钱\n我们运气不好，这里离南门近一点，桥断了，只能去北大门，武夷山只能到南北大门买门票和车票，三姑又基本上商家全部关门，吃个饭也困难，过年前就是这样\n看风景没人跟你抢车抢镜，一般景点全部就十个人左右\n武夷山还是跟团游好，一线天、天游峰、九曲漂流，其他景点都没什么意思，我是除了', '短评打分': 5}
{'短评内容': '交通方便：门口就是公交车站，边上是武夷宫旅游车上车点\n环境优雅：景区中心，南北入口中间，都不远，三姑一站路\n饮食不错：中式，就是价格稍贵，但就旅游区来说，还是正常范围\n就是设施有点陈旧，主要还是环境问题，武夷山景区比较潮湿，正好又是天天下雨\n当然厦门也是这样，第一次钻进被子，感觉是潮的', '短评打分': 5}
{'短评内容': '，三人间很大，每张床都是双人床。离五夷宫很近，在大王峰脚下，去各景点方便。离度假村有点远，吃饭购物不是很方便。', '短评打分': 3}
{'短评内容': '挺好的。\n 就是吃饭贵了点，哈哈，什么时候吃饭便宜点就好了', '短评打分': 5}
{'短评内容': '首次到美丽的武夷山，但火车晚到22点才到。但幔亭山房经理安排的车已等站外。我们高兴的到幔亭山房已23时，住进房间。好漂亮的房间，美美的洗了热水藻，睡得美美。鸟叫将我们惊醒，漫步山房前的林幽小径，好一个世外天源，与世无争的美地！大家说：明年还住幔亭山房，慢慢品味大自然。', '短评打分': 5}
{'短评内容': '客栈在大王峰山脚下，武夷宫旁，离马路只一分钟，却十分安静。花园别墅样的建筑，周边丹桂飘香。庭院式的客房布局，打开房门就是花园长廊。环境十分宜人。唯一不足的是卫生间简陋了点，要有思想准备。', '短评打分': 5}
{'短评内容': '酒店位置环境挺好，餐厅做的菜味道不错，但是设备有点陈旧，服务一般，对入住的客人只接不送。', '短评打分': 5}
{'短评内容': '还不错 就是早餐简陋点 旅游的话离景区挺近的', '短评打分': 5}
{'短评内容': '酒店设施一般', '短评打分': 3}
{'短评内容': '基本满意', '短评打分': 3}
{'短评内容': '环境一流，设施陈旧，早餐太差，就一个小馒头、一个小油饼、一个鸡蛋、粥、豆浆，定量供应\n地方难找，凯立德导航上找不到，打电话给酒店，居然跟我说在大王峰路上，实际在玉女峰路', '短评打分': 5}
{'短评内容': '环境非常好，房间很旧。', '短评打分': 3}
{'短评内容': '比较干净，没啥特点，很普通的一家旅馆···但是离景区很近，这很方便', '短评打分': 5}
{'短评内容': '早餐太差了！居然是按照旅游餐标准！\n居住尚可。\n环境不错\n离风景区很近', '短评打分': 5}
