{'短评内容': '不提供早餐', '短评打分': 5}
{'短评内容': '以前住过几次如家，给我的印象是便宜但设施陈旧，这个如家改变了我的固有印象了，房间非常干净，设施齐全而且很新，毛巾和洗具都比以前住过的快捷宾馆要好，特别是自助早餐非常棒，但去餐厅的路上一定要留意，容易迷路，哈哈！特别说一下，服务非常好，我在携程定的房间，因为公事晚退房一个多小时，之前说好了要付半天房费，结果临走前结账居然给免了，点个赞。', '短评打分': 5}
{'短评内容': '很干净.整洁', '短评打分': 5}
{'短评内容': '还是挺好的', '短评打分': 5}
{'短评内容': '房间很卫生干净，所有工作人员的服务好。价格不贵很合理。性价比很高，设施也比较齐全有效，交通还算方便吧，总体来说不错！', '短评打分': 5}
{'短评内容': '涵涵涵涵涵涵涵', '短评打分': 5}
{'短评内容': '好好好好好帮', '短评打分': 5}
{'短评内容': '环境不错，服务员很有礼貌，赞', '短评打分': 5}
{'短评内容': '服务态度很好，环境也不错。赞', '短评打分': 5}
{'短评内容': '很不错的一次体验，环境不错，服务员很有礼貌。', '短评打分': 5}
{'短评内容': '酒店服务态度很好，卫生整洁，交通便利，价格适中，安静，睡的很好，回家的感觉。', '短评打分': 5}
{'短评内容': '环境不错，服务态度很好。', '短评打分': 5}
{'短评内容': '可以', '短评打分': 5}
{'短评内容': '方便 快捷 舒适。', '短评打分': 5}
{'短评内容': '很不错，价格也很便宜，如家就是很好。满意。还会再来的。', '短评打分': 5}
{'短评内容': '房间不错，干净，住起来挺舒服的。。。下次还会定的。', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '还好吧', '短评打分': 5}
{'短评内容': '价格适中，环境不错，周边有个市场，很热闹，各种吃的都有', '短评打分': 5}
{'短评内容': '经济实惠', '短评打分': 5}
{'短评内容': '很好，温暖输服，水很热。下次还是去这', '短评打分': 5}
{'短评内容': '一切都满意，就是房间里有股味。', '短评打分': 3}
{'短评内容': '服务不错', '短评打分': 5}
{'短评内容': '服务态度很好，很干净，比较安静，房间小了点。但是够用了！', '短评打分': 5}
{'短评内容': '如家都还可以，服务什么的都不错!值得入住   ', '短评打分': 5}
{'短评内容': '如家都还可以，服务什么的都不错!值得入住   ', '短评打分': 5}
{'短评内容': '如家都还可以，服务什么的都不错!就是早餐在地下室  ', '短评打分': 5}
{'短评内容': '房间很舒适，细微之处做的也很好。值得推荐。', '短评打分': 5}
{'短评内容': '房间里面很好,但是电梯太差了,坏了之后无法走楼梯.', '短评打分': 5}
{'短评内容': '干净整洁 服务很好  服务人员非常热心，已经入住进来，感觉安静，休息舒服', '短评打分': 5}
{'短评内容': '虽然外观小 但是里面很大 总体来说很不错 卫生干净 服务态度好 还帮忙邮寄的快递 好评', '短评打分': 5}
{'短评内容': '经常住在这家宾馆，服务态度好，卫生好，一切都很舒心！', '短评打分': 5}
{'短评内容': '与市中心的比起来还是有点差距，不过服务不错', '短评打分': 3}
{'短评内容': '服务好，设施好，性价比很高。房间虽然不是很大，但很温馨。值得入住！', '短评打分': 5}
{'短评内容': '干静卫生，空气清新！', '短评打分': 3}
{'短评内容': '还不错，住了4天，就是交通不太方便，周边商业区比较远', '短评打分': 5}
{'短评内容': '都点评一次，这是电话后，才录上的，真服了。', '短评打分': 5}
{'短评内容': '挺不错的酒店，挺不错的酒店，挺不错的酒店', '短评打分': 5}
{'短评内容': '住了几次还行', '短评打分': 3}
{'短评内容': '这次我住的大床房，床很大，第一次住那么大的床，床大啊，大的快布满整个房间！', '短评打分': 5}
{'短评内容': '貌似新开的 很干净 就是房间有点小 安静 比较便捷 离会展不是很远', '短评打分': 5}
{'短评内容': '装修、服务、管理都挺好的~~~一切尽在不言中', '短评打分': 5}
{'短评内容': '房间干净整洁，位置还行，要是还是这个价位还会考虑，如果赠送早餐券就更好了', '短评打分': 3}
{'短评内容': '  挺干净的，感觉不错', '短评打分': 3}
{'短评内容': '很干净很舒服，服务人员很有素质很礼貌，室内采光温度都不错，24小时热水，总体不错。', '短评打分': 3}
{'短评内容': '很干净，服务态度也很好，好像是新开的吧，东西很新，房间有点小，但是没关系，不影响的。卫生间也很干净，总是还算是不错，地理位置也还好的。离会展很近。推荐', '短评打分': 5}
