{'短评内容': '很方便，市中心，很好', '短评打分': 5}
{'短评内容': '服务态度热情，环境干净卫生，赞！', '短评打分': 5}
{'短评内容': '环境不错，国营老店，服务一般。', '短评打分': 4}
{'短评内容': '老宾馆了    整体设施还不错', '短评打分': 5}
{'短评内容': '非常安静的酒店，全部满意，很好。', '短评打分': 5}
{'短评内容': '很热的天居然不开空调！', '短评打分': 3}
{'短评内容': '可以免费停车，好评！！！', '短评打分': 5}
{'短评内容': '孩孑高考住的，宾馆环境很好，闹中取静，服务态度也很好，吃饭也是在这个宾馆，菜的味道不错，各方面挺满意的。就是晚上不开主调就有蚊孑咬，宾馆的电热蚊香片用处不大，便用了自带的液体蚊香液。', '短评打分': 5}
{'短评内容': '名字挺响亮的，就是太旧了，酒店装潢和设备都完全过时了，不如快捷酒店呢，如果不是市中心，真心不值得推荐！', '短评打分': 1}
{'短评内容': '房间不错，服务不太好，也许是老楼的缘故，让人没有准备，房间到结帐的地方要跑很远', '短评打分': 5}
{'短评内容': '差了点,大床房间的大床太小了，也太旧。希望酒店更换好点的设备。', '短评打分': 1}
{'短评内容': '很卫生、很安静、很方便，两个来月到常州5次，其中4次住常州宾馆，1次没订上。打那以后都尽可能提前预订。', '短评打分': 5}
{'短评内容': '环境安静、室内舒适、早餐好。为什么设置20字的最低评论？三言两语不行吗？', '短评打分': 5}
{'短评内容': '位置有优势，停车方便，环境不错，服务也可以。', '短评打分': 5}
{'短评内容': '这次住了1号楼，太旧了，还是6号楼不错。。', '短评打分': 5}
{'短评内容': '老牌、正规、地段好。设施稍旧，但是价格公道。酒店内还有一个小花园，像大观园了。', '短评打分': 5}
{'短评内容': '常州宾馆环境优美,价超所值,停车方便!', '短评打分': 3}
{'短评内容': '房间干净整洁，预订的是双标间，服务人员服务周到，价格在这个城市还是比较适中的。闹中取静，真的是城市中的园林宾馆。', '短评打分': 5}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '非常不错的江南园林式酒店，地理位置城市中央闹中取静，服务完善。', '短评打分': 5}
{'短评内容': '非常不错的园林式酒店，服务完善，交通方便，餐饮也非常好。', '短评打分': 5}
{'短评内容': '地理位置很好，交通也很方便，现在已经很少见到有这么大园林的宾馆了，服务完善。', '短评打分': 5}
{'短评内容': '服务很好\n蛮干净的\n环境很到位\n下次还去', '短评打分': 5}
{'短评内容': '设施有点成旧，早上到一号楼的时候前台竟然是没有人的，打到总机去，说中午吃饭去了，要统一去六号楼办理手续，挺干净的房间，还送两个苹果，这个比较人性化，早餐还行吧，对得起这个价格吧。', '短评打分': 5}
{'短评内容': '客房硬件一般，宾馆里面的园林不错，客房价格便宜，早餐一般。', '短评打分': 5}
{'短评内容': '其实说实话，还不错的，常州宾馆里面的环境还不错，离火车站市中心很近，但是里面的硬件设施真的有点老了，地毯上竟然有钉子。。。还有早餐也很一般', '短评打分': 5}
{'短评内容': '亭台楼榭，幽静典雅。非常不错，物超所值。', '短评打分': 5}
{'短评内容': '设施很陈旧，卫生条件感觉不好。要万用插电板说都借出去了，光抱歉但不解决问题。地理位置还不错，比较安静。', '短评打分': 1}
{'短评内容': '还可以，很安静的，环境很好的，房间一般，菜太贵了。', '短评打分': 5}
{'短评内容': ' 挺安静,挺便捷,性价比高。', '短评打分': 3}
{'短评内容': '近园也是江南名园，希望大家多多关照。。', '短评打分': 3}
{'短评内容': '就是缺乏好的管理。条件还是不错的。努力！！！！！', '短评打分': 3}
{'短评内容': '1号楼服务员素质很高，拾金不昧！', '短评打分': 3}
{'短评内容': '偶住的288，前抬290，其它方面亦不太划算。下次不住', '短评打分': 3}
{'短评内容': '他妈的，什么狗屁服务态度', '短评打分': 3}
{'短评内容': '环境很好，很优雅。2号楼套间不错，只是只有一间窗外的景色是相当美的，其他几间窗外毫无景色可言。怡园也不错，菜肴精致。', '短评打分': 3}
{'短评内容': '2号楼不错的，近园很安静，就是缺乏好的管理', '短评打分': 3}
{'短评内容': '前台价格比会员价还低。', '短评打分': 3}
{'短评内容': '还行，服务态度不错。', '短评打分': 3}
{'短评内容': '一般般啦~~&lt;br /&gt;\n', '短评打分': 3}
{'短评内容': '硬件设施一般，房间还算干净。早餐还可以。', '短评打分': 3}
