{'短评内容': '很适合出差入住', '短评打分': 5}
{'短评内容': '早餐就不说了太惨了', '短评打分': 4}
{'短评内容': '酒店干净卫生，停车方便，下次还会入住', '短评打分': 5}
{'短评内容': '服务好，房间干净卫生，非常满意', '短评打分': 5}
{'短评内容': '酒店环境设施挺好', '短评打分': 5}
{'短评内容': '方便', '短评打分': 5}
{'短评内容': '总体不错', '短评打分': 5}
{'短评内容': '挺好的 不错……………好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '挺不错的 ', '短评打分': 5}
{'短评内容': '隔音太差了，住在222，一晚上半小时外面落水管就下手，一晚上没睡着', '短评打分': 2}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '挺好干净  666666666', '短评打分': 5}
{'短评内容': '挺好的不错6666666666', '短评打分': 5}
{'短评内容': '还可以，很平常', '短评打分': 3}
