{'短评内容': '铁路旁边，火车鸣笛一夜，一宿没睡！', '短评打分': 2}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '房间挺好，很舒服。位置距离车站非常近，去婺源很方便。我觉得很好', '短评打分': 5}
{'短评内容': '还行吧', '短评打分': 4}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '还好，就是周边', '短评打分': 3}
{'短评内容': '房间很小，床也小，卫生还可以。周边环境差，离铁路很近有点吵，房价偏贵。', '短评打分': 3}
{'短评内容': '靠铁路太吵，房间的窗户不是双层中空玻璃，隔音效果差', '短评打分': 2}
{'短评内容': '这个酒店在火车站附近，但没有注明具体地方，没到过哪里的人，以为离火车站很近就很好，别的地方不好说，这里简直要命啊！这个酒店处于一个三叉路口，处在一个上坡处及三叉路口，而且那里车流量很大，晚上每辆车到那里都要加速冲坡，声音很大。更要命的是每一辆火车不知道是到站前，还是出站前，都要按喇叭，大伙都知道火车的喇叭声是怎样的，一晚上简直要疯掉，这个酒店的地址离火车站的铁轨很近，由于我们是晚上到的，没看清楚，', '短评打分': 3}
{'短评内容': '出行的恶梦，几十元的档次靠节假日宰客，真不知道有关部门都是干嘛吃的', '短评打分': 1}
{'短评内容': '前台服务很好 酒店一般房间隔音效果也不好 ', '短评打分': 4}
{'短评内容': '房间比较大，装修较老，有窗，总体性价比尚可，但可清楚听到火车进站的鸣笛，如果对睡觉环境要求比较高的客人，建议不要选择这里。', '短评打分': 1}
{'短评内容': '空调声音太大   晚上会有火车的声音 影响睡眠  ', '短评打分': 1}
{'短评内容': '浴室会积水。。火车声音听的清清楚楚。。有蚊子', '短评打分': 3}
{'短评内容': '干净整洁，整体感觉不错，离火车站也比较近，不过早晨会有点吵', '短评打分': 5}
{'短评内容': '还好，还好，还好，也就是还好，说不出别的了', '短评打分': 5}
{'短评内容': '真的很差，地板都是破的，卫生间还积水。。。。', '短评打分': 1}
{'短评内容': '已入住', '短评打分': 3}
{'短评内容': '酒店未预留房间，并且未打扫，卫生条件差，环境不好，临近铁路，吵！', '短评打分': 1}
{'短评内容': ' 房间又破又脏！气人', '短评打分': 3}
{'短评内容': '景德镇人很善良 酒店内客房设施应有尽有 地理位置还不错 非常方便 好！ ', '短评打分': 5}
{'短评内容': '交通便：火车站出来右拐10几分钟步行即到，附近有公交。\n有设施欠修的地方（比如水箱按钮失灵用根铁丝替代），环境尚可；工作人员态度很好。本人是特价房---临近火车道(睡眠质量弱者慎选)---能见夕阳', '短评打分': 5}
{'短评内容': '还不错，较实惠。', '短评打分': 3}
{'短评内容': '房间很一般，地板受潮了 都翘起来了\n而且比景德镇市区的房子贵了好多，别家有些只要80+就够了', '短评打分': 1}
{'短评内容': '房间设施一般，卫生间差，冲水开关都没有还要手伸到水里按。后面就是铁路好吵的。', '短评打分': 1}
{'短评内容': '卫生条件差了点,其它的住一晚再看吧...', '短评打分': 3}
{'短评内容': '条件一般', '短评打分': 3}
{'短评内容': '离车站比较近,走路5分钟,比较方便,但后面就是铁路,怕吵的人不合适\n酒店不大,店内重装修过,房间设施还好,卫生间设施稍差,没有一次性拖鞋.\n服务人员态度还好,附近吃饭的地方少\n\n', '短评打分': 5}
{'短评内容': '放间不错 就是能听到火车鸣笛声很吵', '短评打分': 3}
{'短评内容': '房间还是比较一般，位置也很偏，房间隔音不是太好设施基本还算比较齐全，卫生间洗漱用品也很差，态度还好，价格也还可以根据感觉来说还是稍微贵了些。', '短评打分': 1}
{'短评内容': '宾馆外观有些陈旧，但是房间时重新装修了的，感觉还不错', '短评打分': 5}
{'短评内容': '交通方便，去里村车站只要步行10分钟，硬件一般', '短评打分': 5}
