{'短评内容': '服比较之前已经大打折扣了', '短评打分': 4}
{'短评内容': '停车场是隔壁中心医院的停车场，付费的！位置很好', '短评打分': 4}
{'短评内容': '没有早餐，大厅的接待晚上把客服电话是丢到一边的，你到了晚上有问题打电话是永远打不通的，停车场是医院的停车场可以免费停，还有就是不要住七楼、不要住七楼、不要住七楼，重要事情说三遍，因为八楼是茶楼，很有可能你睡那间屋上边就有人打通宵麻将', '短评打分': 4}
{'短评内容': '酒店位置在中心，干净卫生，我们就走了七八分钟就找到了美食街，有火锅有鱼有江湖菜等等，吃的是自助火锅鱼，味道棒。', '短评打分': 5}
{'短评内容': '无早餐，酒店位置还比较好找，我们的车是停在路边的。房间临近路边，但是把窗户关好了也不吵，门店价格跟网上价格一样但是在门店订两间有优惠', '短评打分': 3}
{'短评内容': '酒店属于老店新装，房间够大，服务员好，早餐满好', '短评打分': 4}
{'短评内容': '很好，酒店干净，舒适，服务态度也很好', '短评打分': 5}
{'短评内容': '很好，酒店很很干净', '短评打分': 5}
{'短评内容': '一般般的一个普通旅馆酒店，没什么好评价的，和其他地方这个价位地酒店一样', '短评打分': 4}
{'短评内容': '服务好好好好好好好好好好好', '短评打分': 5}
{'短评内容': '不错不错～', '短评打分': 5}
{'短评内容': '酒店环境干净天，房间床位比较适宜一家出游，早餐可口。', '短评打分': 4}
{'短评内容': '重新装修了，还可以，晚上比较清净。', '短评打分': 3}
{'短评内容': '总体还可以。有一个前台很好，另外一个特别坏。', '短评打分': 3}
{'短评内容': '房间不错够大，卫生间也大', '短评打分': 3}
