{'descr': '电视坏的，没充电器，房间特小……', 'star': 1}
{'descr': '早餐差 可以说很烂 电梯特别脏 沾鞋底  客房被子哄的半干就套上了 睡的很难受00000000000', 'star': 3}
{'descr': '还算可以', 'star': 3}
{'descr': '房间整洁，只住了几个小时赶时间，不过没有噪音挺好的', 'star': 5}
{'descr': '还可以巴，外面挺好看', 'star': 4}
{'descr': '房间收拾很及时，距离市中心不远，走路十五分钟也就到了', 'star': 5}
{'descr': '比较干净，离商业街也不远，性价比较高。', 'star': 4}
{'descr': '还可以', 'star': 3}
{'descr': '非常好，房间很大很干净，就是一个人睡有点冷，空调暖风不明显', 'star': 5}
{'descr': '非常好，房间很大很干净，就是一个人睡有点冷，空调暖风不明显', 'star': 5}
{'descr': '环境不错采光不错，服务态度也不错', 'star': 5}
{'descr': '还是不错的，价格优惠，房间也蛮大，比较干净', 'star': 3}
{'descr': '经济实惠，环境不错，值得推荐', 'star': 3}
{'descr': '几年前喜欢上这家酒店，故地重游。蛮喜欢.....', 'star': 3}
{'descr': '位置不错，离轻轨站很近。房间不大，但挺干净', 'star': 3}
{'descr': '房间不是很大。还算比较安静，价格有点贵了。。。。。。。。。。。。。。。。', 'star': 5}
{'descr': '地理位置优越，环境卫生干净，服务热情，价格合理，舒适度高，还会入住。', 'star': 5}
{'descr': '非常不喜欢这家酒店，强烈推荐对面的锦江之星', 'star': 1}
{'descr': '服务人员冷冰冰，设施差，环境也差，唯一的优势是位置', 'star': 1}
{'descr': '帮别人定的啊，听说还凑合，早餐还需要改进', 'star': 5}
{'descr': '离轻轨火车站很近，很方便，早餐太一般了，建议改进', 'star': 5}
{'descr': '预订的房间没有了 直接给升到家庭房 服务很周到 ', 'star': 5}
{'descr': '酒店环境不错就是离大连艺术学院稍微有点远不过交通还算方便', 'star': 3}
{'descr': '很好很强大，都很满意，客房很干净，服务很到位，下次有机会还要去', 'star': 5}
{'descr': '普通的酒店，附近也没什么吃饭的地方。\n离汽车站近，也有停车的地方，无论自驾还是坐车，\n交通倒是挺方便的。', 'star': 5}
{'descr': '价格略贵 房间稍有点冷', 'star': 3}
{'descr': '环境还不错，房间不是很大。价格有点贵。。。。', 'star': 5}
{'descr': '酒店还比较整洁，就是地理位置太偏，打车不方便。', 'star': 5}
{'descr': '  环境、 服务都挺好的， 软件、 硬件都跟的上， 有机会还是要去住的， 希望大家有机会都去，也都推荐给亲朋好友！', 'star': 5}
{'descr': '非常不错，尤其是淋浴透明窗。 下次来开发区就住这了。11111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111', 'star': 5}
{'descr': '确实挺干净，服务态度也很好，交通也很方便，以后还会来这里', 'star': 5}
{'descr': '开发区酒店，属于经济型酒店了，房间整体干净整洁，服务要是在积极一些就更好了\n，期待再次入住。', 'star': 5}
{'descr': '开发区内经济型酒店，轻轨站旁边，出入比较方便。', 'star': 5}
{'descr': '酒店位置不错了，就在轻轨站的附近，出行很方便。', 'star': 5}
{'descr': '快捷酒店中不错的品牌，简洁、舒适，不足之处房间的电视频道太少了，效果也不好。', 'star': 5}
