{'短评内容': '别的都还行，热水太慢了，水温也不行。', '短评打分': 4}
{'短评内容': '还可以，值这个价', '短评打分': 5}
{'短评内容': '酒店位置离汽车站100米，有免费停车场。', '短评打分': 5}
{'短评内容': '酒店相当不错，性价比超高。肥城能有这么好的快捷酒店，真心不错。比那些连锁强太多了。', '短评打分': 5}
{'短评内容': '酒店相当不错，性价比超高。肥城能有这么好的快捷酒店，真心不错。比那些连锁强太多了。', '短评打分': 5}
{'短评内容': '卫生太差', '短评打分': 5}
{'短评内容': '很好', '短评打分': 5}
{'短评内容': '很一般。不过价格也便宜', '短评打分': 2}
{'短评内容': '说实话，房间大，但太冷了，另外返现慢，还确认了好几次，没有必要的事', '短评打分': 4}
{'短评内容': '不是正经的连锁', '短评打分': 2}
{'短评内容': '还行，就是热水不够热！！', '短评打分': 5}
{'短评内容': '房间里灯光较暗，洗手间竟然没放毛巾，打电话让前台送，服务员到房间先看看床上等其他地方，好像是让我藏起来了！自己工作失误怀疑顾客！无语了！', '短评打分': 4}
{'短评内容': '酒店位置不错，距离车站近，环境也挺好的', '短评打分': 5}
{'短评内容': '还行吧，离车站挺近的', '短评打分': 4}
{'短评内容': '酒店设施服务都不错，网速超快！就是电梯离房间太远', '短评打分': 5}
{'短评内容': '性价比不错，卫生不如以前。', '短评打分': 4}
