{'短评内容': '东西很好，送货很快，必须满意，好评满分', '短评打分': 5}
{'短评内容': '服务还不错，设备还可以', '短评打分': 5}
{'短评内容': '位置稍偏，酒店应是邢台市最贵的，早餐还算凑和，有大游泳池带孩子也能玩得很好。有免费地上和地下停车场场。早餐丰盛，酒店大气。服务人员非常周到。房间干净，整洁舒服。非常好非常好。棒棒棒棒棒棒棒棒棒棒棒棒棒棒', '短评打分': 5}
{'短评内容': '早餐不错。有停车场。', '短评打分': 5}
{'短评内容': '环境不错。', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 5}
{'短评内容': '都挺好的，很干净整洁', '短评打分': 5}
{'短评内容': '没有早餐，房间挺舒服，离市区较远', '短评打分': 4}
{'短评内容': '卫生整洁，服务周到，环境优美。设备设施齐全', '短评打分': 5}
{'短评内容': '环境很好，服务可以，网速较快，各项指标符合4星标准乃至更高。服务人员态度热情，积极主动，早餐丰富，很好！', '短评打分': 5}
{'短评内容': '邢台五星级的。 棒棒哒', '短评打分': 5}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '应该是住过的五星中较差的一间，不过在邢台应该算不错了。', '短评打分': 4}
{'短评内容': '不错的，不错的，不错的', '短评打分': 3}
{'短评内容': '干净，交通便利', '短评打分': 5}
{'短评内容': '邢台最好的酒店了，房间大的没话说，入住送水果真的是亮点！出门打车也方便，虽然酒店不在市中心，吃喝不太方便，但酒店里的餐饮选择不错，性价比还可以，值得推荐！', '短评打分': 5}
{'短评内容': '非常满意的一个酒店！提出一点建议:房间内的空调太冷了！最好想办法让其温度高点！都不敢洗澡！好冷{{(_)}}好冷{{(_)}}的！', '短评打分': 5}
{'短评内容': '酒店干净，早餐东西有点少，吃了顿海鲜自助餐，真心不敢恭维，整体还是不错的。', '短评打分': 4}
{'短评内容': '酒店很好,除了位置稍稍有些偏之外,设施,卫生,服务,餐饮等都很不错,是邢台最好的酒店选择,值得推荐,下次还会入住......', '短评打分': 5}
