{'descr': '不错，挺好', 'star': 5}
{'descr': '不错', 'star': 5}
{'descr': '前台的服务也很热情，很喜欢，而且价格实惠，房间又大又安静，环境很好，比较干净卫生，Wifi很快，打游戏都没掉过线，太棒了，很满意得一家酒店，推荐大家入住，赞一个，会常来的', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', 'star': 5}
{'descr': '房间很干净，噪音也比较小，东西食品也比较全，各项服务设施也比较全，洗漱方面也可以。住了好几回了，相比较都市快捷旅店来说，各项服务也比较速度，价格方面也较之之前的有优势，下次我还会选择这家酒店', 'star': 5}
{'descr': '便宜，没其他优点了', 'star': 3}
{'descr': '挺方便的，楼下就是沃尔玛。吃的喝的挺多。房间停大的', 'star': 5}
{'descr': '还好。    ', 'star': 5}
{'descr': '差', 'star': 1}
{'descr': '不想再说些什么了，这是修过最差的宾馆了', 'star': 2}
{'descr': '很不错的地方，坐车吃饭都方便', 'star': 3}
{'descr': '位置真的超级超级棒，离火车站特别近，楼下就有早餐吃，很棒', 'star': 5}
{'descr': '可以一住，房间只是有点小。', 'star': 3}
{'descr': '床上用品不是太卫生…', 'star': 3}
{'descr': '还不错，位置还行，只是卫生间没有门，浴室小了点', 'star': 3}
{'descr': '交通方便，旁边有沃尔玛。离火车站近，不能刷信用卡。房间有点小。', 'star': 5}
{'descr': '环境不错 设施齐全 交通方便 附近也蛮热闹的', 'star': 5}
{'descr': '环境不错 设施齐全 交通方便 附近也蛮热闹的', 'star': 5}
{'descr': '我只能说真的很一般，总感觉不干净，毛巾时间太久了然后…，有小虫子飞，空间狭小…最大的优点就是便宜吧！', 'star': 3}
{'descr': '位置还好，房间还算干净，就是手机信号有点太差，有点郁闷！', 'star': 1}
{'descr': '环境不错挺好', 'star': 3}
{'descr': '地点不错', 'star': 3}
{'descr': '交通很方便，步行到火车站只要几分钟，价钱不贵，实惠，卫生也好。', 'star': 5}
{'descr': ' 不错，挺干净的，交通也很方便。。', 'star': 3}
{'descr': '交通方便，单人间比99大一点，网速不快。旁边有沃尔玛买东西方便。离火车站也很近。干净卫生，楼下吃饭也很方便。', 'star': 5}
