{'短评内容': '不能', '短评打分': 4}
{'短评内容': '早餐特好', '短评打分': 5}
{'短评内容': '还算可以', '短评打分': 5}
{'短评内容': '还算满意', '短评打分': 5}
{'短评内容': '酒店不错', '短评打分': 5}
{'短评内容': '价廉物美物有所值的一家酒店！', '短评打分': 5}
{'短评内容': '还是可以 环境还不错 会再来的', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '整体一般，不值这个价钱', '短评打分': 3}
{'短评内容': '这家艺术酒店很不错，就在高新区火炬路，房间比较干净，还有电脑，就是早餐稍微简单了一点！周围吃的也很多', '短评打分': 5}
{'短评内容': '一如既往的好，楼下茶馆吃饭方便', '短评打分': 5}
{'短评内容': '酒店不错，床偏软！', '短评打分': 5}
{'短评内容': '房间不大，还算干净，床是比较软的那种，早餐炒米饭配些小菜，好可以。不足：空调室外机略吵，卫生间地漏不畅。', '短评打分': 4}
{'短评内容': 'Wi-Fi信号弱', '短评打分': 3}
{'短评内容': '物美价廉，房间有点小。早餐简陋。这个价格算不错的配置。', '短评打分': 4}
{'短评内容': '可以，价格适中，卫生，就是周边环境较吵闹，早餐较单调!', '短评打分': 5}
{'短评内容': '不错', '短评打分': 3}
{'短评内容': ' 酒店比较新,装修很有特色,交通较便利,开车到高速大约十分钟，周围比较安静。', '短评打分': 3}
{'短评内容': '不错的酒店，挺好的。交通方便，街对面吃的东西也还可以。', '短评打分': 5}
{'短评内容': '总体来说还可以，比较整洁，如果在有些体贴的设施就更好了。比如：电吹风、行李柜等。', '短评打分': 5}
{'短评内容': '房间偏小', '短评打分': 3}
