{'短评内容': '还不错，出差一直在这里住', '短评打分': 5}
{'短评内容': '卫生很差，毛巾都是黑色的，前台服务员问话爱理不理，下次不会来', '短评打分': 1}
{'短评内容': '酒店位置好，好停车。', '短评打分': 4}
{'短评内容': '酒店位置好，好停车', '短评打分': 4}
{'短评内容': '酒店位置好，好停车', '短评打分': 4}
{'短评内容': '干净，安静', '短评打分': 5}
{'短评内容': '旧', '短评打分': 3}
{'短评内容': '评价的比较晚了点儿当时是为了科目三考驾照所以预订的酒店，对它要求不太高，靠科目三考场近，公交出行方便就行', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '卫生服务差', '短评打分': 1}
{'短评内容': '服务态度差，卫生条件不好，㡷单几天不换，', '短评打分': 1}
{'短评内容': '还不错，房间性价比比较可以', '短评打分': 3}
{'短评内容': '差评！门口看着像模像样，一住进去，真是坑爹！！！大清早停电，让服务员送水还不送，洗澡没有拖鞋，洗澡间连个放沐浴乳的小台子都没有，洗完还得顶着湿头发退房！！退房可好，足足等了20分钟，虽然前台小妹积极解决，但是谁有那么多时间贡献给你？？！！金玉其外败絮其中，想住的请慎重！', '短评打分': 1}
{'短评内容': '房间挺好，环境也挺好，设施齐全', '短评打分': 3}
{'短评内容': '房间有点偏小，其他一般般吧，不嫌面积小的朋友可以入住', '短评打分': 3}
{'短评内容': '很晚去的，周边环境很一般，没有什么夜生活的地方。酒店内的卫生还是不错的，客服人也很好。需要改进的是房间通风，窗户太小，几乎看不到外面。', '短评打分': 4}
