{'短评内容': '早餐还可以值 15一位', '短评打分': 5}
{'短评内容': '好评', '短评打分': 5}
{'短评内容': '卫生可以，服务较好，设施较旧。', '短评打分': 4}
{'短评内容': '第一次预订，酒店较旧，位置还行，，总体还行吧。。。。。。。。。。。。。。。。。。。。。。。。。。。。', '短评打分': 4}
{'短评内容': '梳妆台的大镜子直对着其中的一张床，另一张床上直接是横断，让人不舒服；卫生间里的马桶距离洗手池太近，不方便洗漱；该类型房内全部没有电脑，与介绍不符；附近没有饭店，只有大厦内有自助餐厅；价格较贵，性价比差', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '交通方便，其他一般', '短评打分': 4}
{'短评内容': '交通方便，其他一般', '短评打分': 4}
{'短评内容': '酒店就在丽山北路，距离山大中心校区比较近。停车也算方便。不错。', '短评打分': 5}
{'短评内容': '老酒店设施比较陈旧了，卫生条件不错，也比较安全观', '短评打分': 4}
{'短评内容': '位置很好，公交方便，周围超市，医院等设施齐全，离大明湖，趵突泉，黑虎泉，很近。就是房间设施有点陈旧！', '短评打分': 3}
{'短评内容': '位置很好，公交方便，周围超市，医院等设施齐全，离大明湖，趵突泉，黑虎泉，很近。是不错的入住选择、美中不足的是，酒店的设施比较的老了，应该装修了。', '短评打分': 4}
{'短评内容': '交通方便', '短评打分': 4}
{'短评内容': '还不错，', '短评打分': 5}
