{'descr': '酒店太老了', 'star': 3}
{'descr': '不隔音，总体还不错。。。。。。。。。。。', 'star': 5}
{'descr': '比较安静，在周围比较醒目。位置较偏僻。房间还算舒适，略嫌小点。', 'star': 5}
{'descr': '酒店位置还不错 离火车站走10分钟左右就到了 各方面都不错 就是前台有个女的长得跟鸭蛋似的态度和表情不好 我还以为我欠了她钱似的希望以后不会再有这样的情况出现 挺影响心情的', 'star': 5}
{'descr': '卫生干净，服务也可以，房间空调暖风比较给力。', 'star': 5}
{'descr': '大床房比其他酒店的好像都大上很多。舒服。。。。', 'star': 5}
{'descr': '非常喜欢这里！很干净，也很舒适，装修风格我也很喜欢！', 'star': 5}
{'descr': '环境不错，就是隔音效果差了点，总体还是比较满意。', 'star': 3}
{'descr': '锦江的环境一直以来都很不错，前台的工作人员服务很周到，距离小故宫很近，旅游、工作都是不错的选择', 'star': 5}
{'descr': ' 垃圾，脏死了！不过交通比较方便！', 'star': 3}
{'descr': '很好,很干净', 'star': 3}
{'descr': '总体感觉很一般,如同旅馆一般,条件比较差', 'star': 1}
{'descr': '凑合。前台有一个服务人员态度较差，很影响心情。', 'star': 1}
{'descr': '房间好小啊，床还是一个宽一个窄，打去前天被告知标间就那样', 'star': 1}
{'descr': '   酒店不错，很干净。很喜欢。', 'star': 3}
{'descr': '服务态度还好，房间整洁度还可以，不过没有想象的商务房那样大，价钱和房间大小不成正比。有点小失望。', 'star': 3}
{'descr': '环境很好,很干净', 'star': 3}
{'descr': '很好', 'star': 3}
{'descr': '已入住', 'star': 3}
{'descr': '便宜，方便，干净。\n后面胡同里有当地的各种小吃，很赞。\n从沈阳北站出来走路十分钟就到了，交通还算方便。不过要通过一个公铁桥，挺堵的。', 'star': 5}
{'descr': '酒店比较新，挺不错的！离火车站不算太远，以后来还会选择此店', 'star': 5}
{'descr': '很卫生，位置也很好离车站很近，价位不错值得入住', 'star': 5}
{'descr': '一直很支持的快捷酒店！！还会继续入住！！！！！！！！！', 'star': 5}
{'descr': '还可以，但价格没有直接过来的便宜', 'star': 3}
{'descr': '一直都是办公去那边入住，感觉比较方便，而且环境不错 地理位置也很好，推荐。', 'star': 5}
{'descr': '好', 'star': 3}
{'descr': '挺干净的  房间比较小  早餐不丰富  还行~', 'star': 5}
{'descr': '锦江之星卫生很好', 'star': 5}
{'descr': '     房间挺干净,打扫挺立整,我住了一晚感觉还不错,单人商务间价格如果再便宜点就更好了....', 'star': 5}
{'descr': '服务热忱 细致周到', 'star': 5}
{'descr': '环境挺好，距离北站2站距离，很干净。挺好的，推荐', 'star': 3}
{'descr': '位置不错，服务态度很好，房间很干净，设施齐全，性价比很高！', 'star': 3}
{'descr': '房间挺大，不错，就是电视在床的侧面。距离北站距离还好，公交2站左右', 'star': 5}
{'descr': '不错！', 'star': 3}
{'descr': '＋简节，干净，品质！', 'star': 5}
{'descr': '锦江之星沈阳北站店，很干净，很舒服，房间布局也很合理，真的给人家的感觉', 'star': 3}
{'descr': '卫生较好，离车站较近，打车也方便。以后还会选择这个酒店。', 'star': 5}
{'descr': '位置好，服务水平高，酒店设施也比较新，还会去住。也会推荐给朋友。', 'star': 5}
{'descr': '不错！', 'star': 5}
{'descr': '卫生条件好，早餐吃的非常好，特别是服务好', 'star': 5}
{'descr': '  酒店很干净，房间很舒服', 'star': 5}
{'descr': '离北站还算近 东面过了桥洞 走路10分中就到了 房间很小 但是还够用 性价比很强 ', 'star': 5}
{'descr': '地理位置不错，价格也比较合理，唯一缺点是电梯只有一个运行，另一个好像在维修，楼层较多  上下楼不太方便', 'star': 3}
{'descr': '干净整洁，价格比较实惠，关键是交通比较方便，态度还好', 'star': 5}
{'descr': '服务人员热情，自助早餐丰富。对酒店印象很好。', 'star': 5}
{'descr': '还不错', 'star': 3}
{'descr': '房间舒适安静，性价比很好。值得推荐入住。', 'star': 5}
{'descr': '房间比较小,有些很拥挤.打扫卫生不是很及时.唯一可取的地方就是位置好方便出行而已.', 'star': 1}
{'descr': '酒店的地理位置优越，环境很好。', 'star': 5}
{'descr': '最主要的是找不到酒店 的位置 ，还有电话打不通', 'star': 1}
{'descr': '不错', 'star': 5}
{'descr': '到北站需要坐一站公交车的，走路估计比较麻烦。没有自助的午餐，而且餐厅不能叫到楼上。房间比较大，但是分个电梯口的，很多噪音，下次一定得往里面住', 'star': 5}
{'descr': '整体来讲这家店和其他城市的锦江没什么区别，干净简洁，配置齐全达标。', 'star': 5}
{'descr': '位置不错，离火车站很近，价格一般。环境也还可以。', 'star': 5}
{'descr': '酒店的性价比还不错，位置出行交通方便，配置硬件都很达标，可以推荐入住。', 'star': 5}
{'descr': '这家锦江位置还是很不错的，出行很是方便。早餐还不错。', 'star': 5}
{'descr': '房间很干净，客房和浴室配置齐全达标。', 'star': 5}
{'descr': '这家酒店一般般了，房间面积比较小，感觉很不舒适。设施倒是该有都有了，离北站也不是很近，它在北站的后边，要绕一圈才到，整体感觉不是很好。', 'star': 1}
