{'descr': '房间有点小了', 'star': 3}
{'descr': '还可以', 'star': 5}
{'descr': '在上海高消费的城市能住到价廉好房的简直不敢想！这里就是奇迹！', 'star': 5}
{'descr': '超级吵~吵死了~旁边是酒吧~', 'star': 1}
{'descr': '周围很吵，白天有人练舞，网上又有人唱歌，而且房间很闷，厕所又在床旁边，完全透明的，服务态度也没有很好，有点凶。。。', 'star': 2}
{'descr': '不错啊，支持支持', 'star': 5}
{'descr': '到店床超级小，前台让加钱换大的，原价换的大的，前台服务很差，房间也不是很干净还超小', 'star': 3}
{'descr': '价格实惠，周围游乐项目蛮多的！房间只是简单的住宿！性价比高！', 'star': 5}
{'descr': '房间太小了。非常小。内部设施也很一般。。性价比不是很高。。', 'star': 4}
{'descr': '好，吃饭特别方便，比较安静', 'star': 5}
{'descr': '很好  干净卫生  性价比高。。。。', 'star': 5}
{'descr': '己是第二次入住，设施齐全，只是洗澡喷头出水很小，算是一次满意的入住。', 'star': 3}
{'descr': '很好，挺大的蛮干净的，好评', 'star': 3}
{'descr': '房间223，有个窗，还不错。就是厕所正对着床，玻璃门是半透明的，有点尴尬', 'star': 3}
{'descr': '房间虽小，但价格实惠，也很干净舒适，不错。下次还会考虑的。', 'star': 5}
