{'短评内容': '太普通了', '短评打分': 2}
{'短评内容': '环境好服务态度很好', '短评打分': 5}
{'短评内容': '还不错。干净、舒适。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '应该还不错，同事出差帮忙订的', '短评打分': 5}
{'短评内容': '位置还是可以，商务用，居民花园内，环境好，适合家庭旅游访客，空间大，设施可以，卫生间有点欠缺，要求不高的话，可以订购。 ', '短评打分': 4}
{'短评内容': '一般，服务也一般，没到下班时间，阿姨就急着催促打扰房间，还有一天，提早下班，没有打扫。', '短评打分': 3}
{'短评内容': '靠近市区，近地铁10号线，还是比较方便的', '短评打分': 4}
{'短评内容': '地处虹桥商务区，算经济实惠吧。', '短评打分': 4}
{'短评内容': '、酒店在小区里面，很难找、紧邻高架路，晚上噪声很大。设备陈旧， 感觉不象酒店，而是家庭旅馆', '短评打分': 2}
{'短评内容': '可能是因为在居民楼里面的原因，房间太旧了，设施不全面。窗户隔音不好。', '短评打分': 2}
{'短评内容': '卫生间太旧和拍鬼片似的', '短评打分': 4}
{'短评内容': '环境差，这是公寓楼里面的客房，有骚扰传单，感觉怪异，住房体验太差！携程推荐这种酒店有些失望！', '短评打分': 3}
