{'短评内容': '太差，我都不想评价了，价格高，环境卫生差。', '短评打分': 2}
{'短评内容': '还行  有早餐  交通也便利   老板也挺热情   ', '短评打分': 4}
{'短评内容': '总体来说挺不错的，在古城里算闹中取静，出门吃饭也很方便，就是水壶竟然不好用……', '短评打分': 5}
{'短评内容': '在古城内', '短评打分': 5}
{'短评内容': '房间很大，卫生也挺干净，就是会听到些外界声音：空调外机、下水道水声、楼下行人说话。     ', '短评打分': 5}
{'短评内容': '很不错', '短评打分': 5}
{'短评内容': '位置很好，就在人民路，而且离停车场很近，自驾游非常方便。 还送了早餐，很好啊。 离洋人街也很近，晚上出门逛街很方便。', '短评打分': 5}
{'短评内容': '位置很好，214国道从人民路走下去2分钟就是，对面是清真寺，房间还不错，价格稍微略贵，酒店对面的88甜点屋蛋糕超级好吃，柠檬苏打水是我喝过最好喝的。。房费如果能再便宜点就好了', '短评打分': 4}
{'短评内容': '房间不错，靠近街边，闹中取静~~', '短评打分': 5}
{'短评内容': '隔音太差了，太阳能热水洗澡急死人', '短评打分': 4}
{'短评内容': '非常好住的地方，每次来大理都会住在这里！', '短评打分': 5}
{'短评内容': '就是方便出门', '短评打分': 3}
