{'短评内容': '还不错的酒店', '短评打分': 4}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好！房间不大，设备齐全！', '短评打分': 5}
{'短评内容': '还可以吧', '短评打分': 5}
{'短评内容': '位置很好，交通便利，周边配套齐全，娱乐餐饮都有。被套枕套显得有些陈旧，隔音一般般。', '短评打分': 4}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '一一般', '短评打分': 3}
{'短评内容': '环境差，装修设施太陈旧了，最可恶的是睡到夜里12:15左右，突然房门被人开了，一男一女进来说是找手机，我就不明白了，上个人退房没打扫房间吗？没发现手机？就算没发现也应该等我们早晨退房时提出来去房间找手机吧！妈的半夜门也没敲，都没通知下直接开门进了房间，还好我是个男人带个小孩，要是女房客，不定被你们吓出神经病呢。酒店就这管理？', '短评打分': 1}
{'短评内容': '还不错', '短评打分': 5}
{'短评内容': '干净，整洁，出门旁边就有一家小吃店。', '短评打分': 5}
{'短评内容': '为看岁月友情一起兄弟演唱会定的，离黄龙体育场位置非常的近，正对着酒店大门笔直的那条小路走过去就可以走到了。房间虽然并不大，不过该有的设施都有了，如果你是来看演唱会的这个地方还是比较值得推荐的。让酒店前台帮我寄的快递，超级表扬一下这个mm，可惜我忘记问她的名字了，但就是今天在前台上班的，我是中午11多退房的，快递寄出后还不忘发了条短信息告诉我快递单号，再次表扬！！！', '短评打分': 5}
{'短评内容': 'Wi-Fi很慢很卡经常掉线。房间有很浓的异味 设施都很陈旧 特别是厕所 淋浴喷头都是生锈的 整个入住感觉很差', '短评打分': 3}
{'短评内容': '还可以，一直评，在杭州这个价位不算贵，如果能有早餐就更好了', '短评打分': 5}
{'短评内容': '房间虽然有点小 但是还算精致 每个房间都有圣经 就是隔音效果一般 电视老是闪 其他都很好', '短评打分': 5}
{'短评内容': '房间小了点，但环境很干净，服务也很好，就是周末有点小贵', '短评打分': 5}
{'短评内容': '房间还行，干净整洁，是考雅思的理想入住地。', '短评打分': 5}
{'短评内容': '还行，不过有时候比较吵，隔音不是很好，房间也比较小！', '短评打分': 3}
{'短评内容': '结帐的时候速度有点慢。不知道房间的床单被子是不是没有换，有一股特浓的香水叶味。房间太小。没有电梯。服务一般。五一期间住这价格不值。', '短评打分': 1}
{'短评内容': '第一，没有停车位。\n第二，房间很小，还算比较干净。\n第三，马路和小区边上，晚上比较吵。', '短评打分': 1}
{'短评内容': '可以。不错哈。离黄龙体育中心很近。公交车一比较方便\n', '短评打分': 5}
{'短评内容': '还行吧 主要考雅思住 还方便 就是有点味道 房间还是挺小的', '短评打分': 5}
{'短评内容': ' 房间很小，性价比不高。热水水温不稳定。马路旁边，噪音比较大。', '短评打分': 3}
{'短评内容': '地段还不错，就是酒店房间有点小，装修一般般。毛巾有点旧。', '短评打分': 5}
{'短评内容': '酒店干净简约，挺好的', '短评打分': 3}
{'短评内容': '环境很好，挺干净，交通 比较方便，就是附件吃饭的地方稍微有点远。', '短评打分': 5}
{'短评内容': '房间太小了，比较简陋', '短评打分': 3}
{'短评内容': '酒店服务不错,设施比较新.退房后两天才发现丢了东西,回酒店去找,居然找到了,非常感谢!', '短评打分': 5}
{'短评内容': '环境不错，干净整洁，交通便利，唯一缺点，没有电梯，如果有老年人入住要提前说明需要低楼层哦。', '短评打分': 5}
{'短评内容': '不知道是不是因为国庆的原因，在网站上预定的价格比酒店的价格牌高20元。单人房很小，而且在一楼，虽然有电脑，个人觉得这样的房间性价比太低，如果价格便宜一半，勉强能接受。', '短评打分': 1}
{'短评内容': '店面较小，但房间比较干净，适合旅游居住。', '短评打分': 5}
{'短评内容': '房间很干净\u3000虽然有点小\u3000不过这个酒店用会员卡会网上订便宜很多', '短评打分': 3}
{'短评内容': '网上订了给爸妈住的，反映不错，就是妈咪嫌小，没有衣柜，下次去杭州我准备也住一次，而且老爸说隔壁有个小伙子临时住的，比在网上定要贵40元', '短评打分': 5}
{'短评内容': '房间挺干净整洁，晚上安静，电视信号不太好，可以看的台不多。', '短评打分': 5}
{'短评内容': '离体育中心挺近，周边交通还算便利，卫生挺好，收拾的挺干净整洁的。', '短评打分': 5}
{'短评内容': '房间挺干净舒适的，设施也挺齐全，价格适中，住的挺满意。', '短评打分': 5}
{'短评内容': '房间不大，但是挺干净卫生的，看着还比较舒适。', '短评打分': 3}
{'短评内容': '价格挺合理，出行方便，干净卫生，值得推荐。', '短评打分': 5}
{'短评内容': '房间挺干净的，设施也还好，就是隔音差了点。', '短评打分': 3}
{'短评内容': '服务卫生挺好，交通挺便利，性价比挺高。', '短评打分': 5}
{'短评内容': '酒店离景点挺近，周边也有直达公交，游玩还是挺方便的。', '短评打分': 3}
{'短评内容': '酒店不大，装修还算时尚，服务挺好，出行也挺方便的。', '短评打分': 3}
{'短评内容': '卫生挺好，干净卫生，没什么异味，有宽带能上网，也挺方便，价格也挺合适。', '短评打分': 5}
{'短评内容': '房间很小，但布置挺温馨，基本设施都有，总体感觉还不错。', '短评打分': 3}
