{'短评内容': '房间干净整洁，挺好的一家酒店。早餐挺全面的', '短评打分': 5}
{'短评内容': '很好 ，，，', '短评打分': 5}
{'短评内容': '干净卫生房间比较大', '短评打分': 4}
{'短评内容': '酒店位置很方便', '短评打分': 5}
{'短评内容': '住的安静。', '短评打分': 5}
{'短评内容': '酒店安静，环境还可以', '短评打分': 5}
{'短评内容': '1111111111111111111', '短评打分': 5}
{'短评内容': '环境一般，说有wifi,但却无法上网', '短评打分': 3}
{'短评内容': '房间还不错，位置也还行，就是交通不太方便，有朋友一起去玩在这里住下还不错，这算是车墩镇最好的酒店了吧呵呵！', '短评打分': 5}
{'短评内容': '非常好！干净整洁，很喜欢。', '短评打分': 5}
{'短评内容': '酒店一般，空调不热。', '短评打分': 3}
{'短评内容': '环境一般', '短评打分': 3}
{'短评内容': '旁边吃的很近，房间面积挺大，设施和连锁酒店差不多，酒店比较旧了，258的价位感觉不值，最近酒店这条路在修，不太方便。', '短评打分': 5}
{'短评内容': '去客户方便 早餐不错', '短评打分': 5}
{'短评内容': '很好。', '短评打分': 5}
{'短评内容': '还不错，很安静！', '短评打分': 5}
{'短评内容': '。。。。。。。。。。旧', '短评打分': 4}
{'短评内容': '地理位置一般，交通不太方便，出行只能打黑的。。。', '短评打分': 5}
{'短评内容': '很不错的酒店房间大有冰箱性价比高,其实离市区很近', '短评打分': 5}
{'短评内容': '地理位置有点偏，但该地区也没什么好酒店了。', '短评打分': 5}
{'短评内容': '性价比蛮高的 舒适 适合度假休闲 赞一个 再赞一个', '短评打分': 5}
{'短评内容': '这里一直有我的美好回忆。房间还凑合，还有个很重要的人还住在那里，请好好照顾他。:-D', '短评打分': 5}
{'短评内容': '酒店宽敞，大方，饮食稍差，居住环境还行，因为比较偏僻。适合附近的工业区内的人员入住。', '短评打分': 5}
{'短评内容': '房间干净,大方，舒服，就是早餐需要加油。以后还会来', '短评打分': 5}
{'短评内容': '地理位置有些偏，打车不方便。\n墙壁有起皮，打扫也不干净。', '短评打分': 5}
{'短评内容': '去工业园区区方便，酒店是挺大的，不过早餐很一般', '短评打分': 5}
{'短评内容': '房间不错，挺大，价格合理，前台接待热情周到，下次还会去住。', '短评打分': 5}
{'短评内容': '在周边是最好的酒店之一了，酒店对面的西餐厅不错。', '短评打分': 5}
{'短评内容': '不错。价格低档次高，报销一族的最爱。。。。。。。。。。。', '短评打分': 5}
{'短评内容': '上海市松江区附近很不错的一家酒店，房间很干净，卫生很好，亮堂，并且房间房间挺宽敞的，房间还配备了电脑，网速也不慢，办公挺方便的。总的来讲性价比很高。 \n还有很多剧组住这边 能看到不少小明星哈哈\n', '短评打分': 5}
{'短评内容': '性价比非常高的酒店，周边吃的也很方便，就是交通不是太方便，从高速过来一路要找很多遍才能找到这个酒店，\n价格还算便宜，希望早餐可以改善，早餐环境还差点，吃的东西少点', '短评打分': 5}
{'短评内容': '上海市松江区附近很不错的一家酒店，房间很干净，卫生很好，亮堂，并且房间房间挺宽敞的，房间还配备了电脑，网速也不慢，办公挺方便的。总的来讲性价比很高。', '短评打分': 5}
{'短评内容': '挺好的！下次还来！', '短评打分': 3}
{'短评内容': '性价比高。舒适。是我出游中这个价位的宾馆中最好的一次。', '短评打分': 5}
{'短评内容': '如果是一定要去车墩，那么这间酒店是车墩最好的了大概，没别的可选。但实际上，这家也不是很好', '短评打分': 5}
{'短评内容': '车墩附近来说很不错的一家酒店，房间很干净也还比较大，性价比也还算高，影视明星经常能在那看见。。。', '短评打分': 5}
{'短评内容': '酒店装修的挺好，硬件设施挺齐全，还提供早餐，价格也不贵，住的挺划算。', '短评打分': 5}
{'短评内容': '酒店很好，干净卫生，设施齐全，服务周到，性价比很高。', '短评打分': 5}
{'短评内容': '房间挺宽敞的，卫生很好，有的还配备了电脑，网速也不慢，办公挺方便的。', '短评打分': 3}
{'短评内容': '酒店挺经济实惠的，设施挺高档，服务卫生也不错，直达推荐。', '短评打分': 5}
{'短评内容': '房间干净卫生，有宽带有电脑，电视也是联网形式的，感觉很不错。', '短评打分': 5}
{'短评内容': '房间挺干净，生活用品挺齐全的，网速也挺快，用着很方便。', '短评打分': 5}
{'短评内容': '酒店还不错，服务挺热情，卫生挺到位，价格挺合适的。', '短评打分': 5}
{'短评内容': '出行挺方便，打车挺容易，酒店有停车场，停车也挺方便。', '短评打分': 3}
{'短评内容': '房间打扫的挺干净，让人感觉很清爽，硬件设施挺齐全，住的蛮舒适。', '短评打分': 5}
{'短评内容': '交通挺便利，门口就有公交，还有直达火车站的呢，赶火车也挺方便。', '短评打分': 3}
