{'短评内容': '卫生间淋浴花洒已坏，不可调热水；空调没有热风', '短评打分': 3}
{'短评内容': '环境方便，隔音效果差了点', '短评打分': 5}
{'短评内容': '不错…', '短评打分': 5}
{'短评内容': '酒店位置好，停车方便，房间干净卫生，隔音好，一个房间一个无线网速度快，三秒钟出热水，楼下自助餐不错，超赞', '短评打分': 5}
{'短评内容': '酒店设施比较陈旧，位置处于县城中心，比较方便！', '短评打分': 4}
{'短评内容': '感觉一般般，', '短评打分': 4}
{'短评内容': '一般般', '短评打分': 3}
{'短评内容': 'ok', '短评打分': 4}
{'短评内容': '位于潜山县汽车站附近，交通很方便，周边的小吃也很多，房间宽敞，明亮，有个大的浴缸，前台的服务也很热情。', '短评打分': 5}
{'短评内容': '性价比高舒适服务好', '短评打分': 4}
{'短评内容': '在县城中心区，离公交车站很近。', '短评打分': 4}
{'短评内容': '感觉不值这个价格。。', '短评打分': 3}
{'短评内容': '挺好，经济实惠', '短评打分': 5}
{'短评内容': '环境很好！', '短评打分': 5}
{'短评内容': '很好啊', '短评打分': 5}
{'短评内容': '老样子一成不变～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '老样子一成不变～～～～～～～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '老样子一成不变～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '早餐越来越差了～～～～～～～～～～～～～～～ ', '短评打分': 5}
{'短评内容': '早餐越来越差了～～～～～～～～～～～～～～～', '短评打分': 5}
{'短评内容': '娱乐配套设施还没完善好哦！！！！！！！！ ！！！！', '短评打分': 5}
{'短评内容': '娱乐配套设施还没完善好哦！！！！！！！！ !!!!!!!', '短评打分': 5}
{'短评内容': '非常棒的酒店，比期望中好了许多。离天柱山也较近。', '短评打分': 5}
{'短评内容': '这家酒店的设施和服务都不错，价位适中，好评！', '短评打分': 5}
{'短评内容': '潜山县城算比较好的酒店了，不过早餐品种较少，经济型酒店的档次', '短评打分': 5}
{'短评内容': '唉！住了很多次了！就是娱乐配套设施还没完善好哦！！！！！！！！ \n', '短评打分': 5}
{'短评内容': '酒店的硬件设施非常好，不足的是节假日价钱太贵，服务也有待提高。', '短评打分': 5}
{'短评内容': '唉！住了很多次了！就是娱乐配套设施还没完善好哦！！！！！！！！', '短评打分': 5}
{'短评内容': '交通方便，环境安静。房间宽敞设施好。服务不错。早餐一般。', '短评打分': 5}
{'短评内容': '房间很宽大,床也很宽大,装修很新,只是在主干道边上,车流量很大,晚上觉得有点吵.', '短评打分': 5}
{'短评内容': '酒店看似很不起眼，但一到设在六楼的大堂，马上眼睛一亮，很大很气派，房间里的设施也很新。唯一的遗憾是在这样的小地方，酒店停车场居然还要向入住客人收入停车费。希望以后能改进。', '短评打分': 5}
{'短评内容': '房间一般,服务质量较差,态度倒还不错,房间几乎没有打扫,杯子也不洗,而且停车场居然对客人收费。', '短评打分': 3}
{'短评内容': '交通方便，环境安静。房间宽敞设施好。服务不错。早餐一般。', '短评打分': 5}
{'短评内容': '房间空间有些小，总体还不错，服务希望再不断提高，娱乐配套啥时有了？？？？？？？ ', '短评打分': 5}
{'短评内容': '总体还不错，服务希望再不断提高，娱乐配套啥时有了？？？？？？？', '短评打分': 5}
{'短评内容': '总体还不错，服务希望再不断提高，娱乐配套啥时有了？？？？？？？？', '短评打分': 5}
{'短评内容': '条件不错，因为比较新，离天柱山也很近。但仍有装修后的味道，且靠近路面，稍微有点吵。', '短评打分': 5}
