{'短评内容': '热水不好', '短评打分': 5}
{'短评内容': '', '短评打分': 5}
{'短评内容': '位置极好，房间大 ，干净卫生  服务热情。', '短评打分': 5}
{'短评内容': '位置不错，旁边有个大食堂', '短评打分': 4}
{'短评内容': '很干净，环境不错', '短评打分': 5}
{'短评内容': '不好，，，，，，', '短评打分': 5}
{'短评内容': '还可以，前台的服务挺好的。', '短评打分': 4}
{'短评内容': '房间味道特别大，空调声音膈音都不太好，特别是房间里的味道，腥腥的', '短评打分': 3}
{'短评内容': '不错交通便利', '短评打分': 5}
{'短评内容': '还可以吧，就是有点吵。', '短评打分': 4}
{'短评内容': '服务挺好的，环境也不错', '短评打分': 5}
{'短评内容': '不错不错，再去还住这里，十五字呀十五字', '短评打分': 5}
{'短评内容': '挺好的 半夜停电闹点心 总体不错', '短评打分': 4}
{'短评内容': '酒店设施很新，交通方便，性价比很高。', '短评打分': 5}
{'短评内容': '挺好的。       挺好的。       挺好的。', '短评打分': 4}
{'短评内容': '很方便', '短评打分': 5}
{'短评内容': ' 双人间里有两根网线 床头和电视桌处各一个 特别人性化', '短评打分': 3}
{'短评内容': '该洒店价位和服务都不令人满意，以后住锦江之星', '短评打分': 3}
{'短评内容': '沿街的房间，晚上尤其后半夜路上不断的来来回回的过拉渣土的重型货车，特别吵！无法休息！', '短评打分': 1}
{'短评内容': '位置非常好，环境也不错，前台人员服务态度很好，面带微笑。房间设施完善，大厅还有免费的饮料可以使用。如果非要说一点不足，那我希望酒店可以考虑将电视机换成液晶电视，成本不是很高，感觉将完全不一样。', '短评打分': 5}
{'短评内容': '很舒服交通方便', '短评打分': 3}
{'短评内容': '服务很好，交通便利，环境不错，价格很优惠，就是汉庭的牙刷实在有点说不过去', '短评打分': 5}
{'短评内容': '環境不錯', '短评打分': 3}
{'短评内容': '不错很好的出行方便，干净，还有免费的咖啡', '短评打分': 5}
{'短评内容': '环境挺好的', '短评打分': 3}
{'短评内容': '环境不错挺好的', '短评打分': 3}
{'短评内容': '汉庭环境挺好的，服务员素质也挺高。而且交通便利，是个性价比不错的宾馆。', '短评打分': 3}
{'短评内容': '汉庭快捷酒店（洛阳南昌路店）,还不错哦，挺干净的', '短评打分': 5}
{'短评内容': '酒店服务不错,干净卫生,位置也好找,周围环境好~', '短评打分': 3}
{'短评内容': '一如既往的不错，上次宝洁公司赠送的洗发水怎么没了啊', '短评打分': 5}
{'短评内容': '酒店的床很大，很舒适，非常干净，酒店位置就在洛阳丹尼斯百货的旁边，很容易找到，服务接待员彬彬有礼，然人感觉很愉悦，下次还要入住。', '短评打分': 5}
{'短评内容': '电视不太给力，其他的挺好，交通很方便，旁边就是丹尼斯。', '短评打分': 5}
{'短评内容': '环境很好！在丹尼斯对面，交通也很方便。推荐！', '短评打分': 5}
{'短评内容': '干净整洁，值得推荐的一家快捷酒店，虽然我早就知道汉庭，但还真的从未住过，这次住的感觉不错。', '短评打分': 5}
{'短评内容': '不错，第一次住汉庭。但是感觉不错，房间干净，地处繁华，周围交通饮食，购物都很方便。房间有免费宽带。洗澡水很舒服。', '短评打分': 5}
{'短评内容': '不错 离火车站相当近 安静干净', '短评打分': 3}
{'短评内容': '整体不错，服务态度也挺好，附近吃饭，打车，什么都很方便！', '短评打分': 5}
{'短评内容': '房间干净，卫生，附近有大商场，楼下有快餐连锁。', '短评打分': 5}
{'短评内容': '非常好的地理位置，一如既往的汉庭风格，只是门口停车位稍微少点', '短评打分': 5}
{'短评内容': '沿街交通便利，旁边有大型商场，隔壁就是餐馆，房间整洁卫生，酒店大堂可以免费刷房卡喝饮料和上网！', '短评打分': 5}
{'短评内容': '挺好的，超值，房间很干净洁白，临大商场，交通便利。', '短评打分': 3}
{'短评内容': '在洛阳涧西区，周围交通挺方便，房间也干净舒适，就是门口停车的地方有限。整体说还不错', '短评打分': 3}
{'短评内容': ' 噢', '短评打分': 3}
{'短评内容': '酒店地理位置非常好，房间也很干净，设计合理，非常满意！', '短评打分': 3}
{'短评内容': '房间挺干净，还算舒适，服务态度较好。对面就是超市，购物吃饭比较方便。临马路的房间噪声较大。门口停车位较少。', '短评打分': 5}
{'短评内容': '地理位置不错,干净卫生!', '短评打分': 3}
{'短评内容': '交通便利，对面就是丹尼斯卖场，房间环境还行。', '短评打分': 5}
{'短评内容': '帮老公和公婆定的这家酒店，他们感觉都很好', '短评打分': 5}
{'短评内容': '服务态度不错，就是装修有点损坏，隔音不好！', '短评打分': 5}
{'短评内容': '硬件不错，环境也不错，很干净，如果再去还会考虑入住', '短评打分': 5}
{'短评内容': ' 还好', '短评打分': 3}
{'短评内容': '推荐去洛阳的住在这里. 环境很好,对面就是丹尼斯超市,出门左手边有一个叫做皇豆世嘉的可以吃早饭,4元一整套很划算不用一定在宾馆里吃. 出门右手边还有老洛阳面馆, 可以去吃吃,虽然我是吃不出来什么特别的. 这里去珠江路小吃街也不远,步行可到.去万达的百碗羊汤 步行可到. 去王城公园,西苑公园等都有公交车. 不得不说汉庭真是会选地方.\n再说房间环境,布局安排合理, 灯光适中,网速还可以,用这个网络还开', '短评打分': 5}
{'短评内容': '挺好。', '短评打分': 3}
{'短评内容': '地理位置优越，交通很方便，周边超市饭店都很近。酒店卫生条件服务都很好，是我入住的比较好的一家', '短评打分': 5}
