{'短评内容': '该装修了，现在有新选择了', '短评打分': 3}
{'短评内容': '性价比高，空间大，全家一起住，蛮不错！', '短评打分': 4}
{'短评内容': '还不错的吧，^O^，哦啊', '短评打分': 3}
{'短评内容': '酒店有点老，但是挺干净', '短评打分': 3}
{'短评内容': '不错。。。。。。。。。。', '短评打分': 3}
{'短评内容': '1.酒店位置还可以，门口地毯很脏；2.房间的环境有待改善，地板灰灰的，很久没有用吸尘器吸过；3.洗澡的水很凉，需要放水10分钟以上才有点热，洗脸的热水没有；4.空调只能空吹，没有热风；5.没有吹风机；6.电视是老式的，雪花点很多；7.没有多余的插孔，没有多余的被子或者毯子；9.168反49，也就这样了。', '短评打分': 3}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '挺好的', '短评打分': 4}
{'短评内容': '服务好，周边环境也不错，就挨着郑大南门。就是有点旧，该翻修了', '短评打分': 4}
{'短评内容': '房间超级大，空调噪音大，卫生间太古老，总之比较陈旧啦。不如旁边的汉庭和城市便捷', '短评打分': 4}
{'短评内容': '都还可以，有地毯，住的标间，空调也很给力，服务也不错，就是要注意有的房间是没有窗户的，比如6628房间，所以，各位入住的时候，要提前问清楚给你的房间又没有窗户哦...', '短评打分': 5}
{'短评内容': '性价比不高…住宿条件还可以…不含早餐，还是在网上先预定的好…', '短评打分': 1}
{'短评内容': '浴室老旧房间还可以.', '短评打分': 3}
{'短评内容': '房间比较新，设施也还可以，对得起这个价格。\n \n靠马路的房间很吵，前台服务员感觉不是很规范！！！！！', '短评打分': 1}
{'短评内容': '物有所值，交通方便。早餐欠丰富。中央空调不错，高温天气更显得可贵。', '短评打分': 5}
{'短评内容': '4月份住过一次感觉尚可，但此次被安排的五楼，房间比较破旧，没有台灯，床头灯不亮，宽带时断时续、电话不能不能打到前台，也不能打进来，卫生间龙头漏水，当时要求换房，可等到第二天才换到七楼，七楼比五楼稍好，但最后退房时，服务员话面巾有污渍，要赔上五元，但我仅用面巾洗过脸，只是入住时没有检查面巾开始是否完好，多费了好多口舌才算了结此事，耽误了时间！', '短评打分': 1}
{'短评内容': '服务一般，自助餐品种太少，其它基本满意！', '短评打分': 3}
