{'短评内容': '嗯呢', '短评打分': 5}
{'短评内容': '房间太过老旧，窗帘都无法完全拉上', '短评打分': 4}
{'短评内容': '酒店设施有点老，别的还好', '短评打分': 4}
{'短评内容': '酒店退房服务太差，要客人等太久！！！就那么一个人办法退房，后面一堆人在排队！！！下次不会再选择入住！！！', '短评打分': 4}
{'短评内容': '出差广州大多都住这里，总的感觉蛮好：酒店地方交通便利，出行方便，楼下就是地铁2号线和8号线；周边觅食方便，各种美食都有；酒店的早餐也比较丰富；酒店服务比较好，性价比高。以后出差广州应该还是首选。', '短评打分': 4}
{'短评内容': '交通方便，服务周到，下次还会再入住。', '短评打分': 5}
{'短评内容': '房间有点老了', '短评打分': 5}
{'短评内容': '礼宾服务太差。其它服务都不错。', '短评打分': 5}
{'短评内容': '滚滚滚滚滚广告费发发发', '短评打分': 5}
{'短评内容': '帮亲戚订的，他们说还可以，交通放便。', '短评打分': 5}
{'短评内容': '广州珀丽酒店 豪华客房（双床）', '短评打分': 5}
{'短评内容': '环境不错，很舒服', '短评打分': 5}
{'短评内容': '体验不错期待下次', '短评打分': 5}
{'短评内容': '环境很不错，房间日常用品很干净，服务态度也很好，周边吃饭，商城也很方便。', '短评打分': 5}
{'短评内容': '卫生不是很好，睡在床上浑身发痒', '短评打分': 3}
{'短评内容': '据说房间好大', '短评打分': 5}
{'短评内容': '位置不错，市中心交通方便，地铁站旁。', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '好', '短评打分': 5}
{'短评内容': '服务态度太差了', '短评打分': 5}
{'短评内容': '位置方便，很多地道小食，shopping 也得方便的但清潔度一般，地毯比較舊及污穢，其他的還可以接受', '短评打分': 5}
{'短评内容': '酒店就在地鐵出口旁邊、出入方便、附近亦有很多食館.都在兩至十分鐘路程。酒店設施是舊一點,但是這價錢是可以接受.浴室地台去水很慢,可以改善,以及房內燈光比較暗。床也很舒服', '短评打分': 4}
{'短评内容': '还不错', '短评打分': 4}
{'短评内容': '还行吧，没抱怨', '短评打分': 4}
{'短评内容': '设施比较老旧，房间灯光较暗', '短评打分': 3}
{'短评内容': '交通便利，非常好！', '短评打分': 4}
{'短评内容': '位置非常好，就买地铁口。', '短评打分': 4}
{'短评内容': '周边环境不错,房间硬件一般.', '短评打分': 5}
{'短评内容': '酒店交通方便，就在地铁站上面。周边吃的很多。', '短评打分': 5}
{'短评内容': '不错，就是贵了点', '短评打分': 5}
{'短评内容': '酒店的各项服务还是不错的，入住的时候都非常完善。自助早餐非常棒。但是大堂的马桶实在不干净。', '短评打分': 4}
{'短评内容': '已经入住，还不错。环境，早餐还可以。就是房间没个主照明的灯。', '短评打分': 5}
{'短评内容': '满意，环境不错，网速快！性价比高！', '短评打分': 5}
{'短评内容': '一般般吧！', '短评打分': 4}
{'短评内容': '感觉还不错，还会再来。', '短评打分': 4}
{'短评内容': '地理位置不错，昌岗地铁站零距离。免费升级到了套房，房间很大，无线网络也可以。早餐不是很丰富，也符合四星标准。周围很热闹，吃饭方便。游泳池是露天的，健身房可以用。', '短评打分': 5}
{'短评内容': '不错', '短评打分': 5}
{'短评内容': '交通方便房间不错', '短评打分': 4}
{'短评内容': ' 酒店電視還是老款，其實可以換個液晶。空調有點不大冷。但是很干凈，方便，泳池很干凈，服務態度又好，喜歡那大床，真的很大！', '短评打分': 3}
{'短评内容': '地理位置还不错 没什么景色可以谈 大堂退房间既然要等 那要预授权干嘛 价格偏高 预定的还加了140 呵呵', '短评打分': 1}
{'短评内容': 'The hotel is too old.............................................', '短评打分': 5}
{'短评内容': '交通方便，环境不错，隔壁还有超市，非常方便', '短评打分': 5}
{'短评内容': '非常不错的酒店', '短评打分': 3}
{'短评内容': '1，交通非常方便，出门就是地铁\n2，服务还是可以的，门童较热情\n3，房间干净\n4，退房较快', '短评打分': 5}
{'短评内容': '交通便利，房间卫生尚可，办理入住速度慢。', '短评打分': 5}
