{'短评内容': '很好！', '短评打分': 5}
{'短评内容': '经常来住，我觉得挺好的！', '短评打分': 5}
{'短评内容': '酒店不错，价钱不贵', '短评打分': 4}
{'短评内容': '还可以', '短评打分': 5}
{'短评内容': '还可以吧。。。。。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 4}
{'短评内容': '连续入住了', '短评打分': 5}
{'短评内容': '连续十好几天了。', '短评打分': 5}
{'短评内容': '很差，脏、服务员态度太差', '短评打分': 1}
{'短评内容': '在这物流园这边算很好的宾馆了', '短评打分': 5}
{'短评内容': '环境挺好的，服务态度也很好', '短评打分': 4}
{'短评内容': '环境不错', '短评打分': 5}
{'短评内容': '环境可以，毕竟是在郊区。服务态度好，住得很满意。若是能够提供早餐就更好了。', '短评打分': 4}
{'短评内容': '住房订单成交确定快点的话就好了，酒店服务态度非常好。', '短评打分': 3}
{'短评内容': '一般', '短评打分': 3}
{'短评内容': '酒店环境不错，值得推荐，还会再来的。服务也可以', '短评打分': 5}
{'短评内容': '  房间还不错，就是没有早点', '短评打分': 3}
